,Songs,Listeners,Playcount,Duration,Tags
0,Mów mi dobrze,40773,588796,197000,"[u'HappySad', u'alternative rock', u'polish', u'rock', u'alternative', u'polish rock', u'punk', u'ska', u'punk rock', u'favourite', u'love at first listen', u'FUCKING AWESOME', u'polskie', u'catchy as hell', u'a', u'polish music', u'i know i should not like it but i am so sorry i do', u'i keep singing it along any time i hear this so my neighbours hate me pretty much and call me an impudent twat', u'turn-me-on song', u'winter 12', u'shit i am in love again', u'i get excited when i think of crawling into your eyes', u'idz do diabla ale pamietaj ze ide z toba', u'wspaniale', u'blagania', u'great for pogo', u'hepisiad', u'segz z marchewkom', u'Mow mi dobrze']"
1,Test Me,65458,246252,235000,"[u'indie', u'ambient pop', u'minimal pop', u'down-as-fuck']"
2,I Dare You,80968,359693,233000,"[u'dream pop', u'synthpop', u'fip', u'fav', u'dreamwave', u'2017']"
3,On Hold,143807,937362,224000,"[u'electronic', u'indie', u'pop', u'alternative', u'UK', u'epic', u'indiepop', u'indietronica', u'beautiful', u'rnb', u'fav', u'indie-pop', u'FM4', u'personal favourites', u'uk bass', u'dream-pop', u'indie-electronic', u'the xx', u'Pherfavs', u'2017', u'2016 single', u'bbc radio1 playlist 2016', u'Philkas']"
4,Brave For You,71630,284460,253000,"[u'indie', u'sad', u'indietronica', u'dream pop']"
5,A Violent Noise,82440,370560,227000,"[u'indie', u'fip', u'minimal pop', u""ouvir imediatamente depois de without you i'm nothing""]"
6,Lips,84881,405824,200000,"[u'experimental', u'dream pop', u'beats', u'synthpop', u'fip', u'garage', u'cool', u'fallon', u'eletronic', u'UK Garage', u'minimal pop', u'future bass', u'lambada indie']"
7,Say Something Loving,111680,571983,238000,"[u'indie', u'electronic', u'pop', u'chill', u'soul', u'alternative', u'downtempo', u'UK', u'indietronica', u'beautiful', u'vocals', u'dream pop', u'personal favourites', u'the xx', u'minimal pop', u'britsh', u'2017', u'intro similar to firework by katy perry']"
8,Dangerous,98378,442156,250000,"[u'electronic', u'alternative', u'indie', u'pop', u'House', u'dream pop', u'fip', u'alternative pop', u'eletronic', u'uk bass', u'future bass', u'2017']"
9,Scenariusz dla moich sąsiadów,61611,574804,190000,"[u'rock', u'polish', u'polish rock', u'alternative rock', u'alternative', u'myslovitz', u'90s', u'pop rock', u'melancholic', u'the best', u'achingly intelligent', u'rock polski', u'classic rock', u'indie', u'indie rock', u'soft rock', u'favourite', u'male vocalist', u'male vocalists', u'soulful', u'great lyrics', u'polskie', u'polish music', u'polski rock', u'lacrimaindarkness', u'Grew Up With', u'Myslowice', u'moje ulubione', u'rock alternatywny', u'greatest polish hits', u'utwory ktore budza we mnie wspomnienia', u'od pierwszego uslyszenia', u'hop-bec', u'Psychoza', u'playlista rmf fm', u'jesli bede miala syna nazwe go filip', u'jaka to melodia', u'xcoolx']"
10,Zwykły dzień,38994,255531,190000,"[u'alternative rock', u'rock', u'polish rock', u'alternative', u'polish', u'indie', u'indie rock', u'90s', u'alt rock', u'poland', u'polski rock', u'alternatywa', u'seen life']"
