,Songs,Listeners,Playcount,Duration,Tags
0,What's Up?,266995,1228234,296000,"[u'90s', u'rock', u'female vocalists', u'pop', u'alternative', u'4 non blondes', u'alternative rock', u'american', u'classic', u'classic rock', u'1993', u'one hit wonder', u'party', u'female', u'pop rock', u'favorites', u'beautiful', u'guitar', u'lyrics', u'classics', u'sense8', u'Grunge', u'folk', u'singer-songwriter', u'Love', u'Dope', u'melancholy', u'cool', u'female vocalist', u'High School', u'relax', u'love at first listen', u'What', u'90s memories', u'He-man', u'My teen nostalgia', u'christian alexander tietgen', u'forever-andree', u'songs everybody knows', u'test', u'chillout', u'indie', u'vocal', u'chill', u'80s', u'favorite songs', u'sexy', u'power', u'slow', u'epic']"
1,What's Up?,266995,1228234,296000,"[u'90s', u'rock', u'female vocalists', u'pop', u'alternative', u'4 non blondes', u'alternative rock', u'american', u'classic', u'classic rock', u'1993', u'one hit wonder', u'party', u'female', u'pop rock', u'favorites', u'beautiful', u'guitar', u'lyrics', u'classics', u'sense8', u'Grunge', u'folk', u'singer-songwriter', u'Love', u'Dope', u'melancholy', u'cool', u'female vocalist', u'High School', u'relax', u'love at first listen', u'What', u'90s memories', u'He-man', u'My teen nostalgia', u'christian alexander tietgen', u'forever-andree', u'songs everybody knows', u'test', u'chillout', u'indie', u'vocal', u'chill', u'80s', u'favorite songs', u'sexy', u'power', u'slow', u'epic']"
2,What's Up?,266995,1228234,296000,"[u'90s', u'rock', u'female vocalists', u'pop', u'alternative', u'4 non blondes', u'alternative rock', u'american', u'classic', u'classic rock', u'1993', u'one hit wonder', u'party', u'female', u'pop rock', u'favorites', u'beautiful', u'guitar', u'lyrics', u'classics', u'sense8', u'Grunge', u'folk', u'singer-songwriter', u'Love', u'Dope', u'melancholy', u'cool', u'female vocalist', u'High School', u'relax', u'love at first listen', u'What', u'90s memories', u'He-man', u'My teen nostalgia', u'christian alexander tietgen', u'forever-andree', u'songs everybody knows', u'test', u'chillout', u'indie', u'vocal', u'chill', u'80s', u'favorite songs', u'sexy', u'power', u'slow', u'epic']"
3,Anticipating,73206,486021,196000,"[u'pop', u'Britney Spears', u'dance', u'female vocalists', u'fun', u'britney', u'teen pop', u'sexy', u'cute', u'00s', u'happy', u'american', u'favorites', u'2001', u'female', u'catchy', u'gay', u'favourite', u'female vocalist', u'Guilty Pleasures', u'bubblegum', u'2000s', u'girly', u'fun songs', u'JoJo', u'anticipating', u'Britney Spears - Anticipating', u'Disco', u'electronic', u'chill', u'70s', u'favorite songs', u'memories', u'Love', u'epic', u'funk', u'Awesome', u'upbeat', u'Energetic', u'funky', u'remix', u'summer', u'Mellow', u'party', u'great', u'r and b', u'rnb', u'nice', u'Coldplay', u'cool']"
4,Boys,130463,828402,208000,"[u'pop', u'Britney Spears', u'dance', u'sexy', u'female vocalists', u'boys', u'teen pop', u'hot', u'female', u'fun', u'female vocals', u'Guilty Pleasures', u'britney', u'electronic', u'rnb', u'girl power', u'sexy girl', u'rock', u'party', u'00s', u'Pharrell', u'american', u'funky', u'r&b', u'Girl', u'4 of 10 stars', u'flirty', u'the neptunes', u'neptunes', u'Soundtrack', u'chillout', u'seen live', u'alternative', u'rap', u'clean', u'pop rock', u'favorites', u'happy', u'Love', u'cute', u'dark', u'urban', u'Awesome', u'night', u'90s', u'girls', u'upbeat', u'thrash metal', u'diva', u'new']"
5,"I'm Not a Girl, Not Yet a Woman",157783,1018567,231000,"[u'pop', u'Britney Spears', u'female vocalists', u'Ballad', u'female', u'teen pop', u'american', u'female vocalist', u'britney', u'dance', u'00s', u'Not Yet A Woman', u'Soundtrack', u'love songs', u'Guilty Pleasures', u'dido', u'2001', u'ballads', u'Pop Music', u'soul', u'sexy', u'pop rock', u'Love', u'girl power', u'max martin', u'crossroads', u'emo', u'favorites', u'slow', u'soft rock', u'guilty pleasure', u'2002', u'Im Not a Girl Not Yet a Woman', u'im not a girl', u'cute', u'epic', u'beautiful', u'Awesome', u'diva', u'amazing', u'favourite', u'fun', u'great lyrics', u'Favourites', u'cheesy', u'single', u'best songs of the 00s', u'sing along', u'powerful', u'Officially Shit']"
6,Lonely,74302,593563,200000,"[u'pop', u'Britney Spears', u'dance', u'female vocalists', u'sexy', u'lonely', u'britney', u'guilty pleasure', u'female vocalist', u'teen pop', u'Energetic', u'cool', u'favorite song', u'girl power', u'female', u'favorites', u'Awesome', u'upbeat', u'hot', u'Favourites', u'2001', u'bitch', u'darkchild', u'pop rock', u'cute', u'funky', u'00s', u'love at first listen', u'enpowering', u'beautiful memories', u'fuck the men', u'revenge brit', u'true pop', u'serena kitten', u'getting over you', u'Disco', u'alternative', u'favorite songs', u'power pop', u'singer-songwriter', u'clean', u'catchy', u'epic', u'dance-pop', u'urban', u'britpop', u'Gothic', u'beautiful', u'groove', u'girls']"
7,Overprotected,190515,1454393,109000,"[u'pop', u'Britney Spears', u'dance', u'female vocalists', u'britney', u'00s', u'teen pop', u'overprotected', u'female', u'female vocalist', u'american', u'catchy', u'90s', u'sexy', u'Guilty Pleasures', u'english', u'Energetic', u'Britney Spears - Overprotected', u'rock', u'pop rock', u'rnb', u'dance pop', u'girl power', u'max martin', u'Awesome', u'best songs of the 00s', u'2001', u'Favorite', u'Love it', u'Girl', u'favorites', u'great', u'amazing', u'female vocals', u'Pop-Rock', u'blondes', u'fast', u'USA', u'dance-pop', u'upbeat', u'funky', u'party', u'r and b', u'fun', u'nice', u'cool', u""00's"", u'hot', u'female vocal', u'Favourites']"
8,I'm a Slave 4 U,332960,2504078,203000,"[u'pop', u'dance', u'Britney Spears', u'sexy', u'female vocalists', u'britney', u'sex', u'rnb', u'00s', u'2001', u'hot', u'neptunes', u'legend', u'Guilty Pleasures', u'female', u'catchy', u'american', u'female vocalist', u'favorites', u'guilty pleasure', u'teen pop', u'the neptunes', u'slave', u'Im a Slave 4 U', u'r&b', u'fun', u'epic', u'party', u'I love this song', u'2000s', u'urban', u'Favourites', u'loves it', u'Music to listen to all the time', u'electronic', u'rock', u'classic', u'upbeat', u'top 40', u'seductive', u'bitch', u'Iconic', u'Dirrty', u'Love', u'Awesome', u'new', u'Love it', u'favorite song', u'gossip girl', u'hit']"
9,Stay,5696,48362,210000,"[u'pop', u'electronic', u'female vocalists', u'dance', u'catchy', u'party', u'rnb', u'female vocalist', u'dj', u'collaboration', u'10s', u'featuring', u'ekectronic', u'2017 single']"
