,Songs,Listeners,Playcount,Duration,Tags
0,Holocaust Dawn,10263,42724,427000,"[u'black metal', u'Orthodox Black Metal', u'epic', u'melodic black metal']"
1,Ignem Veni Mittere,10705,46014,278000,"[u'black metal', u'instrumental', u'epic', u'Orthodox Black Metal', u'Latin Title', u'bible quote title']"
2,De Profundis,16255,70309,273000,"[u'black metal', u'Orthodox Black Metal', u'Latin Title']"
3,Night Vision,16363,65724,218000,"[u'black metal', u'instrumental', u'Orthodox Black Metal']"
4,Outlaw,12837,62454,307000,"[u'black metal', u'heavy metal', u'metal', u'2013', u'2010s', u'blackened thrash metal', u'Black n Roll', u'Orthodox Black Metal', u'post-2000', u'Watain']"
5,The Wild Hunt,13509,77296,380000,"[u'black metal', u'Orthodox Black Metal', u'Pagan', u'Viking', u'heavy metal', u'metal', u'viking metal']"
6,Sleepless Evil,11904,52660,337000,"[u'black metal', u'Orthodox Black Metal']"
7,They Rode On,18272,118019,522000,"[u'black metal', u'viking metal', u'swedish', u'epic', u'epic metal', u'heavy metal', u'Solitude', u'FUCKING AWESOME', u'Traditional Metal', u'Songs nobody knows but are worth finding out about', u'black metal ballad']"
8,Splendour of the Trident Tyger,873,3630,0,[u'tygertygertyger']
9,When Stars No More Shine (BONUS TRACK),3376,12706,0,[]
10,The Child Must Die,13684,64158,364000,"[u'black metal', u'Orthodox Black Metal', u'holy shit', u'powerful', u'melodic black metal', u'swedish black metal']"
11,All That May Bleed,15774,77185,275000,"[u'black metal', u'Orthodox Black Metal', u'metal', u'melodic black metal', u'swedish black metal']"
12,Black Flames March,17288,72463,380000,"[u'black metal', u'swedish black metal', u'metal', u'Orthodox Black Metal']"
13,Holocaust Dawn,10263,42724,427000,"[u'black metal', u'Orthodox Black Metal', u'epic', u'melodic black metal']"
14,They Rode On,18272,118019,522000,"[u'black metal', u'viking metal', u'swedish', u'epic', u'epic metal', u'heavy metal', u'Solitude', u'FUCKING AWESOME', u'Traditional Metal', u'Songs nobody knows but are worth finding out about', u'black metal ballad']"
15,When Stars No More Shine (BONUS TRACK),3376,12706,0,[]
