,Songs,Listeners,Playcount,Duration,Tags
0,Meditação,5084,14808,111000,"[u'mpb', u'tropicalia', u'70s', u'brasil', u'travelling', u'ba', u'Chill Out Music', u'tropicalismo', u'Gilberto Gil', u'Gil', u'Raga Music', u'brasilianisch']"
1,Metrô Linha 743,7227,33579,166000,"[u'mpb', u'rock brasileiro', u'Raul Seixas']"
2,Across The Universe - Remastered 2009,33986,84248,0,[u'60s psychedelic folk']
3,Velha Roupa Colorida (feat. Gilvan de Oliveira),259,621,264000,[]
4,Medo de Avião II,1059,4585,236000,[]
5,Rapto de Juana do Tarugo,311,990,179000,[]
6,Vicio,2084,11362,250000,[]
7,Ballad of Sir Frankie Crisp (Let It Roll),59348,276160,227000,"[u'classic rock', u'rock', u'70s', u'george harrison', u'british', u'folk', u'folk rock', u'pop', u'himym', u'1970', u'solo beatles', u'how i met your mother', u'catchy', u'beautiful', u'amazing', u'beatles', u'9 of 10 stars', u'sweet and neato sounds', u'George Harrison Favorites', u'crunk love', u'seen live', u'baroque', u'singer-songwriter', u'psychedelic', u'Mellow', u'oldies', u'great song', u'Uplifting', u""1970's"", u'travelling', u'fluffy', u'brilliant', u'lovely', u'perfect', u'perfecto', u'loved at first listen', u'Bob Dylan', u'loves', u'perfect songs', u'the word it', u'the word crisp', u'best songs ever', u'Light Rock', u'tasty guitar licks and riffs', u'at night', u'british rock', u'Songs with names', u'my soundtrack', u'sleepless nights', u'parenthesized titles']"
8,Eu Vou Ter Saudades,4633,20722,209000,[]
9,The Ballad Of Sacco & Vanzetti - Live /1975,354,636,0,"[u'Arbeiterbewegung', u'Linke Lieder']"
10,Esperar é Caminhar - Ao Vivo,124,423,0,[]
11,Man on Fire,168290,794200,256000,"[u'alternative', u'folk', u'indie', u'cosmic country and psychedelic americana', u'Alternative Folk', u'indie folk', u'Alt-country', u'radio paradise', u'radioparadise', u'letterman', u'2012 single', u'strings organs rubber wind', u'relevant magazine', u'songs about people or buildings on fire', u'Channel X', u'edward shape and the magnetic zeroes', u'where theres smoke theres fire']"
12,Moon Rising,413,1610,216000,"[u'folk', u'singer-songwriter']"
13,Michigan,49456,202389,331000,"[u'folk', u'americana', u'indie', u'sad', u'acoustic', u'beautiful', u'guitar', u'duo', u'radio paradise', u'radioparadise', u'close harmony', u'US states', u'Slow tempo', u'tune-carrying wordsmiths', u'to cry', u'the milk carton kids', u'sounds like david rawlings', u'mg towns and countries', u'tj and amal']"
14,Morena De Angola,17343,46862,0,"[u'samba', u'brazil', u'brasil', u'brasileira', u'mpb', u'morena de angola', u'female vocalists', u'brazilian', u'musica popular brasileira', u'Clara Nunes', u'favorites', u'latin', u'latino', u'duet', u'Hmm', u'personal favourites', u'feelgood', u'Brasilian', u'batucada', u'BoA', u'FODA', u'musica brasileira', u'oh its a lady', u'O meu brasil', u'hand clap', u'maravilhosa', u'db luaka bop', u'morena', u'brasil mpb', u'Brazilian songs', u'bssanova', u'on an island above', u'Rock 80', u'Som pra churrasco', u'brasil samba', u'samba no pe', u'D elas', u'mpb - samba', u'todasac123', u'samba brasilera', u'to shake the bones', u'it is bird day', u'Carnaval Brasil', u'Meu Quintal']"
15,Que Pena (Ela Já Não Gosta Mais De Mim),10432,36866,180000,"[u'soul', u'brazil', u'brasil', u'samba', u'cool', u'ronxi']"
16,Quadro Verde,7129,50992,422000,[]
17,Tanto Faz,5,6,141000,[]
18,Na Captura,802,3572,149000,[u'brasil']
19,Wonderwall,350384,2081583,250000,"[u'cover', u'acoustic', u'singer-songwriter', u'covers', u'indie', u'Mellow', u'rock', u'Ryan Adams', u'Love', u'melancholy', u'the oc', u'chill', u'chillout', u'Alt-country', u'beautiful', u'oasis', u'folk', u'sad', u'alternative', u'favorites', u'cover songs', u'better than the original', u'wonderwall', u'oasis cover', u'americana', u'american', u'covers that own', u'haunting', u'soft', u'Bittersweet', u'relaxing', u'pop', u'melancholic', u'male vocalists', u'alt country', u'relax', u'Favourites', u'perfect', u'cover song', u'great cover', u'Awesome Covers', u'Awesome', u'Great Covers', u'good covers', u'favorite covers', u'Smallville', u'Soundtrack', u'classic', u'country', u'easy listening']"
20,Song Of Good Hope,18900,77881,228000,[u'man pat\u012bk kaukt']
21,Canção da Despedida,725,2208,295000,[]
