,Songs,Listeners,Playcount,Duration,Tags
0,Son of Night Brother of Sleep,4871,23060,232000,"[u'avantgarde', u'experimental', u'tbc2']"
1,Transmigrant,5552,25110,367000,"[u'experimental', u'Avant-Garde', u'Avant-garde Metal', u'black metal', u'electronic', u'loving it']"
2,The Cure-All,5768,27822,259000,"[u'loving it', u'annas depression', u'vegetarian proggresive grindcore']"
3,My Journal of the Plague Years,2501,14234,0,"[u'black metal', u'experimental', u'Avant-garde Metal', u'loving it']"
4,Nobody Wants the Truth,9701,41301,284000,"[u'post-rock', u'avantgarde', u'Avant-garde Metal', u'Manes', u'depressing', u'loving it', u'critical theory', u'zaujalo', u've', u'Math rock-Post rock']"
5,Last Lights,5925,27768,255000,"[u'loving it', u'vegetarian proggresive grindcore']"
6,A Cancer in our Mist,2609,15588,0,"[u'experimental', u'Avant-Garde', u'loving it']"
7,I Watch You Fall,6484,32335,230000,"[u'Avant-Garde', u'experimental', u'beautiful', u'Progressive', u'darkwave', u'Post-Black Metal', u'loving it', u'annas depression']"
8,Come to Pass,6983,41240,374000,"[u'Avant-Garde', u'experimental', u'Hip-Hop', u'trip-hop', u'electronic', u'french', u'hip hop', u'rap', u'Fusion', u'urban', u'beautiful', u'avant garde', u'atmospheric', u'emotional', u'crossover', u'kvlt', u'Avant-Garde Black Metal', u'dark hip-hop', u'Hybrid', u'dark hip hop', u'wicked shit', u'Zaebis', u'loving it', u'rozpierdol taki ze klekajcie narody', u'jak nie sluchasz to pedal z ciebie', u'taka moc ze sie chce cos rozpierdolic']"
9,Deeprooted,7870,43677,286000,"[u'Avant-Garde', u'experimental', u'black metal', u'electronic', u'avantgarde', u'electronica', u'pop', u'electro', u'h202', u'loving it', u'annas depression', u'Stuff worth listening to', u'nintendo korn']"
10,Confluence,2596,10453,335000,"[u'alternative', u'alternative rock', u'Progressive metal', u'alternative metal', u'trip rock', u'trip-rock']"
