,Songs,Listeners,Playcount,Duration,Tags
0,Stele,1421,4659,254000,[u'rock']
1,Polvere,1618,6384,147000,[]
2,Piombo '70,1589,5608,195000,"[u'dark', u'nazi scum', u'pohoda', u'fascist scum']"
3,Mala,1778,6874,155000,[u'neofolk']
4,Noi Senza Voi,1692,6742,236000,[]
5,Mala E Il Mare,1789,6709,154000,[u'neofolk']
6,Ichnusa,2097,7496,205000,"[u'neofolk', u'apocalyptic folk', u'The Breath of the Universe']"
7,Redipuglia,2077,8153,194000,"[u'neofolk', u'folk', u'dark', u'italian', u'1', u'martial industrial', u'neoclassical', u'Martial Neofolk', u'Sardegna']"
8,Terra,2033,6804,193000,"[u'neofolk', u'dark', u'selenekey']"
9,I Figli Del Tramonto,257,1008,236000,[u'neofolk']
10,Nel Vento,304,1490,160000,[u'neofolk']
11,Umano E Imperfetto,327,1564,280000,[u'neofolk']
12,Agone,262,1167,285000,[u'neofolk']
13,La Nuova Adunanza,361,1776,342000,[u'neofolk']
14,Gli Ultimi Bagliori,295,1394,280000,[u'neofolk']
15,L'Elogio Dell'Alterita,357,1654,0,[u'neofolk']
16,Sulle Rive Del Basento,284,1229,203000,[u'neofolk']
17,Massacro (Feat. Waffenruhe),99,283,0,[u'neofolk']
18,Guerrieri Impavidi (Feat. Spreu & Weizen),92,304,0,[u'neofolk']
19,Helden,181,661,324000,[u'neofolk']
20,Echi,202,812,241000,[u'neofolk']
21,Lupi Gladius,199,826,193000,[u'neofolk']
22,Guerrieri Impavidi,236,912,188000,[u'neofolk']
23,Massacro,204,691,232000,"[u'neofolk', u'martial industrial']"
24,Нічного Неба Очі,1117,6953,326000,[]
25,Здохніть разом із Богом своїм,869,5358,0,[]
26,Туманом Снігової Імли,1159,6989,247000,[]
27,Прірва Себе,1188,7400,317000,[u'pagan metal']
28,Чорні Хребти Карпат,1331,8523,286000,[u'pagan metal']
29,Навій Схрон,1241,8544,258000,[u'heartpiercing screams and bonecrushing growls']
30,Штрига Повні,1282,8001,322000,"[u'pagan metal', u'heartpiercing screams and bonecrushing growls']"
31,На Крилах Шторму,1390,8836,296000,[u'pagan metal']
32,Settimane Spagnole,826,3119,217000,[]
33,Lo Lo Lo,985,4444,122000,[]
34,La Borda,920,3485,175000,[]
35,La Zirinelda,1104,3961,114000,[]
36,La Belda,941,3564,196000,[]
37,La Guerriera,1005,3983,232000,[]
38,La Zirinelda,1104,3961,114000,[]
39,La Zirinelda,1104,3961,114000,[]
40,Inneres Heer,1261,5313,336000,[u'neofolk']
41,Auferstehung,1390,5357,245000,[u'neofolk']
42,Maria,1506,6900,273000,"[u'deutsch', u'neofolk', u'CF']"
43,Abendstern,1454,6199,266000,[u'neofolk']
44,Söhne des Ares,1379,6886,154000,[u'neofolk']
45,Stille,4597,17101,238000,"[u'neofolk', u'german', u'dark folk', u'mopey']"
46,Im Schatten der Queste,1540,6765,246000,"[u'neofolk', u'martial industrial', u'neoclassical', u'apocalyptic folk', u'Martial Neofolk', u'nox-aeternus']"
47,Das Mädchen aus der Fremde,1655,7942,320000,[u'neofolk']
48,Winternacht,1943,8555,160000,"[u'neofolk', u'folk', u'dark ambient', u'dark folk']"
49,Nächtliche Jünger,1762,9385,380000,"[u'neofolk', u'cave adventure']"
50,Später Tag,2177,10521,255000,"[u'dark', u'Gothic', u'german', u'neofolk', u'Black']"
51,Auf unbekanntem Pfade...,1523,6201,167000,[u'neofolk']
52,Erzengel Michael,2597,12402,382000,[u'neofolk']
53,Untitled,456,1571,118000,"[u'neofolk', u'dark folk']"
54,Gente di Malaffare,919,3757,147000,"[u'neofolk', u'dark folk', u'folk noir', u'folk rock', u'folk pop', u'apocalyptic folk', u'cabaret noir']"
55,Next,1060,5157,192000,[u'cabaret']
56,La Follia,1076,4962,176000,"[u'The Breath of the Universe', u'pure aural bliss']"
57,Ferro E Fuoco,1154,5421,154000,"[u'cabaret', u'folk noir', u'neofolk', u'dark folk', u'dark cabaret', u'cabaret noir', u'neofolk dark cabaret']"
58,Your Kiss,1244,5905,146000,[]
59,Les Amants De Saint Jean,1378,7123,236000,"[u'chanson noir', u'chanson', u'neofolk', u'neofolk dark cabaret']"
60,You Haven't Changed,1247,5757,179000,[u'heart']
61,La Nave Dei Miei Sogni,1230,5615,239000,[]
62,Next (rough),1221,6083,178000,[]
63,Mother Fist,1351,5989,203000,"[u'accordion', u'neofolk', u'The Breath of the Universe', u'pure aural bliss', u'antiphonaire neumatique']"
64,A Cosa Pensi,1949,10589,185000,"[u'cabaret', u'cabaret noir', u'neofolk', u'folk noir', u'italian', u'dark folk', u'dark cabaret', u'folk cabaret', u'chanson noir']"
65,Portatori Del Fuoco,615,3728,343000,[u'anti-bullfighting']
66,Portatori Del Fuoco,615,3728,343000,[u'anti-bullfighting']
67,Portatori Del Fuoco,615,3728,343000,[u'anti-bullfighting']
68,Des Wotans schwarzer Haufen,8143,73673,291000,"[u'black metal', u'nsbm', u'pagan metal', u'germany', u'ebat spartak ebat', u'german', u'deutsch rock', u'BM', u'the pagan front', u'Kindermucke']"
69,Aufruf des Schinderhannes,5485,33553,210000,"[u'black metal', u'germany', u'nsbm', u'pagan metal', u'the pagan front']"
70,Hoch auf dem Panzerwagen,6041,41481,210000,"[u'black metal', u'nsbm', u'germany', u'german', u'war metal', u'pagan metal', u'beer metal', u'the pagan front', u'heavy funk', u'hidler hard core HHC', u'hitler hard core hhc', u'Grimmige Volksmusik', u'Heimatmelodien', u'schlecht gesungene volksmusik', u'favo heavy funk', u'fucking great heavy funk song']"
71,Hab mein Pestkarren vollgeladen,6112,41448,174000,"[u'black metal', u'nsbm', u'germany', u'pagan metal', u'pagan black metal', u'German Black Metal', u'folk metal', u'german', u'the pagan front', u'Black Metal from Germany', u'German hateful and misanthropic Metal', u'goofy nazis inc']"
72,Ein Jager aus Walhall,979,6463,0,[]
73,As The Fullmoon Disappears,2245,15720,130000,"[u'pagan metal', u'teutonic pride']"
74,Permafrost,2549,16302,226000,"[u'germany', u'pagan metal', u'black metal', u'german', u'nsbm', u'kein nsbm', u'the pagan front']"
75,Die Rote Rune,5786,32106,338000,"[u'pagan metal', u'nsbm', u'black metal', u'germany', u'the pagan front', u'pagan black metal', u'jupp', u'nazi fag crap', u'homoerotic emo', u'drr']"
76,Uber die Weiten Midgards,2302,10421,0,[u'pagan metal']
77,Green Heart,7893,47670,95000,"[u'black metal', u'nsbm', u'germany', u'pagan metal', u'pagan black metal', u'german', u'Pagan', u'Dark metal', u'I will play this song after killing 10million jews with a blunt knife', u'the pagan front', u'Raubritter']"
78,Raubritter,7689,52532,197000,"[u'black metal', u'nsbm', u'pagan metal', u'NS Black Metal', u'germany', u'favorites', u'anti-christian', u'Black', u'powerful', u'raw black metal', u'the pagan front', u'Summer Time', u'Grimmige Volksmusik', u'Macht Und Ehre', u'eugen tag']"
79,Ashes Scattered In A River,820,2569,140000,[u'martial industrial']
80,Förfäders Dygder,670,2072,344000,[u'martial industrial']
81,Dawn Of A New Mythos,795,2694,295000,[u'martial industrial']
82,Sturm Auf Die Zukunft,909,3497,190000,[u'martial industrial']
83,The Earth Shall Tremble Under The Tramp Of Our Feet,967,4339,328000,[u'martial industrial']
84,Order Of The Black Sun,1004,3658,272000,[u'martial industrial']
85,Templets Heliga Härd,1115,4431,285000,[u'martial industrial']
86,Heroic Age,1237,5275,368000,[u'martial industrial']
87,Imposing Elitism,1301,5090,326000,[u'martial industrial']
88,Что это за свобода?,317,1945,0,[]
89,Завтра,341,2002,0,[]
90,Сверхчеловек,710,6445,0,[]
91,РОА,529,3626,0,[]
92,Стальные Орлы,479,4364,0,[]
93,Солнечный крест,1123,13421,0,"[u'Gordost', u'Prav']"
94,Deautschland (No Remorse Cover),10,27,0,[]
95,To Give Death...,40,113,294000,[]
96,Carnarium,255,1973,205000,[]
97,Bloodcult,46,112,194000,[]
98,Offensive,163,1195,327000,[]
99,Verraten durch Taten (Hassgesang Cover),99,768,253000,[]
100,Black Metal ist...,107,715,563000,[]
101,Zu Sklaven Geboren?,145,1103,373000,[]
102,Leichenwasser - Erhebung,118,731,755000,[]
103,Bis Die Welt Vergeht?,161,825,384000,[]
104,Kampf macht frei!,182,963,359000,[]
105,Prolog/Feuernacht Erwache,122,730,477000,[]
106,The Land Between Tides / Glory,9474,41525,695000,"[u'instrumental', u'post-rock']"
107,The Last Rays,8432,24861,398000,"[u'instrumental', u'drone']"
108,The Hand that Holds the Truth,9540,31835,464000,[u'post-rock']
109,Surrender,11758,36249,460000,"[u'instrumental', u'post-rock']"
110,"Recoil, Ignite",9553,45026,798000,"[u'post-rock', u'instrumental']"
111,Beyond Retrieval,6012,25574,513000,"[u'dark ambient', u'ambient industrial', u'experimental', u'martial industrial', u'industrial ambient', u'industrial', u'Gothic', u'Deadbeat', u'Ritual', u'favourite tracks', u'cold meat industry', u'whoa', u'post industrial', u'Ever', u'martial ambient', u'dark ambiant', u'kelloves', u'desiderii marginis', u'swooky']"
112,A Bolt Out of the Blues,5530,24472,333000,"[u'dark ambient', u'Gothic', u'martial industrial', u'industrial', u'good', u'neofolk', u'neoclassical', u'apocalyptic folk', u'ambient industrial', u'post industrial', u'industrial ambient', u'nox-aeternus']"
113,Deadbeat II,5761,24666,259000,"[u'dark ambient', u'ambient', u'industrial', u'martial industrial', u'industrial ambient', u'4', u'relax', u'cold meat industry', u'ambient industrial', u'post industrial', u'martial ambient', u'rq loves this track']"
114,Souls Lost,5477,24948,265000,"[u'dark ambient', u'martial industrial', u'industrial', u'cosmic', u'ambient industrial', u'industrial ambient']"
115,And Never the Twain...,5132,24372,223000,"[u'dark ambient', u'martial industrial', u'industrial ambient', u'industrial', u'drone', u'glitchy', u'ethereal', u'ambient industrial', u'post-apocalyptic', u'doom ambient', u'melodramatic', u'neoclassical dark ambient', u'Torquemada']"
116,Angelus,6626,28559,257000,"[u'dark ambient', u'industrial', u'martial industrial', u'industrial ambient', u'ambient', u'experimental', u'dark', u'Gothic', u'krautrock', u'Avant-Garde', u'darkwave', u'Post-Industrial', u'cold meat industry', u'ambient industrial', u'post industrial', u'merken', u'martial ambient', u'swedish dark ambient', u'for: kainkagr']"
117,God's Shadow on Earth,5596,24451,258000,"[u'dark ambient', u'ambient', u'martial industrial', u'industrial ambient', u'industrial', u'drone', u'ambient industrial', u'doom ambient', u'arnd only', u'dark ambient fr liebhaber von grotten  hoehlen']"
118,In Harm's Way,5252,23508,303000,"[u'dark ambient', u'martial industrial', u'industrial', u'atmospheric', u'voice samples', u'cold meat industry', u'ambient industrial', u'industrial ambient', u'horrorshow', u'symphonic dark ambient']"
119,Mantrap,8845,37921,265000,"[u'dark ambient', u'drone', u'electronic', u'industrial ambient', u'noise', u'ambient', u'industrial', u'martial industrial', u'ambient industrial', u'swedish', u'sexy', u'dark', u'hypnotic', u'best', u'late night music', u'zombies', u'ambient trance', u'favourite tracks', u'the best', u'post industrial', u'nighttime listening', u'heroine', u'cold harsh electro', u'broken harsh noise', u'Torquemada', u'absolutely awesome', u'ecriture smooth', u'kelloves', u'holloween skitz0rz', u'hcr', u'-g2', u'-45t']"
120,Deadbeat I,9694,39701,325000,"[u'dark ambient', u'industrial', u'atmospheric', u'martial industrial', u'industrial ambient', u'electronic', u'ambient', u'sexy', u'favorites', u'dark', u'Gothic', u'beautiful', u'horns', u'depressing', u'best', u'darkness', u'creepy', u'martial', u'subterranean', u'Post-Industrial', u'cold meat industry', u'ambient industrial', u'death industrial', u'Myst', u'Torquemada', u'atmospheric dark ambient', u're:sounds', u'rq loves this track', u'xplanetx', u'ecriture smooth', u'Europa 2654', u'091jfm', u'-s8']"
121,Whore,2688,11402,295000,"[u'industrial metal', u'Industrial Death Metal', u'atmospheric', u'death metal', u'Brutal Death Metal', u'metal', u'sick drumming']"
122,Slave,3145,13586,311000,"[u'Industrial Death Metal', u'death metal', u'industrial metal', u'metal', u'heavy', u'epic', u'fantastic', u'Awesome', u'double bass', u'sinister', u'fucking great', u'Killer', u'great riffs', u'blast beats', u'incredible speed', u'astonishingly good', u'psycho death metal', u'exilhirating']"
123,Entropy,2803,10913,104000,"[u'industrial', u'Industrial Death Metal', u'cybergrind', u'industrial grind']"
124,Vermin,3423,15050,175000,"[u'Industrial Death Metal', u'industrial metal', u'black metal', u'metal', u'death metal', u'Brutal Death Metal', u'Technical Metal', u'future metal']"
125,Junky,3687,16832,296000,"[u'Industrial Death Metal', u'death metal', u'industrial metal', u'dark industrial metal', u'Brutal Death Metal', u'metal', u'industrial']"
126,The Empty Flow,4063,25365,599000,"[u'Progressive rock', u'piano', u'atmospheric', u'melancholic', u'gorgeous', u'perfect', u'dream rock']"
127,Laren U Freht Ona,4434,29306,386000,"[u'Gothic Rock', u'atmospheric', u'finnish', u'alternative rock', u'melancholic', u'relax', u'pure masterpiece love foreveeeer']"
128,Laren U Freht Ona,4434,29306,386000,"[u'Gothic Rock', u'atmospheric', u'finnish', u'alternative rock', u'melancholic', u'relax', u'pure masterpiece love foreveeeer']"
129,A Woeful Song,5174,35565,189000,"[u'alternative', u'sad', u'piano', u'atmospheric', u'winter', u'lavender']"
130,The Missing Pieces,4638,29351,293000,"[u'sad', u'atmospheric', u'melancholic', u'rock', u'alternative', u'alternative rock', u'ambient', u'piano', u'simply beautiful', u'songs that make me thinking', u'Giusychevola e che ama', u'giusychevola gifts from friends']"
131,Slow Motions,5641,37957,285000,"[u'atmospheric', u'finnish', u'melancholic', u'Gothic Rock', u'depressive rock']"
132,Aura,5154,32546,372000,"[u'Gothic Rock', u'Progressive rock', u'Like', u'finnish', u'gorgeous']"
133,To Leave,9806,82069,269000,"[u'melancholic', u'atmospheric rock', u'atmospheric', u'Gothic Rock', u'wonderful', u'sadness', u'rock', u'alternative rock', u'Progressive rock', u'beautiful', u'finnish', u'depressive rock', u'recos', u'goth wave', u'mun biisi', u'the last song to play before shooting yourself', u'murat']"
