,Songs,Listeners,Playcount,Duration,Tags
0,Smutná nevěsta,339,1347,207000,[]
1,Worker Bees,247306,1590615,241000,"[u'punk rock', u'rock', u'punk', u'alternative', u'alternative rock', u'Billy Talent', u'Canadian', u'seen live', u'emo', u'catchy', u'screamo', u'political', u'post hardcore', u'hardcore', u'favorites', u'post-hardcore', u'Punk Revival', u'energy', u'intense', u'male vocalist', u'00s', u'6 of 10 stars', u'anti-war', u'loud', u'heard on Pandora', u'punkrock', u'2006', u'2000s', u'Punk-Pop', u'Poltical', u'nice lyrics', u'powerfull', u'emopunkrock', u'alternativ punk', u'canada', u'memories', u'Love', u'Awesome', u'angry', u'summer', u'art rock', u'top', u'melancholy', u'pop punk', u'I like', u'Elephant 6', u'good', u'live', u'High School', u'war']"
2,Perfect World,251527,1637456,206000,"[u'punk rock', u'rock', u'punk', u'alternative', u'alternative rock', u'Billy Talent', u'emo', u'Canadian', u'seen live', u'heard on Pandora', u'punkrock', u'post hardcore', u'pop punk', u'screamo', u'post-hardcore', u'Rock on', u'billy talent2', u'perfect world', u'Billy Talent - Perfect World', u'cool', u'Status Quo', u'alternativ punk', u'indie', u'favorites', u'energy', u'Energetic', u'fav', u'emocore', u'southside 2008', u'Contention', u'intelligente Texte', u'anti-selbstmitleid-song', u'tritt in den Arsch', u'muss-lieder', u'goodcore', u'im addicted to', u'listened at pandora', u'vgood', u'faza', u'classic rock', u'favorite songs', u'pop rock', u'canada', u'memories', u'drums', u'american', u'party', u'Elephant 6', u'loved', u'super']"
3,Fallen Leaves,420243,3687242,208000,"[u'punk rock', u'rock', u'alternative rock', u'punk', u'alternative', u'Billy Talent', u'Canadian', u'emo', u'indie rock', u'hard rock', u'pop punk', u'seen live', u'indie', u'Fallen leaves', u'post-hardcore', u'favorites', u'party', u'favorite songs', u'hardcore', u'post hardcore', u'powerful', u'Love', u'goooooooood', u'Awesome', u'Favorite', u'metal', u'catchy', u'Energetic', u'favourite', u'male vocalists', u'FUCKING AWESOME', u'Punk Revival', u'Favorite Bands', u'Hard', u'canada', u'memories', u'dark', u'amazing', u'f', u'live', u'00s', u'2006', u'emocore', u'2000s', u'<3', u'My Favorites', u'Punk-Pop', u'indie punk', u'super-duper', u'ii']"
4,Pins and Needles,236257,1887961,191000,"[u'punk rock', u'rock', u'punk', u'alternative', u'alternative rock', u'Billy Talent', u'emo', u'Canadian', u'seen live', u'post hardcore', u'beautiful', u'depressing', u'makes you want to cry', u'lovesong', u'favourite', u'depression', u'perfect', u'3 stars', u'Punk Revival', u'Rock am Ring 2007', u'Fucking best', u'deep and meaningful', u'insert clever tag here', u'Gives you shivers', u'chillout', u'indie', u'rockabilly', u'favorite songs', u'sad', u'canada', u'favorites', u'memories', u'energy', u'Love', u'Awesome', u'melodic', u'art rock', u'deep', u'melancholy', u'amazing', u'I like', u'emotional', u'Elephant 6', u'male vocalists', u'love songs', u'great lyrics', u'rock n roll', u'00s', u'gorgeous', u'post-hardcore']"
5,So Long Baby Goodbye,70,252,0,[]
6,Hot Stuff,46,109,0,[]
7,Should I Stay or Should I Go - Remastered,138681,448871,0,"[u'punk rock', u'badass', u'classic rock', u'rock', u'80s', u'alternative', u'catchy', u'new wave', u'the clash', u'1982', u'shoutout', u'shoegazefan', u'wildheart', u'genre: hard rock', u'genre: punk rock', u'radio-moonlight-rock and roll', u'radio-moonlight-hard rock', u'tag: catchy song', u'tag: rock anthem', u'tag: this song rocks', u'radio-moonlight-anthems epics', u'tag: awesome musical sound', u'genre: power pop', u'radio-moonlight-punk rock']"
8,Warriors,195332,1582141,171000,"[u'rock', u'indie rock', u'indie', u'alternative', u'alternative rock', u'lol', u'Reis do Rock', u'epic', u'amazing', u'IMAGINE DRAGONS', u'Soundtrack', u'electronic', u'revolution', u'indie pop', u'american', u'great', u'political', u'strong', u'love at first listen', u'perfect', u'politics', u'3 stars', u'7 of 10 stars', u'Daft Punk', u'2014', u'2015', u'best of 2014', u'heroic', u'riot', u'Motivation', u'KICK', u'2014 single', u'bbc radio1 playlist 2014', u'movie song', u'motive', u'league of legends', u'maximum volume', u'perlast', u'imaginedragons', u'amazing job', u'Leagueoflegends', u'my top 100 of 2015']"
9,Thief,34099,157766,227000,"[u'indie', u'rock', u'alternative', u'alternative rock', u'indie rock', u'6 of 10 stars']"
10,Red Flag,504912,4136392,196000,"[u'punk rock', u'punk', u'rock', u'alternative', u'Billy Talent', u'alternative rock', u'emo', u'Canadian', u'seen live', u'red flag', u'indie', u'Punk-Rock', u'pop punk', u'hardcore', u'hard rock', u'post-hardcore', u'favorites', u'Energetic', u'live', u'hardcore punk', u'burnout', u'catchy', u'fast', u'screamo', u'emocore', u'post hardcore', u'billy', u'Punk Revival', u'super', u'cool', u'male vocalists', u'00s', u'2006', u'8 of 10 stars', u'2000s', u'SSX On Tour soundtrack', u'Soundtrack', u'post-punk', u'upbeat', u'kick ass', u'ssx', u'Rock am Ring 2007', u'Hyper Music', u'ii', u'hard 2006', u'one of the best songs in existence', u'canpunk', u'Drinking Party Music']"
11,Lavatory Love Machine,60649,394067,264000,"[u'Power metal', u'metal', u'heavy metal', u'melodic metal', u'edguy', u'Melodic Power Metal', u'favorite songs', u'hard rock', u'Awesome', u'speed metal', u'fun', u'sex', u'funny', u'great songs', u'German metal', u'seen live', u'favorites', u'germany', u'german', u'Uplifting', u'symphonic power metal', u'FUCKING AWESOME', u'airplanes', u'metal opera', u'happy metal', u'Pop Metal', u'metal favorites', u'my son', u'Edguy - Lavatory Love Machine', u'classic rock', u'test', u'energy', u'power', u'catchy', u'hair metal', u'Dreamy', u'great', u'humour', u'good', u'humor', u'00s', u'Favorite', u'bouncy', u'brilliant', u'melodic speed metal', u'hilarious', u'fantasy metal', u'Masterpiece', u'fantasy', u'6 of 10 stars']"
12,Fucking With Fire (Hair Force One),21791,171755,263000,"[u'Power metal', u'Tobias Sammet', u'heavy metal', u'metal', u'edguy', u'melodic metal', u'funny shit', u'cool', u'catchier than FUCK', u'hair metal', u'Melodic Power Metal', u'classic rock', u'seen live', u'hard rock', u'Awesome', u'german', u'fun', u'funny', u'00s', u'symphonic metal', u'Favorite', u'Cock rock', u'Masterpiece', u'2000s', u'6 of 10 stars', u'fun metal', u'funny lyrics', u'Pop Metal', u'funny metal', u'crazy metal', u'empolgante', u'victory music', u'metal favorites', u'divertida', u'orchestrial metal', u'rocket ride', u'glam-heavy metal', u'KVLT AS FVCK', u'i love cookieporn', u'song that makes your head explode of amazement', u'vontade de cantar junto', u'Hard Rawk', u'the prawcess of luhv metal']"
