,Songs,Listeners,Playcount,Duration,Tags
0,Digging graves,3237,12160,179000,[]
1,The Lifecycle Has Turned,3242,12475,140000,[]
2,Why I Fight,3556,13592,76000,[]
3,Waist Deep,3382,13130,100000,[]
4,Sad Attempt,3430,13383,176000,"[u'Crust', u'd-beat', u'swedish hardcore', u'scandi-hardcore', u'd-beat crust punk']"
5,Dogmas Corrode,3576,14357,127000,[]
6,Done Got Wise,3653,15260,107000,"[u'punk', u'hardcore', u'Crust', u'heavy as fuck', u'd-beat crust punk']"
7,Hide and Seek,3857,15939,113000,[u'Crust']
8,Mindprowler,4068,17462,134000,"[u'Crust', u'd-beat']"
9,Hellhound Warpig,883,2904,177000,"[u'd-beat', u'metal crust']"
10,Idioternas parad,2502,9068,0,[]
11,Liv-rädd,2173,8346,0,[]
12,Jag mot dig,2651,9715,0,[]
13,Förbrukad,2400,8944,0,[]
14,Långt fall,2249,8576,0,[]
15,Realisation av välfärden,2495,10430,0,[]
16,Pain from Pleasure,2618,9695,146000,"[u'punk', u'crust punk', u'd-beat']"
17,Lycanthro Punk,2899,11432,163000,"[u'crust punk', u'd-beat', u'punk', u'Lycanthro Punk']"
18,Wish,2717,9984,177000,"[u'punk', u'crust punk', u'd-beat']"
19,Shellshock,2784,10456,118000,"[u'punk', u'crust punk', u'd-beat', u'd-beat crust punk']"
20,Zonetripper,2921,11200,148000,"[u'punk', u'crust punk', u'd-beat', u'metal crust']"
21,Roll the Dice,2988,11629,131000,"[u'punk', u'crust punk', u'd-beat', u'metal crust']"
22,Counter Pain,3141,49789,147000,"[u'd-beat', u'punk', u'crust punk', u'FUCKING AWESOME', u'metal crust']"
23,A Basic Urge to Kill,3865,17236,98000,"[u'd-beat', u'punk', u'crust punk', u'metal crust']"
24,Hard Tech,3190,12802,141000,"[u'crustpunk', u'crustcore', u'Crust', u'd-beat', u'metal crust']"
25,Dead Heading,3182,12907,128000,"[u'd-beat', u'punk', u'insane', u'crust punk']"
26,Powerpigs,3453,15026,180000,"[u'd-beat', u'punk', u'Crust', u'crust punk', u'metal crust']"
27,Wails of Death,3568,15063,123000,"[u'punk', u'crust punk', u'd-beat', u'metal crust']"
28,March of the Wolves (Intro),3140,12099,63000,"[u'punk', u'crust punk', u'd-beat', u'metal crust']"
29,Submission,732,2298,183000,[u'metal crust']
30,Gunhead Batallion,786,2451,101000,[]
31,Cinde-Fucking-Rella,808,2471,0,[u'metal crust']
32,Shapeshifter,818,2725,0,[u'metal crust']
33,Hellhound Warpig,883,2904,177000,"[u'd-beat', u'metal crust']"
34,Further Down The Nest II,9323,100728,381000,"[u'black metal', u'polish', u'poland', u'excellent', u'polish black metal', u'interesting', u'nice intro', u'songs to play after you sit for an hour waiting for a bus', u'Excellent Nightwork']"
35,Further Down The Nest I,9810,103899,306000,"[u'black metal', u'poland', u'melodic black metal', u'songs to play after you sit for an hour waiting for a bus', u'atmospheric black metal', u'depresive black metal', u'remind']"
36,Mdłości II,9779,94543,251000,"[u'black metal', u'poland', u'polish black metal', u'metal', u'depressive black metal']"
37,Mdłości I,10399,101260,393000,"[u'black metal', u'FUCKING AWESOME', u'poland', u'metal', u'best song ever', u'depressive black metal', u'Orthodox Black Metal', u'polish black metal', u'where has this been all my life', u'jouissif', u'awesome Recitative', u'i sent this to knorr and he liked it', u'best bm tracks ever', u'songs to play after you sit for an hour waiting for a bus']"
38,Craving Vehemence,2885,8939,198000,"[u'black metal', u'FUCKING AWESOME', u'raw black metal', u'Finnish Perfection']"
39,Unevangel,2649,7860,574000,"[u'Finnish Black Metal', u'black metal', u'slow black metal']"
40,Craving Vehemence,2885,8939,198000,"[u'black metal', u'FUCKING AWESOME', u'raw black metal', u'Finnish Perfection']"
41,Ei Toivottu Vieras / Tyrannia Martyrum,14,29,0,[]
42,Power and Will IV,4674,25059,282000,[u'black metal']
43,Power and Will III,5021,26748,256000,"[u'black metal', u'Orthodox Black Metal']"
44,Power And Will II,4924,26263,0,"[u'black metal', u'pagan black metal']"
45,Power and Will I,5096,28248,355000,[u'black metal']
46,Power and Will IV,4674,25059,282000,[u'black metal']
47,Power and Will III,5021,26748,256000,"[u'black metal', u'Orthodox Black Metal']"
48,Power And Will II,4924,26263,0,"[u'black metal', u'pagan black metal']"
49,Power and Will I,5096,28248,355000,[u'black metal']
50,Further Down The Nest I,9810,103899,306000,"[u'black metal', u'poland', u'melodic black metal', u'songs to play after you sit for an hour waiting for a bus', u'atmospheric black metal', u'depresive black metal', u'remind']"
51,Further Down The Nest II,9323,100728,381000,"[u'black metal', u'polish', u'poland', u'excellent', u'polish black metal', u'interesting', u'nice intro', u'songs to play after you sit for an hour waiting for a bus', u'Excellent Nightwork']"
52,Further Down The Nest I,9810,103899,306000,"[u'black metal', u'poland', u'melodic black metal', u'songs to play after you sit for an hour waiting for a bus', u'atmospheric black metal', u'depresive black metal', u'remind']"
53,Further Down The Nest II,9323,100728,381000,"[u'black metal', u'polish', u'poland', u'excellent', u'polish black metal', u'interesting', u'nice intro', u'songs to play after you sit for an hour waiting for a bus', u'Excellent Nightwork']"
54,Further Down The Nest I,9810,103899,306000,"[u'black metal', u'poland', u'melodic black metal', u'songs to play after you sit for an hour waiting for a bus', u'atmospheric black metal', u'depresive black metal', u'remind']"
55,Mdłości II,9779,94543,251000,"[u'black metal', u'poland', u'polish black metal', u'metal', u'depressive black metal']"
56,Mdłości I,10399,101260,393000,"[u'black metal', u'FUCKING AWESOME', u'poland', u'metal', u'best song ever', u'depressive black metal', u'Orthodox Black Metal', u'polish black metal', u'where has this been all my life', u'jouissif', u'awesome Recitative', u'i sent this to knorr and he liked it', u'best bm tracks ever', u'songs to play after you sit for an hour waiting for a bus']"
57,With Hearts Toward None VII,11368,107126,601000,"[u'black metal', u'metal', u'songs to play after you sit for an hour waiting for a bus', u'10s', u'polish black metal', u'epic as fuck', u'black fucking metal', u'songs you play after you sit for an hour waiting for a bus']"
58,With Hearts Toward None VI,11112,93719,290000,"[u'black metal', u'10s', u'Orthodox Black Metal', u'songs to play after you sit for an hour waiting for a bus']"
59,With Hearts Toward None V,11382,96529,327000,"[u'black metal', u'polish', u'wow', u'10s', u'songs to play after you sit for an hour waiting for a bus']"
60,With hearts toward none IV,11792,110886,0,"[u'black metal', u'10s']"
61,With Hearts Toward None III,12221,117057,477000,"[u'black metal', u'polish', u'polish black metal', u'Perfection', u'10s', u'poland', u'melodic black metal', u'riff', u'songs to play after you sit for an hour waiting for a bus']"
62,With Hearts Toward None II,12614,117708,274000,"[u'black metal', u'metal', u'amazing', u'10s', u'obstreperous', u'songs to play after you sit for an hour waiting for a bus']"
63,With Hearts Toward None I,13256,129217,307000,"[u'black metal', u'fav', u'10s', u'songs to play after you sit for an hour waiting for a bus']"
64,Presence III,5690,45908,249000,"[u'black metal', u'Orthodox Black Metal', u'poland']"
65,Presence II,6046,50490,473000,"[u'black metal', u'poland', u'depressive black metal', u'DSBM', u'Orthodox Black Metal', u'polish black metal', u'Underground Black Metal', u'black metal from poland']"
66,Presence I,6194,50722,479000,"[u'black metal', u'poland', u'Orthodox Black Metal', u'polish', u'Underground Black Metal', u'am chef de ceva intunecat']"
67,Shiny Summer's Warmth,1060,7753,0,"[u'2000s', u'2001', u'black metal', u'metal', u'instrumental', u'post-punk', u'atmospheric', u'5 Stars', u'best of 2001', u'poland', u'demo', u'atmospheric black metal']"
68,Necrotic,1123,8045,0,"[u'black metal', u'post-punk', u'2000s', u'poland', u'2001', u'polish black metal']"
69,Mdłości II,9779,94543,251000,"[u'black metal', u'poland', u'polish black metal', u'metal', u'depressive black metal']"
70,Mdłości I,10399,101260,393000,"[u'black metal', u'FUCKING AWESOME', u'poland', u'metal', u'best song ever', u'depressive black metal', u'Orthodox Black Metal', u'polish black metal', u'where has this been all my life', u'jouissif', u'awesome Recitative', u'i sent this to knorr and he liked it', u'best bm tracks ever', u'songs to play after you sit for an hour waiting for a bus']"
71,Presence I,6194,50722,479000,"[u'black metal', u'poland', u'Orthodox Black Metal', u'polish', u'Underground Black Metal', u'am chef de ceva intunecat']"
72,Shiny Summer's Warmth,1060,7753,0,"[u'2000s', u'2001', u'black metal', u'metal', u'instrumental', u'post-punk', u'atmospheric', u'5 Stars', u'best of 2001', u'poland', u'demo', u'atmospheric black metal']"
73,Necrotic,1123,8045,0,"[u'black metal', u'post-punk', u'2000s', u'poland', u'2001', u'polish black metal']"
