,Songs,Listeners,Playcount,Duration,Tags
0,Hallowed Point,132409,683958,204000,"[u'thrash metal', u'metal', u'speed metal', u'Slayer', u'thrash', u'heavy metal', u'seen live', u'1990', u'hallowed point', u'rock', u'death metal', u'8 of 10 stars', u'bay area thrash metal', u'718 Metal', u'slgdmbestof', u'Seasons In The Abyss', u'classic', u'80s', u'90s', u'death', u'american', u'heard on Pandora', u'male vocalist', u'uptempo', u'3 stars', u'english lyrics', u'1990s', u'trash metal', u'Bay Area', u'dave lombardo', u'All time favourites', u'classic metal', u'aggression', u'80s metal', u'modern metal', u'death-thrash metal', u'riffs', u'5 of 10 stars', u'9 lbs hammer', u'Megadeth', u'Live recording', u'ass kicking', u'death thrash metal', u'In Your Fucking Face', u'west coast thrash', u'Nakoruru', u'Mendigao thrash', u'Tom ARAYA', u'Kerry King', u'Jeff Hannemann']"
1,A Gunshot To The Head Of Trepidation,188647,1065709,355000,"[u'metalcore', u'metal', u'thrash metal', u'Trivium', u'heavy metal', u'Melodic Death Metal', u'melodic metal', u'Nu Metal', u'thrash', u'seen live', u'rock', u'hardcore', u'death metal', u'Melodic Thrash Metal', u'melodic metalcore', u'Trivium - A Gunshot To The Head Of Trepidation', u'american', u'favorites', u'amazing', u'Power metal', u'awesome riffs', u'great solos', u'A Gunshot To The Head Of Trepidation', u'nice growling', u'Crazy Train', u'fast', u'hard rock', u'epic', u'speed metal', u'Trash', u'metallica', u'Nu-metal', u'thrashcore', u'psycho metal', u'awsome', u'Arch Enemy', u'music that gets me my dick hard', u'headbangin', u'awesome solos', u'so zorry', u'youve got the mic ive got the moshpit', u'genious guitar themes', u'Grunge', u'alternative', u'emo', u'Progressive rock', u'USA', u'Stoner Rock', u'beautiful', u'Awesome']"
2,Arise - Reissue,21624,61505,198000,"[u'9 of 10 stars', u'thrash metal', u'death metal', u'brazilian']"
3,Here Comes Revenge,39961,140216,437000,"[u'heavy metal', u'Contemporary', u'thrash metal', u'2', u'metallica', u'2016', u'Guitar Solo', u'Hardwired\u2026To Self-Destruct']"
4,Manunkind,41997,143511,0,"[u'heavy metal', u'metal', u'thrash metal', u'groovy', u'metallica', u'Guitar Solo', u'Hardwired\u2026To Self-Destruct']"
5,Confusion,44778,161407,403000,"[u'heavy metal', u'thrash metal', u'metal', u'hard rock', u'Contemporary', u'3', u'Favorite', u'metallica', u'2016', u'Guitar Solo', u'Hardwired\u2026To Self-Destruct']"
6,Halo On Fire,48406,194862,495000,"[u'heavy metal', u'thrash metal', u'hard rock', u'Contemporary', u'Awesome', u'Favorite', u'6 of 10 stars', u'trash metal', u'metallica', u'2016', u'Guitar Solo', u'#1', u'progressive metal', u'Hardwired\u2026 to Self-Destruct']"
7,Dream No More,51146,188422,389000,"[u'heavy metal', u'thrash metal', u'metallica', u'2016', u'Contemporary', u'2', u'Guitar Solo', u'lovecraft', u'cthulhu', u'hardwired to self distruct', u'Hardwired\u2026To Self-Destruct', u'lovecraft']"
8,Moth Into Flame,79024,402076,350000,"[u'heavy metal', u'thrash metal', u'metal', u'thrash', u'Nu-metal', u'2016', u'sexy', u'Progressive metal', u'Contemporary', u'Awesome', u'speed metal', u'fip', u'Crap', u'Nu Metal', u'2', u'fallon', u'trash metal', u'Guitar Solo', u'Killer', u'not nu-metal']"
9,Now That We’re Dead,32827,107507,0,"[u'heavy metal', u'metal', u'Contemporary', u'Favorite', u'trash metal', u'5', u'2016', u'Guitar Solo']"
10,"Atlas, Rise!",73543,305554,388000,"[u'heavy metal', u'thrash metal', u'metal', u'metallica', u'Progressive metal', u'hard rock', u'Contemporary', u'Favorite', u'NWOBHM', u'8', u'2016', u'Guitar Solo', u'bay area thrash metal', u'new album', u'Hardwired\u2026To Self-Destruct', u'hardwired to self destruct', u'atlas rise']"
11,Hardwired,94200,445348,189000,"[u'metal', u'thrash metal', u'heavy metal', u'speed metal', u'metallica', u'trash metal', u'2016', u'thrash', u'bay area thrash metal', u'rock', u'fast', u'hard rock', u'epic', u'Contemporary', u'american', u'California', u'4', u'Favorite', u'10s', u'2010s', u'Guitar Solo', u'american metal', u'hard core', u'Trash-Metal', u'new album', u'Trashmetal', u'2010s Metal', u'trash metall', u'2016', u'Hardwired To Self-Destruct', u'trash-metall', u'trashmetall', u'hardwired to self-destruct!', u'blowing my fucking face to smitherines', u'hardwired', u'hardwired to self destruct']"
12,Rio Bravo,54309,235756,190000,"[u'rock', u'alternative metal', u'metal', u'alternative rock', u'hard rock', u'Post Grunge', u'CKY', u'cky-rio bravo', u'test', u'punk', u'alternative', u'Experimental Rock', u'Driving', u'intense', u'prog rock', u'horror', u'aggro', u'fuck', u'Favourite Songs', u'music for an ass-beating', u'9 lbs hammer', u'songs i like', u'my favourite songs', u'lucipro', u'metalm brooding', u'serial killer soundtrack', u'sfc', u'powerfuck', u'catchy happy', u'apc tool', u'moje wlasne', u'Pro-Rock-Beat']"
13,Start Today,46699,282478,123000,"[u'hardcore', u'Straight Edge', u'hardcore punk', u'punk', u'nyhc', u'oldschool hardcore', u'breakdown', u'breakdowns', u'red shoes ecstasy', u'seen live', u'rock', u'energy', u'guitar', u'punk rock', u'inspiration', u'Ecstasy', u'inspiring', u'friendsofthekingofrummelpop', u'Old-School', u'7 of 10 stars', u'straight-edge', u'SxE', u'my favorite', u'posi', u'hardcore-punk', u'Gorilla Biscuits', u'railgunriot', u'hardcore old-school', u'start today- gorilla biscuits', u'Tuuuuune', u'gorilla bisucits', u'back in the day - nyhc', u'100 kere dinle']"
14,Vodda Vodka,132,277,19000,[]
15,The Heart Part 4,47875,193867,288000,"[u'Hip-Hop', u'rap', u'hip hop', u'Diss', u'american', u'hiphop', u'love at first listen', u'trap', u'hit', u'west coast hip-hop', u'god tier', u'2017', u'The Heart', u'bye drake']"
16,FEEL.,76052,273254,214000,"[u'Hip-Hop', u'rap']"
17,LOYALTY. FEAT. RIHANNA.,62659,223040,0,[]
18,goosebumps,33661,229044,243000,"[u'Hip-Hop', u'hip hop', u'rap', u'kendrick lamar']"
19,goosebumps,33661,229044,243000,"[u'Hip-Hop', u'hip hop', u'rap', u'kendrick lamar']"
20,Ecco Chamber,5446,19747,144000,"[u'electronic', u'ambient', u'experimental', u'canada', u'world', u'numetal', u'vaporwave', u'alternative', u'cyberpunk']"
