,Songs,Listeners,Playcount,Duration,Tags
0,Lukewarm,306,1966,209000,[]
1,Gorilla,1149,9510,185000,[u'2016']
2,pentagon,548,4140,205000,[]
3,Wake up (Intro),445,2749,85000,[]
4,Smile,400,2042,213000,[]
5,Lukewarm,306,1966,209000,[]
6,Gorilla,1149,9510,185000,[u'2016']
7,pentagon,548,4140,205000,[]
8,Wake up (Intro),445,2749,85000,[]
9,Smile,400,2042,213000,[]
10,Lukewarm,306,1966,209000,[]
11,Gorilla,1149,9510,185000,[u'2016']
12,pentagon,548,4140,205000,[]
13,Wake up (Intro),445,2749,85000,[]
14,Smile,400,2042,213000,[]
15,Lukewarm,306,1966,209000,[]
16,Gorilla,1149,9510,185000,[u'2016']
17,pentagon,548,4140,205000,[]
18,Wake up (Intro),445,2749,85000,[]
19,Smile,400,2042,213000,[]
20,Lukewarm,306,1966,209000,[]
21,Gorilla,1149,9510,185000,[u'2016']
22,pentagon,548,4140,205000,[]
23,pentagon,548,4140,205000,[]
24,Wake up (Intro),445,2749,85000,[]
25,Smile,400,2042,213000,[]
26,Lukewarm,306,1966,209000,[]
27,Gorilla,1149,9510,185000,[u'2016']
28,Smile,400,2042,213000,[]
29,Lukewarm,306,1966,209000,[]
30,Gorilla,1149,9510,185000,[u'2016']
31,pentagon,548,4140,205000,[]
32,Wake up (Intro),445,2749,85000,[]
33,"Organic song (E'dawn, Yuto, Woo Seok With Hui)",246,1723,0,[]
34,Smile,400,2042,213000,[]
35,Lukewarm,306,1966,209000,[]
36,Gorilla,1149,9510,185000,[u'2016']
37,pentagon,548,4140,205000,[]
38,Wake up (Intro),445,2749,85000,[]
39,마지막 첫사랑 My First and Last,1984,19271,0,[]
40,Highlight,2469,27418,0,"[u'EDM', u'2017']"
41,GOOD THING,3737,56986,220000,"[u'Kpop', u'pop', u'rap', u'funky', u'Asian', u'Korean', u'k-pop', u'10s', u'2010s', u'eletronic', u'Korean Pop', u'w', u'SMTOWN', u'2010s pop', u'Asian Pop', u'10s pop', u'NCT', u'10s k-pop', u'NCT 127']"
42,Wake me up,2564,52178,209000,"[u'k-pop', u'love at first listen', u'Kpop', u'pop', u'Asian', u'Korean', u'male vocalists', u'bap', u'march', u'Masterpiece', u'best of 2017', u'Korean Pop', u'asian music', u'Asian Pop', u'2017', u'Slay', u'zelo', u'ts entertainment', u'daehyun', u'himchan', u'jongup', u'yongguk', u'youngjae']"
43,REALLY REALLY,3614,60483,0,"[u'Kpop', u'2017', u'Korean', u'k-pop', u'REALLY REALLY REALLY REALLY', u'pop', u'Asian', u'love at first listen', u'boyband', u'10s', u'2010s', u'boy bands', u'boy band', u'boybands', u'best of 2017', u'Korean Pop', u'YG', u'2010s pop', u'Asian Pop', u'Boy Groups', u'10s pop', u'10s k-pop', u'10s boy groups', u'2017 pop', u'10s boy bands', u'Best 2017', u'willy willy willy willy']"
44,MOVIE,1646,19097,223000,[u'2017']
45,Beautiful,2241,24061,204000,"[u'pop', u'Asian', u'Korean', u'k-pop', u'10s', u'2010s', u'Kpop', u'boy bands', u'boybands', u'best of 2017', u'Korean Pop', u'2010s pop', u'Asian Pop', u'2017', u'Boy Groups', u'10s pop', u'10s k-pop', u'10s boy groups', u'2017 pop', u'2017 k-pop', u'10s boy bands', u'2010s boy bands']"
46,Dancing King,5179,29179,0,[]
47,Jungle Game,777,6420,193000,[]
48,Still My Lady,394,2782,215000,[]
49,K.O.,1526,18852,216000,[u'Jam']
50,Roar,1136,7023,187000,"[u'k-pop', u'Kpop']"
51,Fanfare,2353,15883,0,[]
52,Together,1172,11024,189000,[]
53,K.O.,1526,18852,216000,[u'Jam']
54,Fanfare,2353,15883,0,[]
55,Together,1172,11024,189000,[]
56,K.O.,1526,18852,216000,[u'Jam']
57,Fanfare,2353,15883,0,[]
58,Hey You,704,4981,185000,[]
59,RUSH,2448,20740,0,[u'hip hop']
60,View,19001,408019,190000,"[u'2015', u'k-pop', u'best of 2015', u'shinee', u'summer', u'Korean', u'pop', u'boyband', u'Kpop', u'neomu areumdaun daun daun daun view', u'dance', u'House', u'deep house', u'love at first listen', u'view', u'chill', u'catchy', u'upbeat', u'deep', u'1', u'amazing', u'sex', u'groovy', u'male vocalists', u'dance pop', u'odd', u'Jam', u'addictive', u'perfect', u'Masterpiece', u'Eargasm', u'10s', u'2010s', u'4 Stars', u'addicting', u'Faves', u'<3', u'chilling', u'dance music', u'makes me happy', u'tonight', u'Korea', u'Pop Music', u'Korean Pop', u'All time favourite', u'dancepop', u'sm', u'sm entertainment', u'Summer Jam', u'Summer Party']"
61,Love Paint (every afternoon),1467,19844,0,"[u'amazing', u'k-pop', u'Kpop', u'fav list', u'best of 2016', u'the chooooruuuuussss', u'PAINTING PAINTING', u'PRISM PRISM', u'[baekho voice] aHHHHHhhhHH']"
62,Switch - Bonus Track,1921,16288,0,[]
63,Can’t Bring Me Down,3390,24414,0,[]
64,Another World,4187,71992,0,"[u'Kpop', u'dance', u'amazing', u'Korean', u'k-pop', u'boygroup', u'trap', u'boyband', u'Korea', u'flawless', u'fave', u'baby turn it on', u'hot', u'I WANNA FEEL NOTHING', u""I DON'T WANNA FEEL NOTHING*""]"
65,"일곱 번째 감각 The 7th Sense (Sung by TAEYONG, MARK, JAEHYUN, DOYOUNG, TEN)",7756,90641,0,"[u'k-pop', u'Kpop', u'K-hip hop', u'NCT U', u'The 7th Sense']"
66,YESTERDAY,2728,22441,168000,"[u'Kpop', u'yesterday', u'block b', u'pop', u'k-pop', u'male vocalists', u'love at first listen', u'boyband', u'po', u'boy band', u'Korean Pop', u'2017', u'k pop', u'Zico', u'korean boyband', u'Kyung', u'korean boy band', u'B-Bomb', u'u-kwon', u'Taeil', u'jaehyo', u'blockb', u'1w', u'seven seasons']"
67,Roar,1136,7023,187000,"[u'k-pop', u'Kpop']"
68,All I Wanna Do,1987,19784,209000,"[u'k-pop', u'2016', u'k-hip-hop', u'Jay Park', u'aomg']"
69,마지막 첫사랑 My First and Last,1984,19271,0,[]
70,마지막 첫사랑 My First and Last,1984,19271,0,[]
71,마지막 첫사랑 My First and Last,1984,19271,0,[]
72,마지막 첫사랑 My First and Last,1984,19271,0,[]
73,마지막 첫사랑 My First and Last,1984,19271,0,[]
74,이름에게,301,1207,0,[]
75,그렇게 사랑은,309,1190,0,[]
76,밤편지 (Through the Night),305,3318,253000,[]
77,마침표,332,1279,0,[]
78,Black Out,573,2443,0,[]
79,잼잼,381,4466,0,[u'i need some sugar i need something fake']
80,사랑이 잘 (With 오혁),447,4932,0,[]
81,이런 엔딩,350,1346,0,[]
82,팔레트 (Feat. G-DRAGON),391,3508,0,[]
83,이 지금,380,1782,0,[]
