,Songs,Listeners,Playcount,Duration,Tags
0,Change,23104,74545,233000,"[u'post-punk', u'industrial', u'punk', u'Post punk', u'rock', u'80s', u'new wave', u'classic rock', u'alternative', u'punk rock', u'industrial metal', u'1980', u'Alternate Rock', u'critically acclaimed song', u'acclaimed music top 3000 bubbling under', u'heavy metal', u'alternative rock', u'heavy', u'experimental', u'hard rock', u'dance', u'slow', u'waiting', u'industrial rock', u'eclectonia', u'Classic British Hard Rock', u'classic hard rock', u'change', u'british rock', u'classic metal', u'all-time favorite', u'somafm', u'doom and gloom', u'Solomusika-Loved', u'industrial nightrider', u'classic heavy metal', u'I want back to the 80s', u'Bagel', u'classic british heavy metal', u'classic British rock', u'post punk rock', u'd-i-s-c-o', u'Quasi-metal', u'Classic British Metal', u'berries for hours', u'dons sheraton disco faves', u'MINOG Case', u'1976-1981 according to stretchead']"
1,Change,23104,74545,233000,"[u'post-punk', u'industrial', u'punk', u'Post punk', u'rock', u'80s', u'new wave', u'classic rock', u'alternative', u'punk rock', u'industrial metal', u'1980', u'Alternate Rock', u'critically acclaimed song', u'acclaimed music top 3000 bubbling under', u'heavy metal', u'alternative rock', u'heavy', u'experimental', u'hard rock', u'dance', u'slow', u'waiting', u'industrial rock', u'eclectonia', u'Classic British Hard Rock', u'classic hard rock', u'change', u'british rock', u'classic metal', u'all-time favorite', u'somafm', u'doom and gloom', u'Solomusika-Loved', u'industrial nightrider', u'classic heavy metal', u'I want back to the 80s', u'Bagel', u'classic british heavy metal', u'classic British rock', u'post punk rock', u'd-i-s-c-o', u'Quasi-metal', u'Classic British Metal', u'berries for hours', u'dons sheraton disco faves', u'MINOG Case', u'1976-1981 according to stretchead']"
2,Primitive,26486,76542,228000,"[u'post-punk', u'industrial', u'new wave', u'rock', u'killing joke', u'alternative', u'alternative rock', u'Post punk', u'punk', u'indie rock', u'industrial rock', u'punk rock', u'live', u'industrial metal', u'1980', u'primitive', u'fuzzy guitar goodness', u'Great Britain', u'Solomusika-Loved', u'I want back to the 80s', u'p rock', u'ahead of its time', u'JAZ COLEMAN', u'berries for hours', u'Geordie Walker', u'my music scares people', u'MINOG Case']"
3,S.O.36,10563,29543,412000,"[u'post-punk', u'industrial', u'alternative', u'new wave', u'rock', u'Post punk', u'industrial metal', u'1980', u'acronyms', u'Faust', u'DavidBowie', u'can', u'Great Britain', u'I want back to the 80s', u'lisbe', u'ric ocasek', u'kappe silence', u'MINOG Case', u'tonesontail']"
4,Complications,29878,95858,215000,"[u'post-punk', u'new wave', u'industrial', u'80s', u'alternative rock', u'Post punk', u'alternative', u'rock', u'punk rock', u'drum-tastic', u'best of eighties', u'post punkies', u'Best Of Favorite Artists', u'classic rock', u'heavy metal', u'metal', u'hard rock', u'favorites', u'eighties', u'industrial rock', u'industrial metal', u'anarcho-punk', u'eclectonia', u'Classic British Hard Rock', u'classic hard rock', u'Joy Division', u'1980', u'british rock', u'classic metal', u'Alternate Rock', u'best of 80s', u'Great Britain', u'classic heavy metal', u'I want back to the 80s', u'other level', u'classic british heavy metal', u'classic British rock', u'the strombo show', u'Best Of Alternate Rock', u'best of industrial', u'post punk rock', u'Vanguart', u'Classic British Metal', u'transitglambat', u'avn songs', u'fucked stars', u'1000 Jahre E-Gitarre', u'radio21', u'klassischer Schrammel', u'MINOG Case']"
5,The Wait,44754,159644,223000,"[u'post-punk', u'industrial', u'new wave', u'rock', u'80s', u'Post punk', u'industrial rock', u'punk rock', u'punk', u'alternative', u'1980', u'lizvelrene postpunk', u'british', u'alternative rock', u'loved', u'industrial metal', u'covered by metallica', u'classic rock', u'heavy metal', u'metal', u'hard rock', u'dance', u'Gothic', u'england', u'mental', u'great', u'amazing', u'Fiery', u'Menacing', u'Rousing', u'hypnotic', u'super', u'good', u'The Beatles', u'5 Stars', u'apocalyptic', u'manic', u'friendsofthekingofrummelpop', u'eclectonia', u'Classic British Hard Rock', u'classic hard rock', u'metallica', u'killing joke', u'Faust', u'Big dance thumps', u'british rock', u'can', u'classic metal', u'Alternate Rock', u'All time favourite']"
6,Bloodsport,28851,86927,279000,"[u'post-punk', u'industrial', u'new wave', u'instrumental', u'Post punk', u'rock', u'alternative', u'industrial rock', u'punk rock', u'darkwave', u'Disco', u'80s', u'british', u'punk', u'alternative rock', u'dance', u'clap hands', u'1980', u'killing joke', u'Alternate Rock', u'Great Britain', u'Whos Got The Clap', u'Solomusika-Loved', u'club misfits', u'in the lab', u'emotional instrumental', u'MINOG Case']"
7,Tomorrow's World,29559,87738,330000,"[u'post-punk', u'industrial', u'new wave', u'alternative', u'Post punk', u'80s', u'punk', u'dark', u'killing joke', u'rock', u'alternative rock', u'punk rock', u'industrial metal', u'1980', u'Big dance thumps', u'Alternate Rock', u'totally awesome', u'Great Britain', u'a bad idea whose time has come', u'marching music', u'synthetic dark pop', u'today is yesterdays tomorrow']"
8,Wardance,53640,187489,228000,"[u'post-punk', u'new wave', u'industrial', u'80s', u'Post punk', u'punk rock', u'alternative', u'industrial rock', u'rock', u'british', u'punk', u'Gothic', u'alternative rock', u'industrial metal', u'1980', u'lucianoakaFM-press the eject give me the tape-playlist', u'similar to: magazine', u'classic rock', u'heavy metal', u'seen live', u'pop', u'classic', u'Hard', u'hard rock', u'electro', u'favorites', u'eighties', u'Progressive', u'alternative metal', u'Crunchy', u'ebm', u'darkwave', u'loved', u'live', u'4', u'Favorite', u'punkish', u'all time faves', u'friendsofthekingofrummelpop', u'eclectonia', u'Classic British Hard Rock', u'classic hard rock', u'takes me back', u'5', u'create new tag', u'Big dance thumps', u'british rock', u'classic metal', u'randomly awesome', u'UK Punk']"
9,Requiem,54318,198363,181000,"[u'post-punk', u'new wave', u'industrial', u'80s', u'Post punk', u'killing joke', u'punk', u'alternative', u'alternative rock', u'industrial rock', u'industrial metal', u'Gothic Rock', u'rock', u'punk rock', u'this is uncool', u'classic rock', u'electronic', u'seen live', u'classic', u'british', u'1980', u'requiem', u'heavy metal', u'chillout', u'goth', u'heavy', u'hardcore', u'albums I own', u'hard rock', u'favorites', u'Gothic', u'Awesome', u'3', u'post', u'party', u'Chillosophy', u'darkwave', u'loved', u'John Peel', u'inspirational', u'chicago', u'Favourites', u'lyrics', u'eclectonia', u'Classic British Hard Rock', u'classic hard rock', u'Good Stuff', u'takes me back', u'Nirvana', u'soundgarden']"
