,Songs,Listeners,Playcount,Duration,Tags
0,"You've Got the Map Backwards, Matt",3063,18464,200000,"[u'midwest emo', u'group vocals']"
1,If we could just pretend,2018,7415,266000,[]
2,Beautiful Gurrls,11589,42365,122000,"[u'BIRP', u'indie', u'Fave Indie Pop', u'100']"
3,Breadcrumb Trail (Remastered),12629,28210,354000,[]
4,Wesleyan's Best Dressed,1716,5747,196000,[]
5,Out Of Mind,37180,162882,188000,[u'shoegaze']
6,Blood Bubbles,10653,45217,190000,"[u'soft rock', u'Garage Rock', u'lo-fi rock', u'somafm', u'Bagel']"
7,Sad Fuzz,38441,175852,190000,"[u'Garage Rock', u'Lo-Fi', u'rock', u'10s', u'mfnw', u'alternative', u'sad', u'garage rock revival', u'baby', u'fuzz', u'somafm', u'ty segall', u'Bagel', u'like Beatles', u'melted', u'Keep the Fate', u'Sad Fuzz', u'SF hipster action']"
8,Bamboo,37626,143438,228000,"[u'somafm', u'Bagel', u'End Credits', u'my secret agent lover man', u'sad bastards fm', u'krampus taint']"
9,Coda,105,253,326000,[]
10,Spooky Couch,48094,188627,439000,"[u'instrumental', u'wake up', u'amayzes loved', u'chillout', u'rock', u'instrumental awesomeness', u'alternative', u'davaho53', u'indie', u'favorites', u'slow', u'nice', u'sleep music', u'Chill Instrumental', u'awesome sound', u'Travelling Music', u'Entspannung', u'high music', u'chill', u'folk', u'calm', u'Dreamy', u'weird', u'moody', u'american', u'genius', u'smooth', u'chilled', u'rain', u'relax', u'love at first listen', u'indie-pop', u'perfect', u'halloween', u'Late Night Listening', u'hopeful', u'Black and White', u'Garage-pop', u'so beautiful', u'first time favorite', u'schoen', u'Like this', u'gifted', u'love at first sight', u'Eren and Jeny Electric Jam', u'songs to download', u'albert hammond', u'sprawdz', u'sau gut', u'slonecznie']"
11,landlocked state,2823,14606,172000,[]
12,True Love Will Find You In The End,101948,550504,107000,"[u'singer-songwriter', u'indie', u'folk', u'Lo-Fi', u'alternative', u'Hope', u'beautiful', u'90s', u'outsider music', u'melancoholic', u'rock', u'melancholy', u'lovely', u'all the best', u'neo-folk', u'liquidificador de sentimentos', u'gorgeous in a major way', u'similar to: pavement', u'similar to: built to spill', u'male', u'experimental', u'old times', u'Love', u'acoustic', u'Dreamy', u'cinematic', u'weird', u'sunday', u'Sleep', u'quiet', u'fip', u'indie folk', u'male vocalists', u'optimistic', u'sleepytime', u'anti-folk', u'the oc', u'whitey', u'daytrotter sessions', u'Down', u'optimism', u'sweet', u'perfect', u'break-up', u'lo fi', u'favorite song', u'minimalist', u'Dream', u'Always', u'tenderness']"
13,Owner Operator,157,293,213000,[]
14,We're Fighting Again,2725,15460,214000,[]
15,Sleep Apnea,70391,399233,146000,"[u'indie rock', u'indie', u'Lo-Fi', u'shoegaze', u'10s', u'similar to: pavement', u'noise', u'rock', u'alternative', u'Surf', u'sad', u'omg', u'post-punk', u'jangle pop', u'beautiful', u'Dreamy', u'Brooklyn', u'noise pop', u'summer', u'Sleep', u'Garage Rock', u'garage', u'surf rock', u'2013', u'dreampop', u'Beach', u'New York City', u'Love it', u'i love it', u'Neo-Psychedelia', u'6 of 10 stars', u'captured tracks', u'beach rock', u'apathy', u'surfgaze', u'day end', u'fake lounge', u'dancando sozinho', u'use heroina', u'velho 20 segundos eu j\xe1 t\xf4 apx num \xe9 poss\xedvel']"
16,Aldo Is a Real Person,189,469,198000,[]
17,Homem,1072,9092,386000,[]
18,Tropa do R7,1289,3746,0,[]
19,Good Day,30767,161127,254000,"[u'feel good', u'cheer up', u'seen live', u'indie', u'pop', u'rock', u'piano', u'indie rock', u'upbeat', u'fun', u'nice', u'male vocalist', u'wacky', u'00s', u'bouncy', u'thesixtyone', u'must check out', u'good day', u'mumbles', u'everybody', u'yeah', u'socks', u'bipolar', u'Left of Center', u'Arguman-loved tracks', u'indie socks', u'my library', u'ohh', u'like on first listen', u'2007 driving soundtrack', u'Jukebox the Ghost']"
20,Everything at Once,110510,697857,158000,"[u'indie', u'female vocalists', u'pop', u'windows 8', u'indie pop', u'easy listening', u""Grey's Anatomy"", u'alternative', u'piano', u'folk', u'2013', u'2012', u'hit', u'christian alexander tietgen', u'Lenka-Everything at once', u'british', u'singer-songwriter', u'australian', u'catchy', u'Awesome', u'germany', u'Mellow', u'Like', u'amazing', u'favourite', u'fun', u'indie folk', u'2011', u'commercial', u'greys anatomy', u'Disney', u'love at first listen', u'road trip', u'once', u'addictive', u'windows', u'FUCKING AWESOME', u'2012 single', u'personal favourites', u'love the lyrics', u'poland', u'6 of 10 stars', u'computer', u'ohrwurm', u'pr', u'chart', u'new discovery', u'exclusive', u'ad', u'Songs from tv']"
21,outside with the cuties,17664,69048,154000,[u'charming']
22,Me Amarro na Noite,600,1505,238000,[]
23,Eu Sou do Corre,647,1973,0,[]
24,Vai Mamando,298,1119,136000,[]
25,Baile da 17,3,32,0,[]
26,Tropa do R7,1289,3746,0,[]
27,Só para as Meninas,1528,5480,169000,[]
28,Ei Psiu To Ti Observando Tum Tum Balançando,184,658,0,[]
29,Senta Novinha,237,644,0,[]
30,Louca de Balinha,47,109,137000,[]
31,Tô Com um Sonho,31,55,0,[]
32,Mandelão Manda Ela Descer Manda Ela Subir,46,137,0,[]
33,Hoje Tem Baile na Tribo,46,96,0,[]
34,Joga o Bum Bum Tamtam,3356,14443,155000,[u'brazilian funk']
35,Open The Tcheka,493,1493,0,"[u'funk', u'hit', u'best of 2017']"
36,Open The Tcheka,493,1493,0,"[u'funk', u'hit', u'best of 2017']"
37,Xuliana,189,482,0,[]
38,Da Beijinho na Xanilda,20,42,0,[]
39,Eu Sou do Corre,647,1973,0,[]
40,Jenny GoGo,8957,30683,237000,"[u'noise', u'electronic', u'pop', u'post pop', u'Xiu Xiu', u'somafm', u'Bagel', u'Jamie Stewart']"
41,Nashua,10539,47569,250000,"[u'sadly sweet', u'september 10th']"
42,Shiva,148996,856732,226000,"[u'indie', u'alternative', u'alternative rock', u'Dreamy', u'waltz', u'american', u'hospital', u'elizabeth marie lester', u'peace music', u'chillout', u'seen live', u'chill', u'2009', u'Alternative  Punk', u'late night', u'00s', u'Heartbreaking', u'shit', u'Dream', u'names', u'mythology', u'co', u'band of horses', u'shiva', u'manual', u'WKNC', u'my secret agent lover man', u'melody maker', u'jesus etc', u'Laneway Festival 2011', u'Meine Nachbarn', u'D 2009', u'need to buy this song', u'recommended ju']"
43,Wake,140320,801776,524000,"[u'indie', u'the only song that ive ever understood', u'Songs that make me feel as lonely as all the humans together', u'melancholy', u'dream pop', u'00s', u'folk', u'2009', u'beautiful', u'late night', u'indie rock', u'haunting', u'elovibeloved', u'chillout', u'alternative', u'ambient', u'sad', u'Dreamy', u'Mellow', u'Heartbreaking', u'loved at first listen', u'trumpets for my funeral', u'favorite songs', u'Surf', u'post-rock', u'favorites', u'slow', u'Love', u'epic', u'Alternative  Punk', u'up', u'peaceful', u'american', u'winter', u'turin brakes', u'amazing', u'gentle', u'intense', u'slowcore', u'investigate', u'depressing', u'inspirational', u'acustic', u'best', u'empathy', u'2000s', u'favorite song', u'Chills', u'study', u'story of my life']"
44,Faiseurs de mondes,45530,315129,477000,"[u'shoegaze', u'Post-Black Metal', u'black metal', u'ambient', u'post-rock', u'french', u'atmospheric', u'10s', u'metal', u'dark', u'post-punk', u'beautiful', u'melancholic', u'post rock', u'9 of 10 stars', u'2012', u'fuck', u'atmospheric black metal', u'blackgaze', u'epic riff', u'me like', u'god tier', u'quietly disturbing', u'010s', u'tender blastbeats', u'Atmospheric  black metal']"
45,Untouched,14995,66327,312000,[u'6 of 10 stars']
46,Ghost Under My Bed,234,1437,0,[]
47,Hood Rat Messiah,8270,31058,191000,[]
48,Chinatown,43472,168115,335000,"[u'indie', u'emo', u'indie rock', u'rock', u'punk', u'favorites', u'90s', u'amazing lyrics', u'similar to: built to spill', u'similar to: jawbreaker', u'electronic', u'alternative', u'alternative rock', u'heavy', u'calm', u'1998', u'Like', u'Favorite', u'lovely', u'8 of 10 stars', u'badass', u'3 stars', u'Chuck', u'eddie', u'Tuesday', u'90s nostalgia', u'melancholia', u'rainy day music', u'My pop music', u'saw them live', u'-5', u'Downloads', u'random mix', u'all-time favourite songs', u'Check out more', u'over and over and over again', u'The REALLY loved', u'Porieux-loved', u'bien', u'that one morning', u'bar tab', u'not electronic', u'are they in my head or what', u'oh my goodness', u'2 and a half stars', u'kaytee music to hear', u'Jakes Station', u'only to be listened to while smoking a cigarette', u'guilty pleasure indie punk emo', u'Best Of Blake']"
49,Strawberries,79999,390240,237000,"[u'shoegaze', u'dream pop', u'indie', u'female vocalists', u'indie pop', u'japanese', u'pop', u'lovedbyale', u'MadOdiousSpoiltToxicRichOdd', u'dreampop', u'femalevocalistsgdchill', u'newgaze', u'shoegazegdchill', u'neo-shoegaze', u'japanese dream pop', u'seen live', u'japan', u'female vocalist', u'Favourites', u'lovely', u'asobi seksu', u'fuckin beautiful', u'noise', u'chill', u'indie rock', u'female vocals', u'cool', u'j-pop', u'daytrotter', u'we need food', u'kawaii', u'a thousand dreams that would awake me', u'female', u'rock', u'alternative', u'alternative rock', u'2009', u'best of 2006', u'singer-songwriter', u'favorites', u'catchy', u'Awesome', u'guitar', u'Dreamy', u'peaceful', u'american', u'summer', u'beauty', u'party', u'NYC']"
50,Did You See the Words,264771,1640160,315000,"[u'experimental', u'indie', u'freak folk', u'psychedelic', u'folk', u'indie rock', u'alternative', u'New Weird America', u'00s', u'Animal Collective', u'rock', u'happy', u'makes me happy', u'american', u'loved', u'soundtrack of my room', u'indie pop', u'favorites', u'Love', u'Awesome', u'good', u'heard on Pandora', u'Neo-Psychedelia', u'fucking incredible', u'nix partly', u'noise', u'seen live', u'ambient', u'Experimental Rock', u'psychedelic pop', u'Experimental pop', u'art rock', u'Psychedelic Rock', u'psychedelic folk', u'Favorite', u'2005', u'sweet', u'Love it', u'add', u'Fatcat', u'rock out in your cube', u'american brilliance', u'Recent faves', u'i would like this song to be playing as i gloriously plummet off a cliff into the sea to my death', u'heart explode', u'Music to edit pictures to', u'OH MY FUCKING AMAZING', u'happiness is', u'walking in the woods', u'this song gives me secret energy']"
51,Shalala,16795,59580,228000,[]
52,TImes We Can't Let Go,2634,7647,115000,[]
53,Strange,100391,473058,197000,"[u'shoegaze', u'indie', u'dream pop', u'slowcore', u'indie rock', u'80s', u'post-punk', u'perfect to listen to while leaving the planet', u'lovedbygdchill', u'soundtrackgdchill', u'not fucking shoegaze you idiots', u'self-medication', u'shoegazegdchill', u'alternative', u'alternative rock', u'indie pop', u'love at first listen', u'rock', u'favorite songs', u'ambient', u'Lo-Fi', u'nostalgic', u'brilliant', u'fuzzy guitar goodness', u'the word strange', u'pearls in stereo', u'where is my bong', u'shoegaze according to stretchead', u'this and that', u'misterpleth', u'perfection pop', u'similar to: pavement', u'similar to: built to spill', u'similar to: minutemen', u'electronic', u'chill', u'classic', u'experimental', u'sad', u'strange', u'college rock', u'easy listening', u'britpop', u'other', u'guitar', u'Dreamy', u'smooth', u'Rocking', u'old school', u'favourite']"
54,With You,23616,57536,219000,"[u'alternative rock', u'Experimental Rock', u'Psychedelic Rock', u'indie rock', u'noise', u'rock', u'80s', u'folk', u'noise rock', u'shoegaze', u'psychedelic', u'1986', u'sigh', u'mindblowing', u'yolala nofx', u'anti-stress', u'hermoso', u'teh lips', u'Best record song', u'severas graficas', u'un barullo ni el hijueputa', u'para berrear compulsivamente', u'a la porra todo', u'hear it is']"
55,Nothing In Rambling,4790,15965,215000,"[u'indie', u'indie rock', u'4 Stars']"
56,oh my god,7560,43455,99000,"[u'Lo-Fi', u'indie', u'acoustic', u'GODS MUSIC']"
57,To Kelly Lee,2081,14252,267000,[]
58,The Calendar Hung Itself…,15638,54292,0,[]
59,Is This Sound Okay?,46746,198588,187000,"[u'2009', u'gossip girl', u'jason schwartzman', u'coconut records', u'davy', u'is this sound okay', u'indie', u'rock', u'singer-songwriter', u'USA', u'longing', u'american', u'Mellow', u'00s', u'The Beatles', u'visual', u'nostalgia', u'actor', u'scarlett johansson', u'Joshua Radin']"
60,Sheer Power,2118,5700,0,[]
61,Master of None,151952,998089,199000,"[u'Dreamy', u'dream pop', u'indie', u'Mellow', u'twinkling starry skies', u'elovibeloved', u'chill', u'lovely', u'beach house', u'vugube62', u'alternative', u'folk', u'indie pop', u'downtempo', u'favorites', u'Lo-Fi', u'shoegaze', u'female vocalist', u'sweet', u'Perfection', u'favorite song', u'My Favourites', u'Silkred-LovedAll', u'seen live', u'ambient', u'sexy', u'indie rock', u'female vocalists', u'catchy', u'dark', u'low-fi', u'fantastic', u'beautiful', u'lounge', u'moody', u'american', u'Radio', u'smooth', u'new', u'freak folk', u'soft', u'glorious', u'chilled', u'2007', u'nice', u'trippy', u'cool', u'great lyrics', u'warm', u'gorgeous']"
62,Sudden Flight,1302,3996,220000,[]
63,Rastaman,35912,69656,230000,"[u'reggae', u'roots reggae', u'Reegae', u'yellow night', u'pitah', u'strings organs rubber wind', u'jamaican', u'rastafari', u'roots and culture', u'strings - organs  rubber wind', u'favorite albums', u'dub reggae', u'Favorite Artists', u'roots', u'favourite', u'freedom', u'favorite tracks', u'reggea', u'1976', u'good music', u'reggae roots', u'MORE', u'cool shit', u'Rasta', u'dub-u-dub', u'Rad', u'raggae', u'dub-u', u'rootsreggae', u'zion train', u'blaze to this one', u'the rastaman is jet black and promises food muslimly', u'dope tunes', u'Bunny Wailer', u'Ankes picks', u'yes I', u'Solomonic', u'2720 Reggae', u'ReggaePearls', u'pantz64', u'bass crucial rootz', u'roots reggae tag', u'Reggae tag', u'Rasjahnesis', u'cleoritz']"
64,CANNABIS,7995,21776,236000,"[u'reggae', u'ganja tune', u'dancehall', u'1997', u'2giveme5', u'roots reggae', u'General Riddim', u'rootsreggae', u'spirit within', u'original this-cannabis', u'cleoritz']"
65,Fumando Vamos a Casa,5901,45020,222000,"[u'reggae', u'roots', u'arg', u'wooow']"
66,La La Bam-bam,30861,84482,234000,"[u'reggae', u'roots reggae', u'roots', u'reggae roots', u'Lee Perry', u'relaxing', u'jamaican', u'Lee Scratch Perry', u'reggae dub', u'2giveme5', u'black ark', u'ska and reggae', u'eternity and beyond', u'pablo group favourite', u'The congos', u'rooty roots reggae', u'the black ark', u'reggy reggy music', u'LA LA BAM BAM', u'why am i a rastaman', u'Reggae tag']"
67,Welcome to Jamrock,317812,1801644,215000,"[u'reggae', u'dancehall', u'jamaica', u'ragga', u'damian marley', u'Hip-Hop', u'Welcome to Jamrock', u'roots reggae', u'chillout', u'chill', u'hip hop', u'Good Stuff', u'jamaican', u'marley', u'raggae', u'Crepes', u'jazzysfunkmotownandmore', u'reggae-pop', u'raggamuffin', u'ElectglitchdubhoP', u'dubhop', u'MJ-island dreamin', u'rap', u'political', u'loved', u'REVOLUTIONARY', u'Rasta', u'jamrock', u'Good Vibrations', u'indie', u'jazz', u'dub', u'party', u'roots', u'00s', u'2005', u'reggea', u'Slow Funk', u'conscious reggae', u'contemporary reggae', u'music for a revolutionary', u'pitchfork Top 500 Tracks of the 2000s', u'positive vibrations', u'jah-jah', u'deejaying', u'Soul Remedy']"
68,Ghetto Red Hot,12091,30920,241000,"[u'dancehall', u'reggae', u'super cat', u'ghetto red hot', u'reggae classic', u'classic', u'jump up', u'old school', u'ragga', u'jamaica', u'roots reggae', u'tune', u'reggae roots', u'Bashment', u'i feel good', u'dancehall reggae', u'don m', u'gangsta dancehall', u'schickendes', u'charlene1811984', u'old dancehall', u'djrastaqueen', u'don dadda', u'hip hop hitz', u'Reggae Hitz']"
69,If we could just pretend,2018,7415,266000,[]
70,"You've Got the Map Backwards, Matt",3063,18464,200000,"[u'midwest emo', u'group vocals']"
71,Beautiful Gurrls,11589,42365,122000,"[u'BIRP', u'indie', u'Fave Indie Pop', u'100']"
72,Breadcrumb Trail (Remastered),12629,28210,354000,[]
73,FEEL.,76052,273254,214000,"[u'Hip-Hop', u'rap']"
74,ELEMENT.,79773,320232,208000,"[u'Hip-Hop', u'hiphop', u'conscious hip-hop', u'Diss', u'2pac', u'tupac shakur', u'west coast hip-hop', u'big sean', u'lil bitch']"
75,YAH.,80094,297940,160000,[u'rap']
76,DNA.,91577,422533,185000,"[u'rap', u'Hip-Hop', u'banger', u'hip hop', u'urban', u'hot', u'Conscious Rap', u'kendrick lamar', u'west coast hip-hop', u'goddamn']"
77,Nikes,97556,714323,314000,"[u'rnb', u'<3', u'alternative', u'8-bit', u'Awesome', u'psychedelic', u'great', u'cool', u'vaporwave', u'great vocals', u'actually good', u'ehh', u'amazing beat', u'not great', u'super great', u'dinosaurcore', u'light 6 to a strong 5', u'Great really good perfect']"
78,Pyramids,280592,2254864,592000,"[u'rnb', u'soul', u'best of 2012', u'Neo-Soul', u'r&b', u'2012', u'epic', u'amazing', u'alternative rnb', u'Frank Ocean', u'beautiful', u'Masterpiece', u'10s', u'american', u'the jam of a lifetime', u'hip-hop soul', u'pop', u'funk', u'Awesome', u'smooth', u'brilliant', u'slow jams', u""r'n'b"", u'cant even express how much i love this song', u'cleopatra', u'seen live', u'jazz', u'alternative', u'prog', u'dubstep', u'favorites', u'slow', u'saxophone', u'feel good', u'Voice', u'summer', u'vangelis', u'west coast', u'elegant', u'great song', u'eclectic', u'rhythm and blues', u'sophisticated', u'best song ever', u'hot', u'grammy', u'Favorite', u'los angeles', u'best', u'alternative hip-hop']"
79,Waltz #2 (XO),250636,1484567,280000,"[u'singer-songwriter', u'indie', u'folk', u'acoustic', u'favorites', u'waltz', u'beautiful', u'alternative', u'elliott smith', u'melancholy', u'indie rock', u'Mellow', u'indie pop', u'90s', u'sad', u'melancholic', u'Love', u'rock', u'piano', u'Great Lyricists', u'elliott', u'indie folk', u'best song ever', u'singer-songwritergdchill', u'american i like', u'favorite songs', u'Awesome', u'american', u'Favourites', u'1998', u'Bittersweet', u'relax', u'sweet', u'Perfection', u'elliot smith', u'mpsvd-relax-c', u'seen live', u'pop', u'chill', u'Lo-Fi', u'easy listening', u'melodic', u'pretty', u'amazing', u'favourite', u'male vocalist', u'singer songwriter', u'00s', u'Favorite', u'brilliant']"
80,Everything Means Nothing To Me,187069,1032621,144000,"[u'singer-songwriter', u'indie', u'melancholy', u'piano', u'sad', u'elliott smith', u'beautiful', u'acoustic', u'indie rock', u'rock', u'surreal', u'Perfection', u'singer-songwritergdchill', u'american i like', u'pop', u'folk', u'favorites', u'moody', u'melancholic', u'indie folk', u'epic', u'amazing', u'negative attitude', u'chillout', u'alternative', u'favorite songs', u'indie pop', u'Love', u'baroque pop', u'melodic', u'Mellow', u'heard on Pandora', u'00s', u'symphonic', u'suicide', u'shivers', u'ennui', u'these songs make me want to spin around on a rooftop and play with sparklers', u'repeating the exellence of the refrain not even often enough because it is just so great to listen to it with his heavenly beautiful voice', u'Elliott at his best', u'pop folk melodique', u'Soundtrack', u'seen live', u'jazz', u'alternative rock', u'kill rock stars', u'female vocalists', u'albums I own', u'sadcore', u'Lo-Fi']"
81,Roman Candle,104907,566582,217000,"[u'indie', u'singer-songwriter', u'acoustic', u'folk', u'melancholy', u'indie rock', u'Lo-Fi', u'favorites', u'indie folk', u'elliott smith', u'rock', u'beautiful', u'90s', u'suicide', u'chill', u'sad', u'Love', u'guitar', u'haunting', u'Mellow', u'Favorite Artists', u'singer songwriter', u'portland', u'elliott', u'chillout', u'pop', u'Dead', u'indie pop', u'post-rock', u'downtempo', u'depressed', u'calm', u'dark', u'sadcore', u'college rock', u'post-punk', u'RockPop', u'melodic', u'moody', u'songwriter', u'longing', u'american', u'genius', u'deep', u'new', u'soft', u'folk rock', u'intense', u'emotional', u'melancholic']"
82,"Bitch, Don’t Kill My Vibe",290437,1974101,0,"[u'Hip-Hop', u'rap', u'Bitch dont kill my vibe', u'hip hop', u'fuck you', u'Mellow', u'10s', u'Aftermath', u'Soundtrack Of My Life', u'chill', u'upbeat', u'atmospheric', u'late night', u'american', u'funky', u'deep', u'cali', u'2013', u'boring', u'2012', u'best of 2012', u'West Coast Rap', u'compton', u'bitch', u'ken', u'top dawg entertainment', u'kendrick lamar', u'Psychedelic Chill', u'auto', u'dopest', u'west coast hip hop', u'psychedelic hip hop', u'new fav', u'tde', u'rather good stuff', u'blaze to this one', u'songs that describe my life', u'2013 single', u'Title', u'bbc radio1 playlist 2013', u'bitchcore', u'hip hop tag', u'Gabby', u'funkhaus europa spirits', u'Mixu Paatelainen', u'post-nerdcore', u'bitchniggas', u'Patshit', u'crumpetsuburbansteez80016']"
83,Money Trees,197517,1302101,386000,"[u'rap', u'Hip-Hop', u'hip hop', u'2012', u'10s', u'kendrick lamar', u'hip hop tag', u'chill', u'rnb', u'cool', u'2013', u'compton', u'my life', u'Aftermath', u'top dawg entertainment', u'Psychedelic Chill', u'west coast hip hop', u'psychedelic hip hop', u'earthday', u'ya bish', u'Kendrick Lamar- Money Tree', u'afterhourit', u'hi Beach House']"
84,Backseat Freestyle,294159,2521752,212000,"[u'hip hop', u'Hip-Hop', u'rap', u'songs I can actually listen to on repeat', u'conscious hip-hop', u'Eargasm', u'american', u'freestyle', u'2012', u'10s', u'kendrick lamar', u'west coast hip hop', u'Hit-Boy', u'indie', u'west coast', u'fip', u'love at first listen', u'manic', u'2012 single', u'best of 2012', u'3 minute songs', u'West Coast Rap', u'compton', u'singles', u'Aftermath', u'5 of 10 stars', u'banger', u'Conscious Hip Hop', u'swag', u'top dawg entertainment', u'aitch', u'i like pie', u'blaze to this one', u'hip hop tag', u'like to sing', u'aitchrap', u'MOONH8SUN', u'ball so hard', u'leapspandora', u'These beats are dope', u'perfect 10', u'Still not as many bitches than the based god', u'this song makes me want to burn a church down while snoritng cocaine and fucking 3 boys', u'mindless rap', u'reflection on teenage years']"
