,Songs,Listeners,Playcount,Duration,Tags
0,Best Of Me,1985,4994,258000,"[u'heavy metal', u'metal', u'rock', u'hard rock', u'guitar', u'bass', u'drums', u'me', u'american', u'best', u'2012', u'10s', u'the word me', u'dokken', u'Broken Bones', u'best of me', u'the word best', u'Don Dokken', u'Jon Levin', u'word best', u'word me', u'Sean McNabb', u'Wild Mick Brown']"
1,Broken Bones,2157,5516,294000,"[u'heavy metal', u'metal', u'rock', u'hard rock', u'guitar', u'bass', u'drums', u'american', u'broken', u'2012', u'10s', u'bones', u'dokken', u'Broken Bones', u'Don Dokken', u'Jon Levin', u'the word bones', u'the word broken', u'word broken', u'word bones', u'Sean McNabb', u'Wild Mick Brown']"
2,Empire,2782,6847,213000,"[u'hard rock', u'heavy metal', u'metal', u'rock', u'energy', u'guitar', u'bass', u'drums', u'Driving', u'Energetic', u'american', u'2012', u'10s', u'drive', u'Guitar Solo', u'dokken', u'Empire', u'openers', u'opener', u'opening track', u'Broken Bones', u'the word empire', u'Don Dokken', u'Jon Levin', u'Sean McNabb', u'Wild Mick Brown', u'word Empire']"
3,Kiss of Death,15275,72929,321000,"[u'hard rock', u'heavy metal', u'hair metal', u'rock', u'metal', u'80s', u'Power metal', u'american', u'heard on Pandora', u'melodic metal', u'arena rock', u'rock n roll', u'mary jane', u'Glam Metal', u'dokken', u'Killer riff', u'2 stars', u'malloy2000 playlist - top songs - classical to metal', u'Kiss of Death', u'Currently in Heavy Rotation', u'metal top', u'song im playing']"
4,Unchain the Night,22311,89274,317000,"[u'hard rock', u'heavy metal', u'80s', u'hair metal', u'Glam Metal', u'rock', u'dokken', u'favorites', u'80s hard rock', u'metal', u'face book', u'classic rock', u'seen live', u'arena rock', u'glam rock', u'rock n roll', u'wrif-fm', u'van halen', u'hair bands', u'classic metal', u""80's metal"", u'killer solo', u'malloy2000 playlist - top songs - classical to metal', u'emotional guitar', u'metal top', u'hard rock-heavy metal', u'DD favorites', u'fuck u BILL', u'rock']"
5,In My Dreams,38786,164629,258000,"[u'hard rock', u'hair metal', u'heavy metal', u'80s', u'metal', u'dokken', u'Glam Metal', u'rock', u'heard on Pandora', u'metal edge', u'classic rock', u'catchy', u'Power ballad', u'arena rock', u'Awesome', u'american', u'thrash metal', u'glam rock', u'live', u'rock n roll', u""80's"", u'Cock rock', u'Best of', u'My Songs', u'greatest hits', u'guitar rock', u'1980s', u'7 of 10 stars', u'1985', u'mary jane', u'Guitar Solo', u'melodic hard rock', u'Steelheart', u'liked it', u'Pop Metal', u'80s hair metal', u'Megadeth', u'2 stars', u'over 5 minutes long', u'n', u'white power', u'malloy2000 playlist - top songs - classical to metal', u'-5', u'hard rock hits', u'core jessielou artists', u'White Pride', u'music choice: retro rock', u'80s hair bands', u'Bonfire', u'greatest guitar solos ever']"
6,It's Not Love,27822,113619,301000,"[u'hard rock', u'80s', u'hair metal', u'heavy metal', u'rock', u'metal', u'Glam Metal', u'dokken', u'classic rock', u'catchy', u'heard on Pandora', u'arena rock', u'guitar', u'thrash metal', u'glam rock', u'rock n roll', u'8 of 10 stars', u'My Songs', u'wrif-fm', u'1980s', u'2 of 10 stars', u'hairmetal', u'Pop Metal', u'Megadeth', u'over 5 minutes long', u'rock metal', u'Most played', u'white power', u'malloy2000 playlist - top songs - classical to metal', u'just rock', u'headbangers ball', u'White Pride', u'music choice: retro rock', u'George Lynch', u'metal top', u'U68 Power Hour', u'80s heavy metal or hair band', u'RockPearls']"
7,Mr. Scary,22919,90421,277000,"[u'instrumental', u'hard rock', u'heavy metal', u'rock', u'Greatest Guitar Solos', u'hair metal', u'Brutal Legend', u'metal', u'80s', u'Shred', u'Awesome Guitar Jams', u'Awesomely Instrumental', u'Progressive metal', u'Power ballad', u'guitar', u'glam', u'guitar virtuoso', u'My Songs', u'Fuck yes', u'3 stars', u'1980s', u'instrumentals', u'Glam Metal', u'guitar heroes', u'Guitar Solo', u'Cheese Metal', u'dokken', u'Pop Metal', u'Officially NOT shit', u'i just roffled my waffles', u'music that makes your head explode of amazement', u'Lynch', u'Face-melting riffage', u'particularly hairy music', u'burst a blood vessel listening to it', u'Kicked My Nuts', u'gets me in the mood to par-tee down', u'guitar revving', u'Don Dokken', u'the guy to the left is fat', u'Punch it Chewie']"
8,Into the Fire,64261,199634,267000,"[u'hard rock', u'heavy metal', u'rock', u'metal', u'hair metal', u'80s', u'dokken', u'Glam Metal', u'80s metal', u'Ballad', u'melodic rock', u'classic metal', u'into the fire', u'classic rock', u'guitar', u""80's"", u'guitar virtuoso', u'Unplugged', u'80s rock', u'into the fire im falling again', u'Soundtrack', u'seen live', u'pop', u'classic', u'70s', u'Progressive rock', u'favorites', u'Power ballad', u'acoustic', u'arena rock', u'Gothic', u'Awesome', u'amazing', u'glam rock', u'live', u'horror', u'8 of 10 stars', u'halloween', u'wrif-fm', u'1980s', u'Favourite Songs', u'hair band', u'awesomeness', u'cinderella', u'rockin', u'Judas Priest', u'christian metal', u'Steelheart', u'the best song ever', u'songs with awesome solos']"
9,In My Dreams (Re-Recorded / Remastered),5597,14631,273000,"[u'80s', u'hair metal', u'80s hard rock']"
10,Dream Warriors,28425,140977,249000,"[u'hard rock', u'80s', u'rock', u'hair metal', u'dokken', u'heavy metal', u'metal', u'american', u'80s Heavy Metal', u'Soundtrack', u'halloween', u'greatest hits', u""80's metal"", u'favorite songs', u'favorites', u'guitar', u'1', u'horror', u'8 of 10 stars', u'Best of', u'freddy', u'fantasy', u'3 stars', u'wrif-fm', u'halloween mix', u'Halloween Party', u'halloween music', u'1987', u'horror soundtrack', u'malloy2000 playlist - top songs - classical to metal', u'-4', u'hard rock hits', u'A Nightmare on Elm Street', u'horror movie soundtrack', u'metal top', u'U68 Power Hour', u'dream warriors', u'hair metal hits Filitriste', u'my glam fav', u'triumphant music', u'A Nightmare On Elm Street 3 Dream Warriors', u'triumphatism']"
11,Breaking the Chains,52012,211685,384000,"[u'hard rock', u'heavy metal', u'80s', u'hair metal', u'Glam Metal', u'metal', u'dokken', u'rock', u'My Favourite Ballads', u'Metal songs', u'Great Hair Metal', u'classic rock', u'favorites', u'GTA', u'gtavcs tracks', u'metal top', u'Dokken - Breaking The Chains', u'leaving', u'epic', u'arena rock', u'american', u'amazing', u'glam rock', u'rock n roll', u""80's"", u'great solo', u'suicide', u'adorable', u'wrif-fm', u'1980s', u'7 of 10 stars', u'1981', u'eddie', u'mary jane', u'1983', u'5 Star', u'Play this loud enough to raise the dead', u'Megadeth', u'2 stars', u'broke', u'Grand Theft Auto', u""80's metal"", u'80s wave', u'white power', u'malloy2000 playlist - top songs - classical to metal', u'-4', u'metal edge', u'White Pride', u'v-rock', u'music choice: retro rock']"
12,Brothers,20046,89904,227000,"[u'guitar virtuoso', u'instrumental', u'Yngwie Malmsteen', u'Power metal', u'neo classical metal', u'genious guitar themes', u'heavy metal', u'metal', u'hard rock', u'beautiful', u'great', u'Awesome Guitar Jams', u'symphonic metal', u'neo-classical', u'neoclassical metal', u'wonderful', u'Eargasm', u'eargasms', u'neo-classical metal', u'brothers', u'guitar heroes', u'Guitar Solo', u'sad and beautiful', u'Megadeth', u'NeoClassical Power Metal', u'slgdmbestof', u'spokojne', u'most beautiful songs', u'genious solo', u'best solos', u'genious atmosphere', u'genious feeling', u'Yngwie johan malmsteen-Brothers', u'raistlin', u'jeff young', u'royal ruckus', u'beautiful solos', u'Upokajajace', u'extra melancholy', u'genious solos']"
13,Caprici Di Diablo,5771,23874,267000,"[u'metal', u'guitar virtuoso', u'instrumental', u'Power metal', u'heavy metal', u'neo-classical metal', u'speed guitar', u'Fret Wank']"
14,Dreaming (Tell Me),3734,9585,320000,"[u'classic rock', u'metal', u'heavy metal', u'rock', u'hard rock', u'guitar']"
