,Songs,Listeners,Playcount,Duration,Tags
0,Shimmy Shimmy Ya,235970,960799,161000,"[u'Hip-Hop', u'rap', u'wu-tang', u'hip hop', u'odb', u'90s', u'Brooklyn', u'Gangsta Rap', u'classic', u'east coast rap', u'Wu-Tang Clan', u'new york', u'hiphop', u'wu tang clan', u'Rap classic', u'Shimmy Shimmy Ya', u'East Coast', u'1995', u'piano', u'Rap  Hip-Hop', u'legend', u'90s hip-hop', u'Ol Dirty Bastard', u'my shit', u'favorites', u'underground hip-hop', u'american', u'NYC', u'raw', u'cool', u'funny', u'Favorite', u'New York City', u'shimmy', u'wu', u'Dirt McGirt', u'Osiris', u'Killer', u'Wu Tang', u'vh1 top 100 hip-hop songs', u'critically acclaimed song', u'old dirty bastard', u'Good Ol Days', u'choice 90s cuts', u'killa bees', u'hippetyhop', u'OL DIRTY', u'hip-hop essentials', u'Soundtrack', u'test']"
1,Alright,210306,1483414,219000,"[u'Hip-Hop', u'2015', u'rap', u'best of 2015', u'hip hop', u'classic', u'funk', u'saxophone', u'american', u'California', u'west coast', u'fip', u'Jam', u'love at first listen', u'childhood', u'10s', u'Specialist', u'kendrick lamar', u'Pharrell', u'west coast hip-hop', u'2015 single', u'god bless', u'post-nerdcore', u'dead homies', u'fuk ya', u'EMICIDA GRINGO']"
2,Poetic Justice,275237,1912838,300000,"[u'Hip-Hop', u'hip hop', u'rap', u'love at first listen', u'10s', u'poetic justice', u'2012', u'kendrick lamar', u'Drake', u'hip hop tag', u'pop', u'moody', u'upbeat', u'funky', u'smooth', u'jazzy', u'cool', u'relax', u'conscious hip-hop', u'letterman', u'best of 2012', u'tune', u'compton', u'repeat', u'Aftermath', u'snl', u'janet jackson', u'Makes Me Smile', u'top dawg entertainment', u'kendrick', u'serenade', u'catchy beat', u'kl', u'play-more', u'bedroom sound', u'best sample award', u'fourth single', u'featured verse']"
3,Watts (feat. Big Time Watts),12943,33645,0,[]
4,Everything Is Fair,116531,429442,179000,"[u'hip hop', u'Hip-Hop', u'90s', u'rap', u'1991', u'a tribe called quest', u'east coast hip-hop', u'funk', u'american', u'funky', u'hiphop', u'underground hip hop', u'alternative hip hop', u'hip hop tag', u'classic', u'experimental', u'underground rap', u'bass', u'old school', u'oldskool', u'new jack swing', u'True Hip Hop', u'underground', u'wow', u'Jazz Hop', u'Hip HopRap', u'east coast rap', u'sample', u'Old School Hip Hop', u'eddie', u'funkadelic', u'poker', u'Queensbridge', u'legend', u'golden age', u'hip-hop classics', u'funky ass shit', u'STRICTLY FOR THE UNDERGOUND', u'90s hip-hop', u'leapsandbounds CDCollection', u'-4', u'hiphopgdchill', u'new york city gdchill', u'Good Ol Days', u'hip hop classic', u'da real old skool Hip Hop', u'skeff anselm', u'bobby byrd', u'excellent lyricism', u'pls']"
5,Shabba REMIX,13751,49086,296000,[]
6,SHABBA,64267,338129,275000,"[u'Hip-Hop', u'rap', u'trap', u'banger', u'Trill', u'shabba ranks', u'hip-hop that gets me pumped']"
7,She A Go (feat. Spinn & Taso),27221,106428,217000,[u'OG cali kush']
8,Optic Ataxia,114,437,423000,[]
9,Level Upper,123,414,311000,[]
10,Snow Show [Remake],136,472,362000,[]
11,R U Redy,325,3200,280000,[u'Nightcore']
12,N-Generation,148,607,374000,[]
13,幻影の子規 - the shroud of darkest night -,61,179,471000,[]
14,Start The Riot,146,580,111000,[]
15,Tonight,10039,30431,274000,[u'last song of the night']
