,Songs,Listeners,Playcount,Duration,Tags
0,Dead Weight,13504,51650,149000,[]
1,Real World,14003,52413,147000,"[u'hardcore', u'hardcore punk', u'80s', u'work songs', u'screaming', u'rage', u'fury', u'new radical chic', u'outstanding screaming']"
2,I'm Dead,256,563,203000,"[u'punk', u'Dead', u'hardcore', u'punk rock', u'LA', u'sludgepunk', u'key to the world is a lock on your heart']"
3,Get Revenge,536,1532,79000,"[u'hardcore', u'punk rock']"
4,Hell's Getting Hotter,579,1926,68000,"[u'hell', u'satan and hell']"
5,I've Heard It Before,35821,117528,98000,"[u'hardcore', u'punk', u'hardcore punk', u'punk rock', u'Classic Punk', u'Old School Punk', u'3', u'4', u'friendsofthekingofrummelpop', u'title is a full sentence', u'1980s', u'philosophy', u'1982', u'black flag', u'under two minutes', u'Short Track', u'fun to skateboard to', u'punk noise hardcore rocknroll', u'power beat', u'Six Pack', u'k1r7m']"
6,Jealous Again,69460,316195,113000,"[u'punk', u'hardcore punk', u'hardcore', u'punk rock', u'black flag', u'80s hardcore', u'80s', u'henry rollins', u'Classic Punk', u'rock', u'alternative rock', u'USA', u'los angeles', u'music', u'American Punk', u'Solomusika-Loved', u'SST Records', u'jealous again', u'indie', u'70s', u'Old School Punk', u'Grunge', u'alternative', u'emo', u'fast', u'female vocalists', u'hard rock', u'ska', u'guitar', u'angry', u'american', u'political', u'old school', u'intense', u'aggressive', u'Fiery', u'Confrontational', u'Provocative', u'west coast', u'male vocalists', u'surf rock', u'4', u'punkrock', u'street punk', u'american underground', u'anarcho punk', u'goodbye', u'badass', u'80s punk', u'SoCal']"
7,Nervous Breakdown,128541,627240,125000,"[u'punk', u'hardcore punk', u'hardcore', u'punk rock', u'80s hardcore', u'80s', u'black flag', u'rock', u'old school', u'70s', u'California', u'Classic Punk', u'punk fuckin rock', u'Old School Punk', u'angry', u'american underground', u'red shoes ecstasy', u'neatneatneat', u'alternative rock', u'american', u'1978', u'punkrock', u'nervous breakdown', u'sk8', u'music', u'Favorite songs ever', u'la hardcore', u'rollins', u'aberrant mental states', u'songs from under the floorboards', u'our band could be yr life', u'Soundtrack', u'classic rock', u'seen live', u'Classical', u'classic', u'alternative', u'fast', u'hard rock', u'USA', u'favorites', u'energy', u'upset', u'Awesome', u'guitar', u'me', u'pop punk', u'political', u'Crunchy', u'Garage Rock']"
8,A Human Certanity,6,10,0,[]
9,Meat Puppets,6480,16078,93000,"[u'hardcore punk', u'punk rock', u'punk', u'alternative rock', u'Song Name equals Artist Name', u'our band could be yr life', u'80s', u'post-punk', u'crazy', u'Punk N Roll', u'Meat', u'under two minutes', u'self titled', u'been a fan', u'demented', u'abandon', u'mania', u'punk noise hardcore rocknroll', u'rubber room tunes', u'brief brilliance', u'self-titled songs on self-titled albums']"
10,Tumblin' Tumbleweeds,5181,11839,122000,"[u'alternative rock', u'hardcore punk', u'rock', u'80s', u'alternative', u'experimental', u'hard rock', u'cover', u'punk rock', u'spacey', u'Classic Punk', u'radio bav', u'Pre-and-Post Punk', u'wasted', u'Meat Puppets', u'someone dying']"
11,Games,10434,32780,61000,"[u'hardcore', u'alternative rock', u'80s', u'post-punk', u'american underground', u'cool miniaturized art punk', u'cream cheese', u'punk minute']"
12,Boiling,10214,32076,56000,"[u'alternative rock', u'hardcore', u'80s', u'post-punk', u'american underground', u'heavy bottom end', u'cool miniaturized art punk', u'cream cheese', u'punk minute']"
13,The Maze,11305,32303,39000,"[u'punk', u'post-punk', u'classic', u'alternative', u'punk rock', u'political', u'4', u'politics', u'kurz', u'heavy bottom end', u'Best music ever', u'Classic Punk', u'minutemen', u'knorpelfunky', u'daves faves', u'Pre-and-Post Punk', u'olspur', u'olspur hi radio', u'angular guitar playing', u'olspur punk radio', u'accidentally listened to', u'very knorpelfunky', u'punk minute', u'under 60 seconds punk', u'Get Free', u'Dave Hiddens Music Box']"
14,Paranoid Chant,13024,39361,79000,"[u'punk', u'our band could be yr life', u'80s', u'punk rock', u'political', u'war', u'paranoia', u'heavy bottom end', u'on edge', u'Left of the Dial', u'our band could be your life', u'knorpelfunky', u'Pre-and-Post Punk', u'aberrant mental states', u'as seen in a film', u'angular guitar playing', u'punk minute', u'brief brilliance', u'vetetrans punk']"
