,Songs,Listeners,Playcount,Duration,Tags
0,Angry Chair,374408,2273187,287000,"[u'Grunge', u'rock', u'alternative rock', u'90s', u'alternative', u'Alice in Chains', u'hard rock', u'seattle', u'metal', u'heavy metal', u'alternative metal', u'american', u'Layne Staley', u'Grunge Rock', u'favorites', u'heavy', u'1992', u'Unplugged', u'Progressive rock', u'90s Rock', u'AiC', u'acoustic', u'Awesome', u'male vocalist', u'seattle sound', u'top rock songs', u'Morose Deep dilate Crimson', u'Angry Chair', u'Hard', u'Stoner Rock', u'Favourites', u'alt rock', u'FUCKING AWESOME', u'90s alternative', u'Jerry Cantrell', u'seattle grunge', u'90s hard rock', u'alternative - grunge', u'heavy grunge']"
1,Nutshell,368564,2950912,259000,"[u'Grunge', u'rock', u'90s', u'Alice in Chains', u'alternative', u'alternative rock', u'acoustic', u'seattle', u'beautiful', u'sad', u'melancholic', u'hard rock', u'favorites', u'melancholy', u'depressing', u'Layne Staley', u'Unplugged', u'Mellow', u'Acoustic Rock', u'Love', u'dark', u'nostalgic', u'Nutshell', u'chill', u'alternative metal', u'amazing', u'Favorite', u'90s Rock', u'heavy metal', u'guitar', u'emotional', u'great lyrics', u'Ballad', u'FUCKING AWESOME', u'grunge classics', u'favorite songs', u'moody', u'relax', u'lyrics', u'perfect', u'AiC', u'metal', u'Awesome', u'live', u'High School', u'best song ever', u'love at first listen', u'Grunge Rock', u'rock ballads', u'90s alternative']"
2,Teethgrinder,14344,54395,206000,"[u'metal', u'rock', u'alternative rock', u'alternative', u'Grunge', u'seen live', u'punk', u'indie', u'hard rock', u'dark', u'noise', u'favorites', u'Awesome', u'90s', u'spliff', u'top', u'alternative metal', u'favourite', u'cyberpunk', u'irish', u'WIRQ', u'heteromo', u'1994', u'anatomy', u'90s Rock', u'rockin', u'Mosh', u'authentic', u'street', u'Alternate Rock', u'streetpunk', u'WoopWoop', u'oh yeah', u'ass kicking', u'Best of Grunge', u'colorfull', u'fabfuckintastic', u'serious fun', u'Best Of Alternate Rock', u'funkypunkpopdubmix', u'ram bamjan', u'upgroundmusic', u'gayjamaica', u'truetoyou', u'Pippi', u'understood', u'noddyAndAlexx', u'fave-o-top', u'real grunge', u'svarione']"
3,Drain You - 1992/Live at Reading,29382,61349,0,"[u'alternative rock', u'90s', u'rock', u'Grunge', u'alternative', u'hard rock']"
4,Lazy,25508,92689,108000,"[u'punk', u'punk rock', u'skate punk', u'melodic hardcore', u'metal', u'USA', u'90s', u'pop punk', u'heard on Pandora', u'8 of 10 stars', u'childhood', u'Fat Mike', u'hardcore-punk', u'punk-lagwagon-lazy', u'Trippel Nippel']"
5,A Skull Full of Maggots,58457,303485,127000,"[u'death metal', u'Brutal Death Metal', u'metal', u'grindcore', u'cannibal corpse', u'american', u'old school death metal', u'death', u'Gore', u'brutal', u'thrash metal', u'NOT GRINDCORE', u'florida death metal', u'dead metal', u'US death metal', u'totally brutal', u'Cannibal Cropse - A Skull Full of Maggots', u'american death metal brutal horror', u'heavy metal', u'seen live', u'classic', u'80s', u'USA', u'favorites', u'minimal', u'Melodic Death Metal', u'90s', u'loved', u'Crap', u'Extreme Metal', u'Technical Death Metal', u'6 of 10 stars', u'progressive death metal', u'ugh', u'Dead Kennedys', u'80s metal', u'clock', u'melodic death', u'Megadeth', u'suitable soundtrack for giant robot warfare', u'white power', u'Black and Death Metal', u'White Pride', u'Mendigao thrash', u'argh', u'this will fucking own your ass', u'music for tossing furniture around', u'metal extremo', u'the best shit since teddy bears', u'trve kvlt metal']"
6,propaganda - live,814,1715,0,[]
7,Dusted,85191,297200,244000,"[u'thrash metal', u'metal', u'Sepultura', u'heavy metal', u'groove metal', u'death metal', u'death-thrash metal', u'rock', u'90s', u'thrash', u'heard on Pandora', u'1990s', u'1996', u'718 Metal', u'electronic', u'hardcore', u'hard rock', u'brasil', u'roots', u'brazilian', u'wishlist', u'Favorite', u'Nu Metal', u'8 of 10 stars', u'english lyrics', u'7 of 10 stars', u'trash metal', u'max cavalera', u'5 of 10 stars', u'Korn', u'favoritas', u'Live recording', u'music of my youth', u'mg', u'i will eat your soul', u'groove thrash metal', u'metallo', u'dusted', u'indigena roots', u'south american thrash', u'sepulture - dusted', u'GoGo Sound', u'chezh', u'Trommelfellmassage', u'under a pale grey sky', u'angry monk', u'fucking awesome shit', u'chezh metal', u'kryptor', u'90s collections']"
8,Cars (Remix),13974,42056,220000,"[u'metal', u'cover', u'industrial metal', u'Zenith Spectrum', u'rock', u'718 Metal', u'remix', u'cover songs', u'english', u'Trash', u'remixes', u'Gary Numan', u'future metal', u'futuristic metal', u'Need to get', u'penispiraten', u'rocking cover', u'jlunare']"
9,Institutionalized 2014,12108,45328,226000,"[u'cover', u'metal', u'Hip-Hop', u'crossover', u'great lyrics', u'rapcore', u'crossover thrash', u'718 Metal', u'suicidal tendencies cover', u'Suicidal Tendencies']"
10,Floyd the Barber,301859,1315142,153000,"[u'Grunge', u'rock', u'alternative', u'Nirvana', u'alternative rock', u'90s', u'Kurt Cobain', u'american', u'indie', u'80s', u'heard on Pandora', u'punk', u'hard rock', u'seattle', u'Stoner Rock', u'favorites', u'1989', u'good songs', u'indie rock', u'USA', u'post-punk', u'Sludge', u'death metal', u'best', u'murder', u'Grunge Rock', u'h202']"
11,Old Age - Nevermind outtake,6923,17979,0,"[u'alternative rock', u'90s', u'rock', u'Grunge', u'alternative', u'hard rock', u'ls']"
12,Negative Creep - 1992/Live at Reading,16785,32368,0,[]
13,Drain You - 1992/Live at Reading,29382,61349,0,"[u'alternative rock', u'90s', u'rock', u'Grunge', u'alternative', u'hard rock']"
14,Society,411296,3358978,236000,"[u'Soundtrack', u'acoustic', u'singer-songwriter', u'rock', u'Into the Wild', u'eddie vedder', u'folk', u'Grunge', u'alternative', u'beautiful', u'sad', u'chillout', u'society', u'pearl jam', u'alternative rock', u'Ballad', u'Mellow', u'american', u'accoustic guitar', u'lovely lyrics', u'indie', u'chill', u'great lyrics', u'00s', u'favorites', u'melancholy', u'melancholic', u'male vocalists', u'I could listen to this song forever', u'to listen with someone else late at night', u'emotional', u'soft', u'male vocalist', u'travel', u'FUCKING AWESOME', u'Favourite Songs', u'eddie', u'calm', u'Awesome', u'Soundtracks', u'haunting', u'folk rock', u'soulful', u'travelling', u'perfect', u'acoustic guitar', u'on the road', u'songs that break my brain', u'We can change the world', u'emotionally dramatic']"
15,Grind,213255,1072264,285000,"[u'Grunge', u'rock', u'alternative rock', u'90s', u'hard rock', u'alternative', u'seattle', u'Alice in Chains', u'metal', u'alternative metal', u'heavy metal', u'Layne Staley', u'favorites', u'american', u'Grind', u'dark', u'1995', u'sludge metal', u'90s Rock', u'groove metal', u'rock band dlc', u'favorite songs', u'sad', u'Stoner Rock', u'Love', u'folk metal', u'Sludge', u'sex', u'rock band', u'drugs', u'fuck', u'a place for people with that tiny black spot on their brain to go when the darkness leaks out and does what it wills', u'music for an ass-beating', u'fuck music', u'sludgey', u'deathfuck', u'Jerry Cantrell', u'serial killer soundtrack', u'you fucked up', u'na uspokojenie', u'sludgy grunge', u'powerfuck', u'crunk love', u'deviliscious432']"
16,Breadfan,150167,722534,341000,"[u'thrash metal', u'heavy metal', u'metal', u'cover', u'hard rock', u'metallica', u'covers', u'rock', u'budgie', u'80s', u'FUCKING AWESOME', u'Budgie cover', u'american', u'thrash', u'breadfan', u'classic rock', u'heavy', u'speed metal', u'guitar', u'Great Covers', u'cover songs', u'best songs ever', u'80s metal', u'Garage Inc', u'yeaaahhhhh', u'when we were younger and our hair was shorter', u'seen live', u'70s', u'Progressive metal', u'USA', u'Contemporary', u'arena rock', u'bass', u'90s', u'eighties', u'1998', u'old school', u'best covers', u'California', u'great song', u'Favourites', u'15', u'Power metal', u'80s Heavy Metal', u'ok', u'favorite song', u'wrif-fm', u'cover version', u'6 of 10 stars', u'trash metal']"
17,Last Caress/Green Hell,64496,261597,208000,"[u'metal', u'thrash metal', u'cover', u'heavy metal', u'hard rock', u'metallica', u'covers', u'Misfits', u'rock', u'punk', u'american', u'great cover', u'Killer riff', u'Run to the Hills', u'makes me want to jump around', u'80s', u'Awesome', u'speed metal', u'90s', u'thrash', u'best song ever', u'Awesome Guitar Jams', u'medley', u'1990s', u'best songs ever', u'misfits covers', u'zajebioza', u'Metallica-Best', u'covers that better than original', u'great start - rest sucks', u'last caress n green hell', u'the misfits cover', u'metalcore', u'classic', u'hardcore', u'Contemporary', u'death', u'best covers', u'intimate', u'cool', u'great lyrics', u'cover songs', u'Nu Metal', u'8 of 10 stars', u'colors', u'1980s', u'7 of 10 stars', u'trash metal', u'NWOBHM', u'murder']"
18,Wake Up,153927,798049,458000,"[u'Grunge', u'alternative rock', u'rock', u'seattle', u'90s', u'mad season', u'alternative', u'Layne Staley', u'Psychedelic Rock', u'seattle sound', u'hard rock', u'beautiful', u'Alice in Chains', u'blues rock', u'psychedelic', u'wake up', u'Favourite Songs', u'sexy', u'favorites', u'blues', u'Mellow', u'songs i love', u'Morose Deep dilate Crimson', u'epic', u'love at first sound', u'songs to get drunk to', u'chill', u'Sleep', u'cool', u'Favorite', u'Sentimental', u'Atmosphere', u'suicide song']"
19,Freak,148077,632284,229000,"[u'Grunge', u'rock', u'alternative rock', u'alternative', u'90s', u'australian', u'post-grunge', u'silverchair', u'hard rock', u'seen live', u'favorites', u'great song', u'cool', u'Favourites', u'Aussie', u'pop', u'punk', u'heavy', u'emo', u'sexy', u'Awesome', u'guitar', u'punk rock', u'alternative metal', u'male vocalists', u'1990s', u'1997', u'favourite artists', u'daria', u'Post Grunge', u'Progressive metal', u'indie rock', u'ska', u'beautiful', u'loud', u'trip hop', u'party', u'aggressive', u'australia', u'live', u'brilliant', u'Punk N Roll', u'perfect', u'halloween', u'i love it', u'alltime fave songs', u'love the lyrics', u'freaked', u'3 stars', u'powerful']"
20,Man in the Box,537801,3412761,286000,"[u'Grunge', u'rock', u'90s', u'hard rock', u'Alice in Chains', u'alternative rock', u'alternative', u'metal', u'heavy metal', u'alternative metal', u'seattle', u'man in the box', u'favorites', u'classic rock', u'Layne Staley', u'epic', u'american', u'1990', u'rock band 2', u'great riffs', u'male vocalist', u'rock band', u'dark', u'Awesome', u'awesome voice', u'heavy', u'angry', u'90s Rock', u'All time best', u'great song', u'loved', u'male vocalists', u'facelift', u'seen live', u'industrial', u'Garage Rock', u'Faves', u'blacker than the blackest black times infinity', u'Grunge Rock', u'kickass', u'90s alternative']"
21,Even Flow,809835,5085186,387000,"[u'Grunge', u'rock', u'90s', u'alternative rock', u'pearl jam', u'alternative', u'seattle', u'hard rock', u'Guitar Hero', u'american', u'Even Flow', u'favorites', u'classic rock', u'Guitar Hero 3', u'eddie vedder', u'90s Rock', u'1991', u'Pearl Jam - Even Flow', u'male vocalists', u'seen live', u'classic', u'guitar', u'Awesome', u'guitar hero III', u'Grunge Rock', u'favourite', u'indie', u'Favorite Artists', u'heard on Pandora', u'live', u""90's"", u'nostalgia', u'seattle sound', u'top rock songs', u'favorite songs', u'Favourites', u'1990s', u'metal', u'loud', u'male vocalist', u'alt rock', u'90s nostalgia', u'reasons to love 90s', u'Morose Deep dilate Crimson', u'evenflow']"
22,Rusty Cage,317537,1325406,266000,"[u'Grunge', u'rock', u'alternative rock', u'90s', u'alternative', u'hard rock', u'soundgarden', u'seattle', u'Chris Cornell', u'metal', u'heavy metal', u'90s Rock', u'rusty cage', u'alternative metal', u'seattle sound', u'favorites', u'american', u'GTA', u'guitar', u'heard on Pandora', u'1990s', u'1991', u'gtasa tracks', u'Morose Deep dilate Crimson', u'classic rock', u'cornell', u'Grand Theft Auto', u'radio x', u'Soundtrack', u'Awesome', u'cover', u'Psychedelic Rock', u'wrif-fm', u'10 of 10 stars', u'rock band dlc', u'90s alternative', u'Seattle rock', u'gta san andreas', u'Grand Theft Auto: San Andreas', u'dirty electric guitar riffs', u'road rash', u'90s hard rock', u'Seattle-Sound', u'favorite soundgarden songs', u'seen live', u'indie', u'experimental', u'Progressive rock', u'covers', u'rock band']"
23,Floyd the Barber,301859,1315142,153000,"[u'Grunge', u'rock', u'alternative', u'Nirvana', u'alternative rock', u'90s', u'Kurt Cobain', u'american', u'indie', u'80s', u'heard on Pandora', u'punk', u'hard rock', u'seattle', u'Stoner Rock', u'favorites', u'1989', u'good songs', u'indie rock', u'USA', u'post-punk', u'Sludge', u'death metal', u'best', u'murder', u'Grunge Rock', u'h202']"
24,Would?,637689,4705541,208000,"[u'Grunge', u'rock', u'90s', u'alternative', u'alternative rock', u'seattle', u'Alice in Chains', u'hard rock', u'alternative metal', u'metal', u'heavy metal', u'favorites', u'american', u'would', u'dark', u'1992', u'FUCKING AWESOME', u'90s Rock', u'classic rock', u'Soundtrack', u'Favourites', u'great bassline', u'Awesome', u'sad', u'Favourite Songs', u'singles', u'Layne Staley', u'favorite songs', u'bass', u'great song', u'loved', u'male vocalists', u'Favorite', u'nostalgia', u'Grunge Rock', u'the best']"
25,Drug Me - Blood Rooted Mix,726,1372,0,[]
26,Freak On A Leash - Live at CBGB-Explicit,1712,3083,0,[]
27,Floyd the Barber,301859,1315142,153000,"[u'Grunge', u'rock', u'alternative', u'Nirvana', u'alternative rock', u'90s', u'Kurt Cobain', u'american', u'indie', u'80s', u'heard on Pandora', u'punk', u'hard rock', u'seattle', u'Stoner Rock', u'favorites', u'1989', u'good songs', u'indie rock', u'USA', u'post-punk', u'Sludge', u'death metal', u'best', u'murder', u'Grunge Rock', u'h202']"
28,Would?,637689,4705541,208000,"[u'Grunge', u'rock', u'90s', u'alternative', u'alternative rock', u'seattle', u'Alice in Chains', u'hard rock', u'alternative metal', u'metal', u'heavy metal', u'favorites', u'american', u'would', u'dark', u'1992', u'FUCKING AWESOME', u'90s Rock', u'classic rock', u'Soundtrack', u'Favourites', u'great bassline', u'Awesome', u'sad', u'Favourite Songs', u'singles', u'Layne Staley', u'favorite songs', u'bass', u'great song', u'loved', u'male vocalists', u'Favorite', u'nostalgia', u'Grunge Rock', u'the best']"
29,Angry Chair,374408,2273187,287000,"[u'Grunge', u'rock', u'alternative rock', u'90s', u'alternative', u'Alice in Chains', u'hard rock', u'seattle', u'metal', u'heavy metal', u'alternative metal', u'american', u'Layne Staley', u'Grunge Rock', u'favorites', u'heavy', u'1992', u'Unplugged', u'Progressive rock', u'90s Rock', u'AiC', u'acoustic', u'Awesome', u'male vocalist', u'seattle sound', u'top rock songs', u'Morose Deep dilate Crimson', u'Angry Chair', u'Hard', u'Stoner Rock', u'Favourites', u'alt rock', u'FUCKING AWESOME', u'90s alternative', u'Jerry Cantrell', u'seattle grunge', u'90s hard rock', u'alternative - grunge', u'heavy grunge']"
30,Institutionalized 2014,12108,45328,226000,"[u'cover', u'metal', u'Hip-Hop', u'crossover', u'great lyrics', u'rapcore', u'crossover thrash', u'718 Metal', u'suicidal tendencies cover', u'Suicidal Tendencies']"
31,Forged In Fire,3347,11517,288000,"[u'old school death metal', u'death metal', u'metal', u'cover', u'Brilliant Cover', u'Benediction', u'anvil', u'anvil cover', u'out of place covers']"
32,The Grotesque,4780,17877,205000,"[u'death metal', u'old school death metal', u'hard as fuck', u'metal', u'seen live', u'british']"
33,Breed to Breathe,21005,89350,196000,"[u'grindcore', u'death metal', u'metal', u'british', u'punk', u'heavy', u'hardcore', u'UK', u'90s', u'1990s', u'6 of 10 stars', u'1997', u'old school death metal', u'Grind', u'kick ass', u'5 of 10 stars', u'Live recording', u'Napalm Death', u'uk grindcore', u'british grindcore', u'uk grind', u'Mendigao thrash', u'The Good Ole Metal Days', u'Madrugadas Metaleras', u'metal united', u'punishment in capitals', u'inside the torn apart', u'107miri', u'k1r7m']"
34,Arise,2843,8271,202000,"[u'cover', u'covers']"
