,Songs,Listeners,Playcount,Duration,Tags
0,Back to Hell,1406,4367,190000,"[u'heavy metal', u'metal', u'speed metal', u'Power metal']"
1,Hammer of the Gods,1436,4671,267000,"[u'heavy metal', u'metal', u'speed metal', u'Power metal']"
2,Nothing Sacred,1471,4953,320000,"[u'heavy metal', u'metal', u'speed metal', u'Power metal']"
3,The Only Safe Place,1552,5419,306000,"[u'heavy metal', u'metal', u'speed metal', u'Power metal', u'80s thrash']"
4,Bring on the Damned,1765,6724,252000,"[u'speed metal', u'heavy metal', u'metal', u'Power metal', u'US Power Metal', u'old-school heavy metal']"
5,Intro: Beyond the Altar,1434,5080,88000,"[u'heavy metal', u'metal', u'speed metal', u'Power metal']"
6,Heathens From the North,1064,4357,0,[u'metal']
7,Hey,983,4270,0,"[u'heavy metal', u'Power metal', u'epic metal']"
8,Heavy Metal Heaven,1095,4222,0,"[u'metal', u'old-school heavy metal']"
9,Dark Nights,1066,4201,0,[]
10,You've Got the Power,1064,4141,0,"[u'heavy metal', u'Power metal', u'epic metal']"
11,Hard Ride (Radio One Session),679,1294,189000,"[u'heavy metal', u'NWOBHM']"
12,Hold Back The Fire (Radio One Session),636,1276,349000,"[u'heavy metal', u'NWOBHM']"
13,Lambs To The Slaughter (Radio One Session),541,1077,207000,"[u'heavy metal', u'NWOBHM']"
14,Inquisitor,2732,7011,239000,"[u'heavy metal', u'NWOBHM', u'bonus track']"
15,"Crazy World (7"" B'side)",269,531,0,"[u'heavy metal', u'NWOBHM']"
16,Wiped Out,3839,8866,246000,"[u'heavy metal', u'NWOBHM', u'metal', u'rock', u'bonus track']"
17,Tyrant of the Airways,3123,7188,435000,"[u'heavy metal', u'NWOBHM']"
18,Lambs To The Slaughter,2768,7954,234000,"[u'heavy metal', u'NWOBHM']"
19,Hellraiser / Action,1548,3941,339000,"[u'heavy metal', u'NWOBHM']"
20,Nobody's Hero,2679,6969,233000,"[u'heavy metal', u'NWOBHM', u'thrash metal']"
21,Rock Until You Drop,6052,15190,238000,"[u'heavy metal', u'NWOBHM', u'metal', u'thrash metal']"
22,For The Future,3004,8262,239000,"[u'heavy metal', u'NWOBHM', u'thrash metal']"
23,39-40,2524,6438,53000,"[u'heavy metal', u'NWOBHM', u'thrash metal']"
24,Over The Top,3044,8385,231000,"[u'heavy metal', u'NWOBHM', u'metal', u'80s', u'thrash metal']"
25,Don't Need Your Money,8907,30474,198000,"[u'heavy metal', u'NWOBHM', u'rock', u'thrash metal', u'classic metal', u'New Wave of British Heavy Metal', u'Power Rock', u'Rechtsrock', u'neat records', u'old-school heavy metal', u'RockPearls']"
26,Hell Patrol,7297,18861,277000,"[u'heavy metal', u'NWOBHM', u'metal', u'classic rock', u'80s british heavy metal', u'rock', u'80s', u'hard rock', u'speed metal', u'thrash metal', u'80s Heavy Metal', u'british rock', u'British Metal', u'british heavy metal', u'New Wave of British Heavy Metal', u'80s hard rock', u'british hard rock', u'80s british rock', u'80s british hard rock', u'RockPearls', u'107miri', u'bluesheetmusic', u'true speed metal']"
27,Hard Ride,6814,19339,193000,"[u'heavy metal', u'metal', u'thrash metal', u'NWOBHM', u'hard rock', u'speed metal', u'old-school heavy metal']"
28,White Witch of Rose Hall,13196,63083,188000,"[u'rock', u'Psychedelic Rock', u'folk rock', u'blues rock', u'satanic', u'occult', u'female fronted', u'occult rock', u'Witchcraft', u'1969 progressive rock', u'lesser known', u'genre: hard rock', u'dawns-metal', u'dawns-progressive', u'dawns-psyche', u'dawns-shade', u'dawns-magic', u'dawns-halloween', u'dawns-doom', u'radio-moonlight-hard rock', u'tag: mysterious woman', u'radio-moonlight-horror rock', u'radio-moonlight-mysterious magic', u'type: halloween', u'type: horror rock', u'tag: witch', u'tag: voodoo', u'Psychedelic Peppermint', u'Halloween peppermint', u'witches radio']"
29,Black Sabbath,13825,60979,208000,"[u'Psychedelic Rock', u'occult', u'rock', u'satanic', u'occult rock', u'female vocalists', u'psychedelic', u'folk rock', u'blues rock', u'interesting', u'fave songs', u'Witchcraft', u'1969 progressive rock', u'unintentionally humorous', u'Porieux-loved']"
30,Nocturne Op. 72 No. 1 in e-Moll,10,32,0,[]
31,Nocturne Op. 62 No. 2 in E-Dur,11,28,0,[]
32,Nocturne Op. 62 No. 1 in H-Dur,11,29,0,[]
33,Nocturne Op. 55 No. 2 in Es-Dur,9,30,0,[]
34,Nocturne Op. 55 No. 1 in f-Moll,9,34,0,[]
35,Nocturne Op. 48 No. 2 in fis-Moll,10,37,0,[]
36,Nocturne Op. 48 No. 1 in c-Moll,10,40,0,[]
37,Nocturne Op. 37 No. 2 in G-Dur,12,42,0,[]
38,Nocturne Op. 37 No. 1 in g-Moll,12,69,0,[]
39,Nocturne Op. 32 No. 2 In As-dur,17,53,346000,[]
40,Nocturne Op. 32 No. 1 in H-Dur,17,51,281000,[]
41,Nocturne Op. 27 No. 2 in Des-Dur,17,49,354000,[]
42,Nocturne Op. 27 No. 1 in cis-Moll,14,40,0,[]
43,Nocturne Op. 15 No. 3 in g-Moll,13,40,0,[]
44,Nocturne Op. 15 No. 2 in Fis-Dur,13,45,0,[]
45,Nocturne op. 15 No. 1 in F-Dur,16,50,0,[]
46,Nocturne Op. 9 No. 3 in H-Dur,16,56,0,[]
47,Nocturne op. 9 No. 2 in Es-Dur,24,81,266000,[]
48,Take Me Home,742,2220,380000,[u'metal']
49,Evil for Evil,788,2415,255000,[u'metal']
50,Soldiers of the Flame,790,2547,190000,"[u'metal', u'RockPop']"
51,Child of Evermore,826,2729,263000,[u'metal']
52,Fortune Teller,833,2515,260000,[u'metal']
53,Share Yourself With Me,851,2653,230000,[u'metal']
54,Chains of Love,915,2959,200000,[]
55,Live Hard,904,3065,188000,[u'metal']
56,The Voice of the Cult,1198,5523,273000,"[u'metal', u'heavy metal', u'traditional heavy metal', u'Y', u'Awesome Guitar Solo', u'female fronted heavy metal', u'old-school heavy metal', u'optime']"
57,Good and Evil,100,375,176000,[u'female fronted heavy metal']
58,Good and Evil,100,375,176000,[u'female fronted heavy metal']
59,Touch Me,92,386,0,[u'female fronted heavy metal']
60,Playing With Fire,143,435,0,[u'female fronted heavy metal']
61,No Regrets,98,367,0,[u'female fronted heavy metal']
62,Terror Dimension,1383,6633,221000,[]
63,Minotaur,1412,7677,480000,"[u'thrash metal', u'2010s']"
64,Sign of the Beast,1810,10606,241000,"[u'thrash metal', u'Sweden', u'2010s', u'demo']"
65,Death Rays,1485,7651,208000,"[u'thrash metal', u'2010s']"
66,Victims of the Blade,1633,8633,205000,"[u'thrash metal', u'2010s']"
67,Necropolis,1588,8350,490000,"[u'thrash metal', u'2010s']"
68,Forbidden World,1574,8454,97000,"[u'thrash metal', u'2010s']"
69,Torment in Hell,1836,11948,240000,"[u'thrash metal', u'2010s']"
70,Militia of Death,1777,10417,161000,"[u'thrash metal', u'2010s']"
71,Dark Sorcery,1851,10152,277000,"[u'thrash metal', u'2010s', u'bang your motherfucking fucking fucking fucking brains out', u'satan worshipping riff sorcery']"
72,Break Free [*][Single Version],197,503,0,[]
73,Pull the Trigger,2406,8435,340000,"[u'heavy metal', u'metal', u'NWOBHM']"
74,Dynamo [*],239,644,0,[]
75,Alone In The Dock,4977,18455,387000,"[u'NWOBHM', u'heavy metal', u'metal', u'80s']"
76,Dark Side of Innocence [Instrumental],405,1152,0,[]
77,The Ritual [Instrumental],390,1208,0,[]
78,Hunt You Down,5170,19669,210000,"[u'heavy metal', u'NWOBHM', u'metal', u'80s', u'thrash metal', u'Power metal']"
79,Break Free,5861,25243,319000,"[u'heavy metal', u'NWOBHM', u'metal', u'80s', u'thrash metal', u'excellent', u'Power metal', u'libertad']"
80,Broken Treaties,5393,20930,283000,"[u'heavy metal', u'NWOBHM', u'metal', u'80s', u'thrash metal', u'Power metal']"
81,No Turning Back,5986,24651,238000,"[u'heavy metal', u'metal', u'NWOBHM', u'80s', u'thrash metal', u'Power metal', u'phenomenal solos']"
82,Blades of Steel,6461,28376,316000,"[u'heavy metal', u'NWOBHM', u'metal', u'80s', u'thrash metal', u'Power metal']"
83,Trial by Fire,7315,39176,258000,"[u'heavy metal', u'NWOBHM', u'metal', u'speed metal', u'Power metal', u'80s', u'thrash metal', u'excellent', u'New Wave of British Heavy Metal', u'traditional heavy metal', u'greatest riffs ever', u'greatest NWOBHM song ever']"
84,Into the Fire,5651,20917,104000,"[u'heavy metal', u'NWOBHM', u'metal', u'instrumental', u'80s', u'thrash metal', u'Power metal']"
85,After Nuclear Devastation,10099,49773,300000,"[u'thrash metal', u'metal', u'old school thrash metal', u'Thrash revival', u'Brazilian thrash metal', u'brazilian thrash', u'Nuclear Thrash Metal']"
86,The Plague Returns,9955,51151,214000,"[u'thrash metal', u'metal', u'speed metal', u'thrash', u'old school', u'old school thrash metal', u'songs to hear before you die', u'sudamerica', u'Thrash revival', u'brazilian thrash']"
87,Lethal Injection,10355,52140,192000,"[u'thrash metal', u'metal', u'Thrash revival', u'brazilian thrash']"
88,Toxic Death,11431,61892,212000,"[u'thrash metal', u'metal', u'sudamerica', u'Thrash revival', u'brazilian thrash', u'rock veloz']"
89,Ordered To Thrash,12408,71615,174000,"[u'thrash metal', u'metal', u'instrumental', u'FUCKING AWESOME', u'Thrash revival', u'brazilian thrash', u'thrash', u'brazilian', u'kick-ass', u'old school thrash']"
90,Brainwash Possession,11478,63330,215000,"[u'thrash metal', u'metal', u'sudamerica', u'Thrash revival', u'brazilian thrash']"
91,Addicted to Mosh,13537,81408,205000,"[u'thrash metal', u'metal', u'brazilian thrash', u'FUCKING AWESOME', u'speed metal', u'brazilian', u'Mosh', u'old school thrash metal', u'sudamerica', u'Thrash revival', u'Brazilian thrash metal', u'mooooooooooooooooooosh', u'10 to 10 starst']"
