,Songs,Listeners,Playcount,Duration,Tags
0,Moonlit Meadow,5277,28857,572000,"[u'atmospheric black metal', u'black metal', u'swedish', u'ambient', u'Nature', u'ambient black metal']"
1,Ancestors of the Lake,866,2787,323000,[u'atmospheric black metal']
2,I Was Buried in Mount Pleasant Cemetery,19656,145729,477000,"[u'doom metal', u'atmospheric doom metal', u'blackened doom metal', u'black metal', u'canadian metal', u'woy', u'heavy metal', u'Gothic Metal', u'melancholic', u'fuck', u'Gothic Doom Metal', u'post metal', u'post black metal', u'best of all time', u'blackened doom', u'Woods of Ypres', u'god tier', u'Atmospheric Gothic Metal', u'life track', u'fuckfuckfuck', u'fuckfuckfuckfuck']"
3,Necrologue,21728,133228,510000,"[u'Progressive metal', u'Post-Metal', u'Post-Black Metal', u'icelandic', u'Progressive', u'melancholic', u'post metal', u'post black metal', u'metal ballads', u'mind blowing solo', u'post-rock', u'memories', u'shoegaze', u'atmospheric', u'post rock', u'me like', u'kocham', u':x', u'muzyka', u'why didnt you play this song at my funeral like i asked you to', u'orgazm', u'could make you cry', u'kcruda']"
4,Ótta,37179,208526,578000,"[u'atmospheric', u'banjo', u'post-rock', u'Post-Black Metal', u'violin', u'melancholic', u'Progressive rock', u'epic', u'icelandic', u'rock ballad', u'4 Stars', u'Post-Metal', u'songs to play after you sit for an hour waiting for a bus', u'KRYDDERBROR6', u'dark acid disco']"
5,Miðaftann,20710,102229,339000,"[u'love at first listen', u'Post-Black Metal', u'ambient', u'post-rock', u'melancholic', u'TOTAL FUCKING WIN']"
6,Fjara,45170,427381,399000,"[u'icelandic', u'Post-Black Metal', u'psychedelic', u'metal', u'rock', u'LastfmSC', u'post-rock', u'scandinavian', u'Progressive', u'melancholic', u'islandic', u'best of 2011', u'black metal', u'experimental', u'Atmospheric metal', u'post metal', u'Folk Black Metal', u'Progressive metal', u'dark', u'beautiful', u'folk metal', u'viking metal', u'atmospheric', u'haunting', u'Doom', u'winter', u'Mellow', u'post rock', u'perfect', u'Avant-garde Metal', u'Love it', u'Masterpiece', u'great video', u'fave songs', u'Kill me now', u'totally awesome', u'whatever', u'Solstafir', u'castle', u'synu', u'ktoregos dnia rzuce to wszystko', u'synu no mercy', u'songs to play after you sit for an hour waiting for a bus', u'this is the end of everything', u'herrasmiesklubi', u'sasatanic', u'metalmittwoch', u'jukepoksi', u'muzyka ksiezycowa']"
7,Lágnætti,27386,149071,524000,"[u'piano', u'Post-Black Metal', u'post metal', u'pure fucking icelandic', u'post-rock', u'atmospheric', u'post rock', u'youtube', u'4 Stars', u'putaria', u'songs to play after you sit for an hour waiting for a bus', u'herrasmiesklubi', u'jukepoksi']"
8,One Day You Will Teach Me to Let Go of My Fears,40844,224850,379000,"[u'post-rock', u'instrumental', u'ambient', u'post rock', u'experimental', u'indie', u'rock', u'Awesome', u'grey storia', u'indie rock', u'australian', u'favorites', u'Amazing songs', u'alternative', u'shoegaze', u'Dreamy', u'violins', u'check out', u'away', u'Pure Beauty', u'Awesome rock', u'Q4', u'post-rock underground full tracks', u'q4jslfm', u'trance', u'alternative rock', u'sad', u'epic', u'acoustic', u'soft rock', u'beautiful', u'Sludge', u'melancholy', u'intense', u'emotional', u'melancholic', u'darkwave', u'nice', u'loved', u'Acoustic Rock', u'nostalgia', u'sky', u'FUCKING AWESOME', u'i love it', u'4 Stars', u'to check out', u'sydney', u'transcendental', u'hopeful', u'My Favorites']"
9,Station,58311,390054,523000,"[u'post-rock', u'instrumental', u'Progressive rock', u'Post-Metal', u'post rock', u'some serious next level shit', u'heavy', u'epic', u'Progressive', u'Eargasm', u'experimental', u'Progressive metal', u'2008', u'raw', u'post metal', u'sublime disonancia', u'pateaculos', u'metal', u'seen live', u'rock', u'energy', u'bass', u'drums', u'Driving', u'Energetic', u'Uplifting', u'majestic', u'early mornings', u'yes', u'mathcore', u'Masterpiece', u'true love', u'Go', u'kickass', u'i hear guitars', u'motherfuckin rabbits ejaculating sunshine', u'really', u'in your face', u'Burn', u'great guitar', u'great drumming', u'recos', u'station', u'pulsating', u'Dragonfly kiss your tail', u'played at adrenaline', u'multilayer', u'definitely', u'my-dipreshon', u'great drum']"
