,Songs,Listeners,Playcount,Duration,Tags
0,The Well of Souls,30612,143044,533000,"[u'doom metal', u'heavy metal', u'metal', u'Traditional Doom Metal', u'80s', u'epic', u'Doom', u'stoner metal', u'best', u'Sweden', u'FUCKING AWESOME', u'Epic Doom Metal', u'traditional doom', u'roman', u'ausgezeichnet', u'killer riffs part2', u'greatest doom metal tracks', u'SIMONJAIME', u'hahahahahahahahahahahahahahahahahahahaahah']"
1,Can I Play With Madness,318809,2053335,211000,"[u'heavy metal', u'metal', u'Iron Maiden', u'NWOBHM', u'rock', u'hard rock', u'80s', u'classic rock', u'classic metal', u'british', u'New Wave of British Heavy Metal', u'Power metal', u'British Metal', u'favorites', u'seen live', u'Progressive metal', u'1988', u'Can I Play With Madness', u'Play this loud enough to raise the dead', u'Maiden', u'classic', u'favorite songs', u'Awesome', u'Favourites', u'Megadeth', u'alternative', u'cowbell', u'heard on Pandora', u'Awesome Guitar Jams', u'madness', u'bruce dickinson', u'steve harris', u'melodic metal', u'10 of 10 stars', u'nightwish', u'My Favourites', u'british heavy metal', u'adrian smith', u'Effing Awesome', u'metal anthem', u'excellent song', u'classic heavy metal', u'top rock songs', u'The Best Of Iron Maiden', u'nbwohm']"
2,Drinking With the Devil,16073,52761,221000,"[u'hard rock', u'classic rock', u'heavy metal', u'rock', u'AOR', u'Progressive rock', u'80s Heavy Metal', u'heavy rock', u'Classic British Hard Rock', u'classic hard rock', u'6', u'DL', u'Deep Purple family', u'british rock', u'classic metal', u'British Metal', u'british heavy metal', u'New Wave of British Heavy Metal', u'classic heavy metal', u'80s hard rock', u'british hard rock', u'classic british heavy metal', u'classic British rock', u'black sabbath family', u'80s british rock', u'80s british hard rock', u'80s british heavy metal', u'Classic British Metal', u'drink to me', u'196878']"
3,Metal Witch,131,473,279000,[]
4,Over The Top,3044,8385,231000,"[u'heavy metal', u'NWOBHM', u'metal', u'80s', u'thrash metal']"
5,Let Them Eat Metal,1041,3411,232000,"[u'heavy metall rock', u'old-school heavy metal', u'Mixed Tape METAL']"
6,Unity,8465,40409,439000,"[u'Power metal', u'instrumental', u'heavy metal', u'Progressive metal', u'seen live', u'german', u'best instrumentals', u'best songs ever', u'my favourits', u'Mike terrana']"
7,Hammer of the Gods,8695,30470,261000,"[u'heavy metal', u'New Wave of British Heavy Metal', u'classic rock', u'hard rock', u'FUCKING AWESOME', u'heard live', u'Classic British Hard Rock', u'classic hard rock', u'british rock', u'british hard rock', u'classic british heavy metal', u'classic British rock', u'onmyoza', u'Classic British Metal']"
8,Dying Victims,20717,70695,287000,"[u'thrash metal', u'metal', u'Kreator', u'speed metal', u'old school thrash metal', u'718 Metal', u'german thrash metal', u'heavy metal', u'black metal', u'80s', u'old school', u'German metal', u'Teutonic Thrash', u'cherrysthorne']"
9,Into The Night,6115,18887,265000,"[u'glam rock', u'70s', u'british', u'hard rock', u'rock', u'classic rock', u'Morose Deep dilate Crimson', u'heavy metal', u'metal', u'punk', u'psychedelic', u'Garage Rock', u'glam', u'powerpop', u'sweet', u'favorite song', u'7 of 10 stars', u'chameleon', u'proto punk', u'hasenradio', u'rock-protopunk', u'pauls boutique unravelled', u'MusicalMessRadio']"
10,First Visit,283,944,239000,[]
11,Moonchild,157398,906280,383000,"[u'heavy metal', u'metal', u'NWOBHM', u'Iron Maiden', u'New Wave of British Heavy Metal', u'hard rock', u'British Metal', u'british', u'Power metal', u'rock', u'80s', u'Up the irons', u'classic rock', u'Progressive metal', u'classic', u'UK', u'favorites', u'My Favourites', u'amayzes loved', u'moonchild', u'Iron maiden - Moonchild', u'seen live', u'Awesome Guitar Jams', u'moon', u'classic metal', u'Megadeth', u'Maiden', u'davaho53', u'The Best Of Iron Maiden', u'seventh son of a seventh son', u'8 of 10 stars', u'heavy fucking metal', u'80s metal', u'666', u'Feelgood tracks', u'mastertrack']"
12,Wrathchild,257091,1778558,174000,"[u'heavy metal', u'metal', u'Iron Maiden', u'NWOBHM', u'hard rock', u'80s', u'rock', u'New Wave of British Heavy Metal', u'classic metal', u'british', u'seen live', u'Guitar Hero', u'Power metal', u'Wrathchild', u'oldschool', u'Maiden', u'Wratchild', u'bass', u'Favourite Songs', u'1981', u'classic rock', u'favorite songs', u'FUCKING AWESOME', u'Killers', u'old school', u'heard on Pandora', u'old school heavy metal', u'steve harris', u'The Best Of Iron Maiden', u'Porieux-loved', u'guitar hero 80s', u'alternative rock', u'Queen', u'drums', u'Driving', u'good', u'male vocalists', u'live', u'Awesome Guitar Jams', u'8 of 10 stars', u'British Metal', u'psycho metal', u'5 of 10 stars', u'brass balls', u'Megadeth', u'classic heavy metal', u'psychometal', u'718 Love', u'early mtv', u'Death Bed Confession']"
13,Steeler,77819,292381,270000,"[u'heavy metal', u'metal', u'NWOBHM', u'hard rock', u'Judas Priest', u'80s', u'british', u'classic metal', u'rock', u'classic rock', u'8 of 10 stars', u'speed metal', u'rock band', u'British Metal', u'brass balls', u'rock band dlc', u'priestworthy', u'UK', u'other', u'male vocalist', u'9 of 10 stars', u'80s Heavy Metal', u'6 of 10 stars', u'columbia', u'Favourite Band', u'80s metal', u'9 lbs hammer', u'over 5 minutes long', u'Metal God', u'cool riff', u'classic heavy metal', u'rob halford', u'malloy2000 playlist - top songs - classical to metal', u'classic british heavy metal', u'Very awesome', u'Hard Rock - Heavy Metal', u'one star', u'thc rock', u'80s british heavy metal', u'metal top', u'slgdmtopalbums', u'MGK', u'mmpps', u'heavy roll', u'lucafoxmetal', u'RockPearls', u'myk judas priest', u'heavy metal rulez', u'Metalo', u'70000th play']"
14,Rising Up,1315,4477,278000,[]
15,Tales,18850,56136,249000,"[u'classic rock', u'Progressive rock', u'hard rock', u'70s', u'rock', u'Uriah Heep', u'british', u'Psychedelic Rock', u'heavy metal', u'favorite songs', u'favorites', u'melodic', u'Progressive', u'Background', u'70s British Hard Rock', u'70s British Rock', u'70s hard rock', u'Classic British Hard Rock', u'classic hard rock', u'10 of 10 stars', u'<3', u'1972', u'international', u'easyrock', u'british rock', u'classic metal', u'British Metal', u'5 of 10 stars', u'british heavy metal', u""70's"", u'70s heavy metal', u'Crybs Choice', u'classic heavy metal', u'recos', u'british hard rock', u'classic british heavy metal', u'classic British rock', u'Classic British Metal', u'lammis', u'macdf', u'friends4', u'u to me', u'u2me', u'love10', u'uhdvd', u'cryb test 4']"
16,Evil Eyes,80766,316776,216000,"[u'heavy metal', u'hard rock', u'classic rock', u'metal', u'Dio', u'rock', u'80s', u'8 of 10 stars', u'classic hard rock', u'classic metal', u'brass balls', u'Megadeth', u'classic', u'USA', u'download', u'thrash metal', u'heard on Pandora', u'male vocalists', u'80s Heavy Metal', u'Classic British Hard Rock', u'10 of 10 stars', u'Deep Purple family', u'british rock', u'British Metal', u'Old School Metal', u'british heavy metal', u'9 lbs hammer', u'deathmetal', u'gitarre', u'New Wave of British Heavy Metal', u'Ronnie James Dio', u'Pepp', u'Metal Gods', u'hard n heavy', u'slgdmbestof', u'white power', u'classic heavy metal', u'80s hard rock', u'british hard rock', u'classic rock - metal', u'classic british heavy metal', u'classic British rock', u'stimme', u'White Pride', u'the best of 90s', u'the best of rock', u'oncemore', u'black sabbath family', u'80s british rock', u'evil eyes']"
