,Songs,Listeners,Playcount,Duration,Tags
0,Better for You,12785,50882,175000,"[u'indie', u'Canadian', u'rock', u'indie rock', u'buy', u'Fave Indie Pop', u'Vancouver', u'Remember', u'the word you', u'stonesoup', u'the word better', u'the word for', u'my songs to ana']"
1,Stay With Me,8624,29861,280000,[]
2,All I Want,16144,60193,241000,[]
3,Slow Dancer,6867,27770,210000,[]
4,At a Glance,17155,69332,221000,"[u'post-rock', u'8 of 10 stars', u'aag']"
5,Dawning On Me,14520,50248,199000,"[u'Mellow', u'fip']"
6,Duet (feat. Stephanie Briggs),3055,11124,221000,"[u'indie', u'folk']"
7,Need Your Love - Acoustic,34146,74729,0,[]
8,Landslide,6526,25320,170000,[]
9,Poison and Wine,2345,6339,202000,[]
10,Alta Falls,2490,6196,374000,[]
11,Make Believe,6657,52329,213000,"[u'gossip girl', u'Soundtrack', u'Love', u'smooth', u'favourite', u'melancholic', u'FUCKING AWESOME', u'Burn One', u'Soundtrack Of My Life', u'- - Rainy Day - -', u'chuck and blair', u'gossip girl ost', u'music to weep to xoxo', u'- - snowy day - -', u'chuck bass', u'sen', u'the tomorrow people', u'na smutniejsze dni', u'kontemplacja']"
12,Ships Pass,1388,4127,199000,"[u'desire', u'sensual', u'fire', u'lust', u'Infatuation', u'volume two', u'ships pass']"
13,Wandering Child,5786,11405,184000,[]
14,Animal,3013,11626,215000,[u'cover songs']
15,Fly - Acoustic,18254,41613,211000,[]
16,Unicorns,16076,44827,268000,[]
17,Nothing But the Rain,2013,5801,244000,[]
18,Wind & Anchor,5660,14994,188000,[]
19,The Woods,19954,72334,242000,"[u'indie', u'australia', u'evening']"
20,Animal,3013,11626,215000,[u'cover songs']
21,"In April (From ""Song One) [Original Motion Picture Soundtrack]",11102,29561,0,[]
22,Tiger Striped Sky,137504,462089,241000,"[u'indie', u'singer-songwriter', u'Scottish', u'male vocalists', u'Great Lyricists', u'subdued', u'hairy chest', u'pearl of the day']"
23,Blackbird - Remastered 2009,57921,159420,0,[]
24,Be Good Or Be Gone,136073,556467,200000,"[u'folk', u'acoustic', u'singer-songwriter', u'indie', u'irish', u'Mellow', u'beautiful', u'skins', u'greys anatomy', u'indie folk', u'male vocalists', u'Fionn Regan', u'chill', u'00s', u""Grey's Anatomy"", u'i have become an ariel view of a coastal town that you once knew', u'alternative', u'easy listening', u'sweetly sad', u'tracks to listen to on repeat', u'lone battered acoustic', u'vugube62', u'Soundtrack', u'seen live', u'british', u'Love', u'guitar', u'melancholic', u'pleasant Sunday morning', u'sunsets and bonfires and shooting stars', u'critically acclaimed song', u'acclaimed music top 200 of 2000s', u'Newest', u'welove2007', u'lets wear strange shoes', u'be good or be gone', u'similar to: nick drake', u'male', u'pop', u'UK', u'happy', u'calm', u'cute', u'contemporary folk', u'Lo-Fi', u'fantastic', u'Awesome', u'contemplative', u'Hope', u'waiting']"
25,Fly - Acoustic,18254,41613,211000,[]
26,Harper Road,29748,128593,236000,"[u'folk', u'vugube62', u'indie', u'rock', u'singer-songwriter', u'alt-rock', u'melancholic beauty', u'Folk  Roots']"
27,Working Poor,42546,226936,196000,"[u'folk', u'banjo', u'acoustic', u'Singer/Songwriter', u'newport', u'V for Varoufakis']"
28,Rainbow Connection,10904,31846,241000,"[u'calm', u'Mellow', u'lullaby', u'favorite covers', u'chillout', u'downtempo', u'beautiful', u'melodic', u'Dreamy', u'cover', u'dream pop', u'2010', u'cracker', u'Awesome Covers', u'well produced', u'Butterfly Mornings']"
29,Homebird,45399,154822,225000,"[u'greys anatomy', u'folk', u'acoustic', u'indie', u""Grey's Anatomy"", u'singer-songwriter', u'calm', u'Mellow', u'foy vance', u'Soundtrack', u'chill', u'irish', u'greys', u'chillout', u'alternative', u'american', u'male vocalists', u'relax', u'Homebird', u'vocal', u'jazz', u'indie rock', u'Dreamy', u'summer', u'Alt-country', u'new', u'soft', u'relaxing', u'indie folk', u'cool', u'good', u'singer songwriter', u'home', u'Favorite', u'lovely', u'ireland', u'2006', u'animals', u'wake up', u'life', u'fresh', u'love this', u'2000s', u'handclaps', u'Faves', u'LOVE LOVE LOVE', u'makes me happy', u'Easy To Listen To', u'4 Star', u'like it']"
30,Love and Some Verses,323148,1667956,220000,"[u'folk', u'acoustic', u'indie', u'singer-songwriter', u'Mellow', u'Love', u'iron and wine', u'beautiful', u'chill', u'indie folk', u'calm', u'chillout', u'summer', u'male vocalists', u'folky', u'melancholy', u'soft', u'acoustic guitar', u'rock', u'indie rock', u'favorites', u'happy', u'guitar', u'folk rock', u'relax', u'singer-songwritergdchill', u'Iron and Wine- Love and Some Verses', u'Iron and Wine - Love And Some Verses', u'vugube62', u'seen live', u'indie pop', u'american', u'Alt-country', u'Favourites', u'lovely', u'Perfection', u'subpop', u'wedding', u'easy', u'sadness', u'music for Wanderers', u'quiet is the new loud', u'crunk love', u'melba', u'classic', u'alternative', u'favorite songs', u'hardcore', u'slow', u'cute']"
