,Songs,Listeners,Playcount,Duration,Tags
0,The Dream Dissolves,781,2071,0,[]
1,Deathcry of a Race,794,2250,0,[]
2,Aquatic Race,834,2410,406000,[]
3,Into the Ocean,664,1892,293000,[]
4,Star Of Sirrah,1374,3566,0,[]
5,Bay of Dreams,756,1925,264000,[]
6,The Source Will Flow,2472,6443,253000,[]
7,Journey to Forever,606,1722,199000,[]
8,Planet Y Is Alive!,692,1844,0,[]
9,Star Of Sirrah,1374,3566,0,[]
10,Everybody Dies,4105,13897,283000,[u'Progressive metal']
11,All That Was,884,2376,216000,[]
12,All That Was,884,2376,216000,[]
13,All That Was,884,2376,216000,[]
14,Run! Apocalypse! Run!,748,2141,292000,[]
15,Condemned to Live,844,2212,0,[]
16,The Day That the World Breaks Down,3761,16145,752000,[u'Progressive metal']
17,Sea of Machines,973,2785,308000,[]
18,The Day That the World Breaks Down,3761,16145,752000,[u'Progressive metal']
19,The Human Compulsion,698,1992,135000,[]
20,March of the Machines,672,1951,0,[]
21,Cursed Be Iron,50867,328650,302000,"[u'viking metal', u'folk metal', u'battle metal', u'metal', u'finnish', u'finnish metal', u'Power metal', u'epic', u'symphonic metal', u'Melodic Death Metal', u'epic metal', u'finland', u'epic viking metal', u'Turisas', u'pagan metal', u'Eargasm', u'humppa', u'sword metal', u'symphonic folk metal', u'music that makes your head explode of amazement', u'Epic Folk Metal', u'black metal', u'heavy', u'scandinavian', u'Awesome', u'great', u'amazing', u'aggressive', u'geek', u'male vocalists', u'Favorite', u'war metal', u'psycho', u'fantasy metal', u'FUCKING AWESOME', u'FUCKING EPIC', u'scream', u'mythology', u'headbanging', u'NERD', u'Nerd Metal', u'Humppa Metal', u'heavy fucking metal', u'sword', u'5 of 10 stars', u'genial', u'asskicking', u'chuck norris does approve', u'deluxe', u'Excalibur']"
22,Fields Of Gold,51007,323028,273000,"[u'folk metal', u'viking metal', u'battle metal', u'metal', u'epic metal', u'symphonic metal', u'finnish metal', u'heavy metal', u'finnish', u'folk', u'Power metal', u'best of 2007', u'pagan metal', u'gold', u'beer metal', u'kick ass song', u'Turisas', u'epic', u'scandinavian', u'war metal', u'finland', u'Drunk metal', u'Epicness', u'Cold Metal', u'Crybs symphony', u'Awesome', u'new', u'amazing', u'melancholic', u'nice', u'00s', u'FUCKING AWESOME', u'epica', u'neu', u'nordic metal', u'suggestion du melon', u'Ruojis arvostaa', u'tu', u'headbangers ball', u'very favorite', u'let emos burn', u'ilverin', u'drakkar music']"
23,Cursed Be Iron,50867,328650,302000,"[u'viking metal', u'folk metal', u'battle metal', u'metal', u'finnish', u'finnish metal', u'Power metal', u'epic', u'symphonic metal', u'Melodic Death Metal', u'epic metal', u'finland', u'epic viking metal', u'Turisas', u'pagan metal', u'Eargasm', u'humppa', u'sword metal', u'symphonic folk metal', u'music that makes your head explode of amazement', u'Epic Folk Metal', u'black metal', u'heavy', u'scandinavian', u'Awesome', u'great', u'amazing', u'aggressive', u'geek', u'male vocalists', u'Favorite', u'war metal', u'psycho', u'fantasy metal', u'FUCKING AWESOME', u'FUCKING EPIC', u'scream', u'mythology', u'headbanging', u'NERD', u'Nerd Metal', u'Humppa Metal', u'heavy fucking metal', u'sword', u'5 of 10 stars', u'genial', u'asskicking', u'chuck norris does approve', u'deluxe', u'Excalibur']"
24,Fields Of Gold,51007,323028,273000,"[u'folk metal', u'viking metal', u'battle metal', u'metal', u'epic metal', u'symphonic metal', u'finnish metal', u'heavy metal', u'finnish', u'folk', u'Power metal', u'best of 2007', u'pagan metal', u'gold', u'beer metal', u'kick ass song', u'Turisas', u'epic', u'scandinavian', u'war metal', u'finland', u'Drunk metal', u'Epicness', u'Cold Metal', u'Crybs symphony', u'Awesome', u'new', u'amazing', u'melancholic', u'nice', u'00s', u'FUCKING AWESOME', u'epica', u'neu', u'nordic metal', u'suggestion du melon', u'Ruojis arvostaa', u'tu', u'headbangers ball', u'very favorite', u'let emos burn', u'ilverin', u'drakkar music']"
25,Cursed Be Iron,50867,328650,302000,"[u'viking metal', u'folk metal', u'battle metal', u'metal', u'finnish', u'finnish metal', u'Power metal', u'epic', u'symphonic metal', u'Melodic Death Metal', u'epic metal', u'finland', u'epic viking metal', u'Turisas', u'pagan metal', u'Eargasm', u'humppa', u'sword metal', u'symphonic folk metal', u'music that makes your head explode of amazement', u'Epic Folk Metal', u'black metal', u'heavy', u'scandinavian', u'Awesome', u'great', u'amazing', u'aggressive', u'geek', u'male vocalists', u'Favorite', u'war metal', u'psycho', u'fantasy metal', u'FUCKING AWESOME', u'FUCKING EPIC', u'scream', u'mythology', u'headbanging', u'NERD', u'Nerd Metal', u'Humppa Metal', u'heavy fucking metal', u'sword', u'5 of 10 stars', u'genial', u'asskicking', u'chuck norris does approve', u'deluxe', u'Excalibur']"
