,Songs,Listeners,Playcount,Duration,Tags
0,Sahibi Yok,2105,15400,196000,"[u'rock', u'alternative', u'turkish', u'turkish rock', u'HAYKO CEPKiN']"
1,Balık olsaydım,2033,15576,0,"[u'rock', u'turkish']"
2,Born Of Fire,123536,618222,188000,"[u'thrash metal', u'metal', u'Slayer', u'heavy metal', u'thrash', u'speed metal', u'seen live', u'1990', u'rock', u'american', u'8 of 10 stars', u'dave lombardo', u'718 Metal', u'Biker Metal', u'slgdmbestof', u'The Good Ole Metal Days', u'Seasons In The Abyss', u'slaytanic Riffs', u'black metal', u'80s', u'death metal', u'male vocalist', u'Favorite', u'uptempo', u'english lyrics', u'1990s', u'trash metal', u'fire', u'Bay Area', u'From: USA', u'Mosh', u'mtv', u'death-thrash metal', u'5 of 10 stars', u'bay area thrash metal', u'9 lbs hammer', u'Megadeth', u'Testament', u'Live recording', u'bate cabeca headbanger', u'das profundezas do inferno', u'exodus', u'still kill the old way', u'fucking intense', u'west coast thrash', u'what god has on his i-pod', u'MUCKE', u'Tom ARAYA', u'Kerry King', u'from: huntington beach']"
3,Piece By Piece - Studio Rough Mix With Original Bass Intro,951,1659,0,[]
4,Criminally Insane - Remix,17568,38325,0,"[u'metal', u'thrash metal', u'1986', u'8 of 10 stars', u'recos']"
5,Live Undead,127791,619902,231000,"[u'thrash metal', u'metal', u'Slayer', u'heavy metal', u'thrash', u'speed metal', u'death metal', u'trash metal', u'classic', u'old school thrash metal', u'Kerry King', u'80s', u'Tom ARAYA', u'South Of Heaven', u'Jeff Hannemann', u'rock', u'USA', u'1988', u'1980s', u'kickass', u'dave lombardo', u'death-thrash metal', u'bay area thrash metal', u'luv', u'slgdmbestof', u'past and present loved songs', u'satan headbangs to this stuff', u'Riff em all', u'myk slayer', u'black metal', u'hardcore', u'Progressive metal', u'Love', u'Melodic Death Metal', u'death', u'3', u'1', u'Gothic Metal', u'aggressive', u'male vocalist', u'war', u'war metal', u'Trash', u'8 of 10 stars', u'devil', u'anti-christian', u'english lyrics', u'4 of 10 stars', u'Faves', u'hell']"
6,Raining Blood,554471,3690446,263000,"[u'thrash metal', u'metal', u'heavy metal', u'Slayer', u'thrash', u'speed metal', u'80s', u'death metal', u'trash metal', u'seen live', u'FUCKING AWESOME', u'american', u'Guitar Hero', u'rock', u'Guitar Hero 3', u'Raining Blood', u'Legendary', u'aggressive', u'reign in blood', u'In Your Fucking Face', u'hardcore', u'epic', u'classic metal', u'Kerry King', u'favorites', u'1986', u'hard rock', u'angry', u'Extreme Metal', u'brutal thrash metal', u'Jeff Hannemann', u'slayer kurwa', u'favorite songs', u'brutal', u'Awesome', u'rain', u'Killing Riff', u'v-rock', u'best of slayer', u'Tom ARAYA', u'black metal', u'metalcore', u'classic', u'heavy', u'Extreme', u'Play this loud enough to raise the dead', u'dave lombardo', u'All time favourites', u'Pure Fucking Metal', u'classic riff']"
7,Good Mourning / Black Friday,44388,246816,399000,"[u'thrash metal', u'metal', u'heavy metal', u'speed metal', u'FUCKING AWESOME', u'80s', u'fast', u'Awesome', u'thrash', u'classic metal', u'Megadeth', u'Dave Mustaine', u'classic rock', u'rock', u'classic', u'70s', u'hard rock', u'epic', u'melodic', u'american', u'California', u'melancholic', u'cool', u'great lyrics', u'best song ever', u'shit', u'los angeles', u'great songs', u'evil', u'fuck yeah', u'Masterpiece', u'trash metal', u'Bay Area', u'genious', u'80s metal', u'american metal', u'80s rock', u'69', u'Rock on', u'Face-melting riffage', u'favourite guitar solos', u'fucking phenomenal', u'FUCKING RAD', u'Good Mourning', u'Metal songs', u'neckbreaking', u'fantastic feeling', u'sadist', u'Majors beloved FM', u'Amazingly Epicly Intensly Awesome Jizzworthy Intro']"
8,Breadline,47972,229972,272000,"[u'metal', u'thrash metal', u'heavy metal', u'hard rock', u'rock', u'Megadeth', u'speed metal', u'melodic', u'american', u'thrash', u'90s Rock', u'Dave Mustaine', u'Nakoruru', u'haohmaru', u'classic rock', u'seen live', u'alternative rock', u'Progressive metal', u'happy', u'calm', u'Power ballad', u'90s', u'Progressive', u'California', u'good', u'hot', u'shit', u'los angeles', u'pure shit', u'drugs', u'8 of 10 stars', u'melodic metal', u'single', u'classic hard rock', u'1990s', u'Bay Area', u'NOT METAL', u'favourite tracks', u'classic metal', u'mainstream', u'american metal', u'Megadeath', u'Marty Friedman', u'sell out', u'slgdmbestof', u'meGAllica', u'MMSA', u'MyM', u'classic heavy metal', u'90s hard rock']"
9,Kill The King,96040,569249,223000,"[u'thrash metal', u'heavy metal', u'metal', u'speed metal', u'thrash', u'Megadeth', u'rock', u'heavy', u'favorites', u'american', u'Grunge', u'old school', u'good shit', u'heard on Pandora', u'underrated', u'Dave Mustaine', u'Metal songs', u'into your goddamn face', u'There is old school metal in my soup', u'hard rock', u'Awesome', u'1', u'political', u'rock n roll', u'FUCKING AWESOME', u'wrif-fm', u'trash metal', u'Versailles', u'mtv', u'CHANCE', u'psycho metal', u'5 of 10 stars', u'Testament', u'BoA', u'great guitar', u'best song', u'Festa', u'Pepp', u'head-bang', u'exodus', u'melodic thrash', u'Marty Friedman', u'meGAllica', u'MMSA', u'MyM', u'Modern Thrash', u'Totally fucking awesome track', u'Post Thrash', u'general metal', u'Venom']"
