,Songs,Listeners,Playcount,Duration,Tags
0,Social Damage,10389,57577,133000,"[u'street punk', u'punk', u'hardcore', u'punk rock', u'hardcore punk', u'singlesphere']"
1,Force-Fed,8549,45613,130000,"[u'punk', u'hardcore', u'punk rock', u'street punk', u'hardcore punk', u'singlesphere']"
2,Dead Weight Falls,13621,62859,170000,"[u'punk', u'hardcore', u'street punk', u'Oi']"
3,You Can Never Go Home,10260,58224,150000,"[u'punk', u'punk rock', u'street punk', u'alternative rock', u'hardcore punk', u'Favourite Songs', u'singlesphere', u'reptillery']"
4,Weapons Of Mass Deception,29535,110350,135000,"[u'punk', u'The Unseen', u'street punk', u'punk rock', u'hardcore punk', u'Oi', u'hardcore', u'Scream Punk', u'seen live', u'indie', u'Old School Punk', u'alternative', u'FUCKING AWESOME', u'Penis', u'Punk Revival', u'Hell Yeah', u'epitaph', u'unseen', u'check em out', u'punkrock and psychobilly', u'liila', u'Jizon', u'The Unseen - Weapons Of Mass Deception', u'punk poo', u'singlesphere', u'sold out and always mediocre', u'false lyrics', u'I Would Listen Again', u'aermel', u'WEAPONS OF MASS DECEPTION']"
5,The End Is Near,9415,51410,87000,"[u'street punk', u'punk', u'hardcore', u'heard on Pandora', u'boston', u'punkrock', u'Boston punk', u'Punk-Rock', u'singlesphere']"
6,Scream Out,30035,211012,169000,"[u'punk', u'street punk', u'punk rock', u'hardcore punk', u'hardcore', u'great', u'loud', u'heard on Pandora', u'Favourite Songs', u'test', u'seen live', u'emo', u'favorites', u'Love', u'2004', u'american', u'screamo', u'political', u'good shit', u'00s', u'boston', u'punkrock', u'political punk', u'10 of 10 stars', u'<3', u'scream', u'alternativ', u'riot', u'favourite tracks', u'Punk-Rock', u'5 of 10 stars', u'Punk Revival', u'epitaph', u'punkcore', u'songs to listen while drinking beer to make life too awesome', u'Angelfire', u'The Unseen', u'purer sex', u'alternative scream', u'ki11 3m 411', u'self-confidence', u'energiaaa', u'singlesphere', u'reptillery', u'sounds like an anti-flag song', u'just one of those songs']"
7,On The Other Side,10533,58062,154000,"[u'punk', u'street punk', u'hardcore punk', u'heard on Pandora', u'6 of 10 stars']"
8,Faction,35052,120437,210000,"[u'ska', u'ska punk', u'punk', u'punk rock', u'pop punk', u'ska-punk', u'seen live', u'USA', u'epic', u'american', u'aa', u'heard on Pandora', u'Pop-punk', u'punkrock', u'9 of 10 stars', u'FUCKING AWESOME', u'2002', u'skapunk', u'punk ska', u'pop ska', u'americain', u'Ska Band', u'SKA Favorites', u'Me Likes', u'juliancito', u'sweaty wednesday night at the cockpit', u'old skool faves', u'ami punk', u'klmnn', u'sklom']"
9,Bigger Picture,30032,108659,161000,"[u'ska', u'punk', u'rock', u'shit', u'less than jake', u'seen live', u'USA', u'american', u'punk rock', u'ska punk', u'Pop-punk', u'gute laune', u'7 of 10 stars', u'2000', u'teen angst', u'clever lyrics', u'more cowbell', u'laut', u'punk ska', u'americain', u'warm up', u'Punk Favorites', u'stephsfavs', u'neu entdeckt', u'das uebliche', u'linkfavs']"
10,Last Hour of the Last Day of Work,26218,103302,197000,"[u'ska', u'ska punk', u'shit', u'punk', u'USA', u'american', u'pop punk', u'2000', u'punk ska', u'Damn good music', u'less than jake', u'americain', u'stephsfavs', u'cool of me']"
11,1989,30270,115746,147000,"[u'ska', u'ska punk', u'punk', u'seen live', u'USA', u'american', u'6 of 10 stars', u'2000', u'punk ska', u'alternative-rock', u'f-bomb', u'americain', u'Skankable', u'New Skool-kiddypunk-markesque', u'stephsfavs', u'trumpet-tastic', u'RG-approved']"
12,Pete Jackson Is Getting Married,26594,105740,114000,"[u'ska', u'ska punk', u'punk', u'shit', u'indie', u'USA', u'american', u'2002', u'2000', u'punk ska', u'melodycore', u'less than jake', u'americain', u'Punk Favorites']"
13,Is This Thing on?,25111,97826,186000,"[u'ska', u'rock', u'punk', u'USA', u'Energetic', u'american', u'ska punk', u'Pop-punk', u'optimistic', u'great songs', u'7 of 10 stars', u'punk ska', u'songs with questions for titles', u'americain', u'Mad Caddies', u'Punk Favorites', u'reminds me of old friends', u'Good Skate-Punk', u'pop-punk ska', u'less than jake is this thing on']"
14,Bad Scene and a Basement Show,32823,127429,158000,"[u'ska', u'ska punk', u'punk', u'seen live', u'punk rock', u'this is a good song', u'stephsfavs', u'rock', u'USA', u'Awesome', u'american', u'good', u'punkrock', u'ska-punk', u'Love it', u'2000', u'punk ska', u'I love', u'thrill', u'it rocks', u'americain', u'TT Ska', u'songs to sing along with', u'SKA Favorites', u'she dont understand me', u'topska']"
15,Malt Liquor Tastes Better When You've Got Problems,20866,90216,144000,"[u'ska punk', u'USA', u'ska', u'american', u'2002', u'punk ska', u'damn', u'americain', u'131', u'irish national anthem']"
16,Gainesville Rock City,55816,235824,187000,"[u'ska', u'ska punk', u'punk', u'punk rock', u'less than jake', u'rock', u'heard on Pandora', u'shit', u'skapunk', u'USA', u'happy', u'catchy', u'Awesome', u'american', u'pop punk', u'great song', u'male vocalist', u'Pop-punk', u'punkrock', u'english lyrics', u'2000', u'money', u'simple', u'blingtacular', u'summer tunes', u'Hard-Rock', u'all-time favorite', u'great listening', u'secondary school favourites', u'days spent watching kerrang and mtv2 when i was a teenager', u'americain', u'TT Ska', u'Reminds me of my sister', u'SKA Favorites', u'relates to my life', u'oldskoolz', u'plain ol rock and roll', u'My brothers music', u'hopa', u'sweaty wednesday night at the cockpit', u'samsons songs', u'stephsfavs', u'boringParty', u'trumpet-tastic', u'fat wreck compilation', u'wrecktrospective', u'compilation song', u'annette louisan', u'thursday nights at the cooperage', u'k1r7m']"
17,Mr. Chevy Celebrity,29027,118687,102000,"[u'ska', u'punk', u'ska punk', u'seen live', u'emo', u'college', u'less than jake', u'stephsfavs']"
18,Hell Looks a Lot Like L.A.,30638,124995,133000,"[u'ska', u'favorites', u'Awesome', u'ska punk', u'shit', u'ska-punk', u'USA', u'happy', u'Love', u'Energetic', u'american', u'punk rock', u'amazing', u'los angeles', u'7 of 10 stars', u'Good Stuff', u'russian punk', u'songs about cities', u'great title', u'yolala nofx', u'less than jake', u'americain', u'pick it up', u'SKA Favorites', u'Songs about LA', u'ska ska']"
19,Look What Happened,143413,772769,186000,"[u'ska', u'ska punk', u'punk', u'rock', u'punk rock', u'pop punk', u'seen live', u'alternative', u'Punk-Rock', u'ska-punk', u'less than jake', u'look what happened', u'upbeat', u'paired vocal harmony', u'ska punk favorites', u'happy', u'american', u'Favorite', u'shit', u'major key tonality', u'skapunk', u'punk influences', u'favorite song of all time', u'satanic ska', u'melodic punkrock', u'indie', u'alternative rock', u'favorite songs', u'emo', u'indie rock', u'fast', u'USA', u'favorites', u'Love', u'leaving', u'reminds me of', u'Awesome', u'90s', u'horns', u'My', u'East Coast', u'Coldplay', u'LTJ', u'heard on Pandora', u'brass', u'00s', u'beach music', u'rude', u'tagged', u'english']"
20,Suburban Myth,36784,137757,145000,"[u'ska', u'ska punk', u'alternative-rock', u'less than jake', u'shit', u'seen live', u'punk', u'USA', u'Rock Argentino', u'american', u'punk rock', u'percussion', u'brass', u'Pop-punk', u'00s', u'10 of 10 stars', u'florida', u'Leningrad', u'third wave', u'ska ska ska', u'americain', u'New Skool-kiddypunk-markesque', u'punk goodness', u'ska goodness', u'stephsfavs', u'suburban myth']"
21,Kehoe,33913,127426,181000,"[u'ska', u'american', u'ska punk', u'shit', u'punk', u'USA', u'6 of 10 stars', u'2002', u'2000', u'damn', u'less than jake', u'americain', u'TT Ska', u'SKA Favorites', u'stephsfavs']"
22,Magnetic North,39452,153803,179000,"[u'ska', u'ska punk', u'punk rock', u'rock', u'punk', u'shit', u'less than jake', u'seen live', u'indie', u'pop', u'soul', u'alternative', u'indie rock', u'power pop', u'USA', u'Stoner Rock', u'catchy', u'Driving', u'american', u'pop punk', u'green day', u'Garage Rock', u'California', u'stoner', u'blues rock', u'loved', u'brass', u'Rock and Roll', u'00s', u'Favorite', u'Garage Punk', u'ska-punk', u'Masterpiece', u'6 of 10 stars', u'awesomeness', u'florida', u'third wave ska', u'stoner punk', u'sic', u'yolala nofx', u'americain', u'SKA Favorites', u'road trippin', u'sk8er', u'stephsfavs', u'katie loves this', u'the scarred', u'kapuzenpulli']"
23,All My Best Friends Are Metalheads,140151,739036,211000,"[u'ska', u'ska punk', u'punk', u'punk rock', u'rock', u'pop punk', u'less than jake', u'digimon', u'seen live', u'ska-punk', u'indie', u'alternative', u'happy', u'FUCKING AWESOME', u'THPS4', u'pop', u'alternative rock', u'hardcore', u'favorites', u'memories', u'summer', u'fun', u'shit', u'Favourites', u'melodic hardcore', u'goodness in a box', u'indie-punk', u'tony hawks pro skater', u'Best Songs of the 90s', u'SKA Favorites', u'happy stuff', u'ska yo', u'metal', u'favorite songs', u'hard rock', u'USA', u'energy', u'guitar', u'feel good', u'90s', u'horns', u'subway', u'american', u'screamo', u'aaa', u'party music', u'Rousing', u'Coldplay', u'great song', u'LTJ']"
24,Look What Happened,143413,772769,186000,"[u'ska', u'ska punk', u'punk', u'rock', u'punk rock', u'pop punk', u'seen live', u'alternative', u'Punk-Rock', u'ska-punk', u'less than jake', u'look what happened', u'upbeat', u'paired vocal harmony', u'ska punk favorites', u'happy', u'american', u'Favorite', u'shit', u'major key tonality', u'skapunk', u'punk influences', u'favorite song of all time', u'satanic ska', u'melodic punkrock', u'indie', u'alternative rock', u'favorite songs', u'emo', u'indie rock', u'fast', u'USA', u'favorites', u'Love', u'leaving', u'reminds me of', u'Awesome', u'90s', u'horns', u'My', u'East Coast', u'Coldplay', u'LTJ', u'heard on Pandora', u'brass', u'00s', u'beach music', u'rude', u'tagged', u'english']"
