,Songs,Listeners,Playcount,Duration,Tags
0,Three Little Birds,558845,2843725,180000,"[u'reggae', u'Bob Marley', u'jamaican', u'70s', u'Mellow', u'roots reggae', u'three little birds', u'happy', u'classic rock', u'chill', u'feel good', u'chillout', u'jamaica', u'feelgood', u'summer', u'relaxing', u'sunny', u'rock', u'classic', u'peace', u'roots', u'bob marley and the wailers', u'pop', u'hopeful', u'dont worry', u'rocksteady', u'ska', u'male vocalist', u'positive', u'playitagain', u'jazzysfunkmotownandmore', u'Soundtrack', u'singer-songwriter', u'relaxed', u'relax', u'best', u'1977', u'easy', u'bob', u'legend', u'marley', u'classic reggae', u'cannabis', u'Sunny Days', u'wake up and smell the coffee music', u'favorites', u'blues rock', u'Favorite', u'advice', u'animals']"
1,Could You Be Loved,471017,2213096,325000,"[u'reggae', u'Bob Marley', u'roots reggae', u'80s', u'jamaican', u'Love', u'jamaica', u'happy', u'70s', u'summer', u'chill', u'party', u'classic', u'bob marley and the wailers', u'Could you be loved', u'classic rock', u'pop', u'1980', u'ska', u'roots', u'1979', u'political reggae', u'jazzysfunkmotownandmore', u'dub', u'favorites', u'Mellow', u'male vocalist', u'male vocalists', u'sunny', u'ecclectic', u'chillout', u'rock', u'90s', u'oldies', u'Beach', u'1970s', u'8 of 10 stars', u'legend', u'conscious', u'Beelloved', u'hopuke42', u'pivudo45', u'mpsvd-young-d']"
2,"No Woman, No Cry",298790,1368479,246000,"[u'reggae', u'roots reggae', u'Bob Marley', u'chillout', u'jamaican', u'70s', u'ska', u'chill', u'peace', u'80s', u'roots', u'jamaica', u'rastafarian', u'fuckin optimistic', u'classic rock', u'live', u'singer songwriter', u'pop', u'alternative', u'rocksteady', u'singer-songwriter', u'great lyrics', u'8 of 10 stars', u'english lyrics', u'blue', u'1974', u'Rolling Stone 500 Greatest Songs of All Time', u'Carribean', u'the wailers', u'comfort music', u'Bleu', u'blau', u'old songs', u'no cry', u'reggae definitive', u'cafard', u'rock', u'dub', u'favorites', u'happy', u'Love', u'adult contemporary', u'groove', u'vocals', u'upbeat', u'summer', u'Mellow', u'deep', u'relaxing', u'krock']"
3,Is This Love,502182,2357062,232000,"[u'reggae', u'Bob Marley', u'roots reggae', u'jamaican', u'Love', u'70s', u'chill', u'Mellow', u'is this love', u'chillout', u'roots', u'male vocalists', u'oldies', u'jamaica', u'easy listening', u'pop', u'ska', u'1978', u'relaxing', u'classic rock', u'singer-songwriter', u'favorites', u'world', u'i am a party girl here is my soundtrack', u'bob marley and the wailers', u'Classic Roots Reggae', u'jazzysfunkmotownandmore', u'classic', u'feel good', u'summer', u'cool', u'love songs', u'Favourites']"
4,Partners,2684,8783,265000,[u'brazilian rock']
5,Vá Morar Com O Diabo,42545,159755,178000,"[u'samba', u'mpb', u'brasil', u'cassia eller', u'female vocalists', u'brazilian', u'sua filha da puta', u'pop', u'acoustic', u'brazil', u'brazilian rock', u'brazilian music', u'adoro', u'Preferida', u'va morar com o diabo', u'female', u'alternative', u'favorites', u'energy', u'latin', u'cover', u'gay', u'fun', u'cool', u'male vocalist', u'live', u'great lyrics', u'interesting', u'Favourites', u'rock brasileiro', u'sexy voices', u'Forro', u'brasileira', u'acustico', u'Nacional', u'rj', u'sambinha', u'pref', u'shake ya ass but watch yourself', u'pop rock nacional', u'cassia', u'nega', u'acustico mtv', u'hit maker', u'pandeiro', u'Pedra', u'dramatic vocals', u'awesome female vocalists', u'imortal', u'simplesmente cassia eller']"
6,All Star,18870,132730,199000,"[u'mpb', u'female vocalists', u'brazilian rock', u'brasil', u'cassia eller', u'rock', u'brazilian', u'Easy to listen', u'musicas lindas', u'baroque', u'pop', u'alternative rock', u'favorites', u'memories', u'cute', u'Awesome', u'relaxing', u'DNA', u'linda', u'magica', u'rj', u'pop nacional', u'thebest', u'larinha', u'new directions', u'10s collections', u'just to relax', u'this is why i love brazil']"
7,Aprendiz De Feiticeiro,7894,30118,183000,"[u'90s', u'5 of 10 stars', u'pop rock brasil', u'nacionais', u'From Brasil']"
8,"Um Branco, Um Xis, Um Zero",10245,46832,213000,"[u'mpb', u'female vocalists', u'cassia eller', u'rock', u'90s', u'brasil', u'great lyrics', u'brazilian rock', u'myrock']"
9,Try A Little Tenderness,5626,17753,258000,"[u'brasil', u'rock', u'female vocalists', u'try', u'lovelovelove', u'cover', u'5 of 10 stars', u'genial', u'poesia', u'inspiracao']"
