,Songs,Listeners,Playcount,Duration,Tags
0,Branded with Sacred Flames of Gehinnom,6010,40259,307000,"[u'black metal', u'metal', u'true black metal', u'religious black metal', u'brutal black metal', u'war metal', u'polish', u'anti-christian', u'poland', u'Blackened Death Metal', u'Extreme Black metal', u'polish metal', u'polish black metal', u'War Black Metal', u'satanic metal terror', u'music terrorism', u'audial essence of pure inhuman terror', u'kawal polskiego smrodu', u'nattefrost sluts of hell riff']"
1,Death's Evangelist,6387,47017,254000,"[u'black metal', u'brutal black metal', u'Blackened Death Metal', u'metal', u'polish black metal', u'Underground Black Metal', u'death metal', u'polish', u'anti-christian', u'Pure fucking black metal', u'music terrorism', u'audial essence of pure inhuman terror', u'war metal', u'poland', u'Extreme Black metal', u'true black metal', u'polish metal', u'War Black Metal', u'fukk', u'blackened death', u'satanic metal terror', u'kawal polskiego smrodu']"
2,Extirpate,6303,41993,220000,"[u'black metal', u'metal', u'War Black Metal', u'Underground Black Metal', u'satanic metal terror', u'audial essence of pure inhuman terror', u'war metal', u'polish', u'polska', u'anti-christian', u'poland', u'Extreme Black metal', u'true black metal', u'polish metal', u'brutal black metal', u'polish black metal', u'Favorite Black Metal Bands', u'music terrorism', u'kawal polskiego smrodu']"
3,Heretic Victory Ascending,6437,43477,251000,"[u'black metal', u'polish', u'metal', u'true black metal', u'polish metal', u'brutal black metal', u'Underground Black Metal', u'War Black Metal', u'Pagan', u'war metal', u'polska', u'anti-christian', u'poland', u'nsbm', u'Extreme Black metal', u'polish black metal', u'Pure fucking black metal', u'black metal from poland', u'satanic metal terror', u'Favorite Black Metal Bands', u'music terrorism', u'battle war black metal', u'audial essence of pure inhuman terror', u'kawal polskiego smrodu']"
4,Regime of Terror,6851,48883,248000,"[u'black metal', u'brutal black metal', u'metal', u'true black metal', u'War Black Metal', u'satanic metal terror', u'polish', u'Extreme Black metal', u'polish black metal', u'Underground Black Metal', u'Pure fucking black metal', u'music terrorism', u'Pagan', u'war metal', u'polska', u'anti-christian', u'poland', u'polish metal', u'obsessive', u'brutal blackened death metal', u'black metal from poland', u'Favorite Black Metal Bands', u'Kriegs', u'audial essence of pure inhuman terror', u'kawal polskiego smrodu']"
5,Radical (Kill the Peace!),7027,49065,231000,"[u'black metal', u'War Black Metal', u'metal', u'raw black metal', u'true black metal', u'brutal black metal', u'old school black metal', u'war metal', u'anti-christian', u'Black', u'Blackened Death Metal', u'Extreme Black metal', u'polish black metal', u'satanic metal terror', u'music terrorism', u'battle war black metal', u'blackened blacking black fucking black metal']"
6,Redesekration,7388,52656,180000,"[u'black metal', u'true black metal', u'metal', u'Extreme Black metal', u'brutal black metal', u'old school black metal', u'War Black Metal', u'hardcore', u'war metal', u'polish', u'kvlt', u'black metal from poland', u'music terrorism', u'black metal - co za kretyn taguje to jako death metal - black metal black metal black metal black metal black metal black metal black metal black metal black metal']"
7,Shatterer of Liberty,7621,54891,218000,"[u'black metal', u'Blackened Death Metal', u'total rozpierdol', u'metal', u'war metal', u'polish', u'Extreme Black metal', u'true black metal', u'brutal black metal', u'polish black metal', u'Pure Fucking Metal', u'War Black Metal', u'pure fucking brutality']"
8,Spill the Dirty Blood of Jesus,8759,73051,236000,"[u'black metal', u'polish', u'Blackened Death Metal', u'death metal', u'metal', u'anti-christian', u'thrash metal', u'top', u'satanic', u'war metal', u'polska', u'sick', u'kick ass', u'Extreme Black metal', u'true black metal', u'death-thrash metal', u'brutal black metal', u'polish black metal', u'War Black Metal', u'christraping black metal', u'wykurw', u'jezujakiwykurw', u'kampf der liebe', u'devil please dechristianize bill by delete all of his tatoos and others symbolics of jewish nigger jesus christ or destroy all life on this fvcking planet']"
9,I Have a Gun,4990,14307,110000,[]
