,Songs,Listeners,Playcount,Duration,Tags
0,Holiday Song,1887,9501,178000,[]
1,Oxygen,86664,349834,184000,"[u'acoustic', u'folk', u'indie', u'singer-songwriter', u'alternative', u'Mellow', u'Love', u'political', u'rock', u'american', u'Favourites', u'lyrics', u'oxygen', u'seen live', u'indie rock', u'beautiful', u'guitar', u'male vocalists', u'lovely', u'willy mason', u'chillout', u'chill', u'sad', u'calm', u'soft', u'chilled', u'fun', u'indie folk', u'inspiring', u'social justice', u'090405', u'guitarsy', u'in the box of old letters under the desk', u'sung aloud in empty houses', u'vocal', u'pop', u'country', u'punk', u'favorite songs', u'USA', u'favorites', u'slow', u'Lo-Fi', u'americana', u'soft rock', u'Awesome', u'2004', u'groove', u'quirky', u'weird']"
2,Magia,23704,493897,309000,"[u'anime', u'japanese', u'female vocalists', u'Gothic Metal', u'Symphonic Rock', u'j-pop', u'Kalafina', u'puella magi madoka magica', u'Gothic Rock', u'dark', u'symphonic metal', u'J-rock', u'Soundtrack', u'Gothic', u'epic', u'madoka', u'Female fronted metal', u'rock', u'fantasy metal', u'neoclassical', u'vocal', u'haunting', u'melancholy', u'Asian', u'emotional', u'anime soundtrack', u'FUCKING AWESOME', u'10s', u'6 of 10 stars', u'symphonic gothic metal', u'ending', u'Ending Theme', u'female fronted gothic metal', u'japanese female vocal', u'Female fronted symphonic metal', u'mahou shoujo madoka magica', u'metal', u'indie', u'alternative', u'alternative rock', u'Progressive metal', u'baroque pop', u'orchestral', u'atmospheric', u'JPop', u'mezzo-soprano', u'band', u'symphonic', u'female vocal', u'love at first listen']"
3,Surfboard,1831,8591,253000,[u'lust pop']
4,Work,7147,32250,229000,[u'Grime']
5,Lah-Di-Dah,4790,18990,198000,"[u'english', u'singer-songwriter', u'comedy', u'folk', u'chanson', u'acoustic', u'humour', u'underrated', u'gentle carrots', u'cookdandbombd', u'house md', u'cooper was here', u'battersea rain dance', u'surprised i had not heard this earlier', u'l8', u'fun and silly stuff', u'GH10', u'Jake Thackray', u'-f9', u'-55t', u'1103rh', u'cute but too sweet -SURELY VERY SOUR -ISNT THAT THE POINT', u'9 rem 120309', u'cute but too sweet']"
6,Sky,3318,20558,113000,[]
7,Sister Cities,16783,90529,308000,[u'favorites 2013']
8,The Softest Hard,3693,20420,284000,[]
9,TORADORA,3,3,0,[]
10,Take a Fall for Me (feat. RZA),156883,912329,214000,"[u'Hip-Hop', u'electronic', u'experimental', u'rap', u'dubstep', u'soul', u'hiphop', u'amazing', u'2013', u'featuring', u'7 of 10 stars', u'Wu-Tang Clan', u'post-dubstep', u'UK Garage', u'collab', u'RZA', u'sss', u'vocal sample', u'wiosna', u'keiaspissed']"
11,Love (feat. Ra Saite),2064,10905,179000,[]
12,Twisted Nerve,22336,110350,182000,"[u'garage', u'indie punk rock', u'mixtape', u'Awesome', u'american', u'Garage Rock', u'Favourites', u'audioase', u'heavy bottom end', u'chick rock', u'fuzzy guitar goodness', u'headphone music', u'proudly addicted', u'pop lament', u'para ouvir mesmo mt alto', u'fuk u']"
13,Rabbit,3251,17948,190000,"[u'witch house', u'DMT']"
14,Tears,508,1195,0,[]
15,Desire,1227,4948,188000,"[u'Disco', u'laidback', u'disco funk', u'electrofunk', u'new discovery']"
16,EvFL NYC,2459,12723,164000,[]
17,Himawari,14,55,0,[]
18,River of Brakelights,136069,594685,313000,"[u'indie rock', u'alternative', u'indie', u'rock', u'julian casablancas', u'sexy', u'love at first listen', u'electronic', u'alternative rock', u'american', u'00s', u'new wave', u'2009', u'synth pop', u'NYC', u'best of 2009', u'fucking amazing', u'electropop', u'male', u'pop', u'Grunge', u'hard rock', u'singer-songwriter', u'USA', u'Lo-Fi', u'death', u'favourite', u'Bittersweet', u'garage', u'male vocalists', u'english', u'The Strokes', u'2010', u'electro rock', u'FUCKING AWESOME', u'zicbouge', u'2000s', u'10s', u'gute laune', u'favorite song', u'Soundtrack des Lebens', u'One of the best', u'powerful', u'DL', u'synth rock', u'shambolic', u'Awesome song', u'sexy voice', u'Version', u'over 5 minutes long']"
19,So Wat Cha Sayin',25772,55734,255000,"[u'hip hop', u'Hip-Hop', u'rap', u'EPMD', u'dope beats', u'classic hip-hop', u'sample', u'1989', u'Certified classic', u'classic', u'80s', u'clean', u'hiphop', u'beats', u'old school', u'good shit', u'True Hip Hop', u'sick beat', u'wjlb-FM', u'east coast rap', u'Real hip-hop', u'The Shit', u'beatz', u'Classic Hip Hop', u'Hip-HopRap', u'loved real random', u'the real', u'hippity hoppity', u'fresh records', u'Hip Hop Legends', u'don m oldskool', u'Time To Roll', u'old fly shit', u'zesthop', u'carmelsoulsista']"
20,"Weekender - 12"" version",4263,8693,775000,"[u'indie', u'we']"
21,Split & Fly,3054,16509,216000,[]
22,Duvet,48141,630710,202000,"[u'anime', u'serial experiments lain', u'Soundtrack', u'female vocalists', u'british', u'lain', u'alternative', u'rock', u'alternative rock', u'indie', u'beautiful', u'sad', u'90s', u'female vocalist', u'melancholic', u'anime soundtrack', u'pop', u'japanese', u'pop rock', u'atmospheric', u'melancholy', u'depressing', u'Favourites', u'opening', u'hopeless', u'test', u'chillout', u'vocal', u'female', u'favorite songs', u'emo', u'indie rock', u'romantic', u'psychedelic', u'theme', u'lounge', u'haunting', u'JPop', u'1998', u'soft', u'ethereal', u'Electronic Pop', u'Indie-Rock', u'relaxing', u'cyberpunk', u'Coldplay', u'female vocals', u'cool', u'great lyrics', u'00s']"
23,Since you were not mine,2220,5684,225000,[]
24,Champagne 121212,4358,24303,198000,[]
25,My Friends,41899,208776,238000,"[u'folk', u'british', u'indie', u'female vocals', u'ridiculously perfect', u'indie folk', u'2011']"
26,Still Life,3232,16386,265000,"[u'End Credits', u'exceptional voice', u'Somewhere Out There']"
27,kiri,35443,609363,106000,"[u'anime', u'ergo proxy', u'J-rock', u'Soundtrack', u'rock', u'japanese', u'alternative', u'ost', u'alternative rock', u'beautiful', u'anime soundtrack', u'monoral', u'emotional', u'melancholic', u'best anime soundtracks', u'atmospheric', u'cool', u'00s', u'jrock', u'anime op', u'sad', u'theme', u'deep', u'melancholy', u'ethereal', u'great lyrics', u'Favourites', u'love at first listen', u'Japanese music', u'sountrack', u'Anime music', u'nocturne', u'makes me feel free', u'i want to marry this track', u'Anime OPs', u'amazing opening and song', u'a different dimension', u'anti-gravity', u'makes my heart go faster', u'ergo proxy ost', u'indie', u'post-rock', u'downtempo', u'2008', u'Love', u'new age', u'melodic', u'JPop', u'great', u'japan']"
28,Truth,129861,696172,258000,"[u'indie', u'folk', u'whistle', u'Breaking Bad', u'makes me want to learn how to whistle', u'chill', u'alternative', u'singer-songwriter', u'acoustic', u'indie folk', u'male vocalists', u'FUCKING AWESOME', u'Alex Ebert', u'chillout', u'country', u'female vocalists', u'Love', u'groove', u'Dreamy', u'beauty', u'Mellow', u'melancholy', u'fip', u'folk pop', u'Alternative Folk', u'relax', u'out there', u'lovely', u'love at first listen', u'whistling', u'indie-pop', u'perfect', u'Remember', u'2012', u'fuck yeah', u'ZicCool', u'Soundtrack des Lebens', u'as good as it gets', u'czHit', u'team coco', u'easy', u'want', u'margot', u'alt-folk', u'chillax', u'desert island', u'zicdanse', u'zictop', u'RZA', u'alt-pop']"
29,"Porpoise Song - Theme from ""Head""",6050,12960,0,"[u'psychedelic', u'dream pop', u'sixties', u'genre: psychedelic rock', u'genre: psychedelic pop', u'radio-moonlight-psychedelic pop', u'type: dark song', u'radio-moonlight-dark songs', u'type: soundtrack', u'tag: play this at my funeral', u'type: gothic hippie', u'type: hippie music', u'type: sad song', u'tag: awesome singing voice', u'tag: awesome musical sound']"
30,Tentacles (Teddy Killerz Remix),231,435,211000,[]
31,Mantra (Mat Zo Remix),325,632,265000,[]
32,Crying for No Reason,56356,443481,221000,"[u'pop', u'Ballad', u'synth', u'love at first listen', u'dance', u'Love', u'dance pop', u'2014', u'katy b', u'british', u'female vocalists', u'rnb', u'female vocals', u'female vocalist', u'crying', u'adorable', u'fucking incredible', u'balada', u'bbc radio1 playlist 2014', u'one of my favorite songs of all time', u'Britpop indie', u'permanent record', u'2013 single', u'britanic', u'synth ballad', u'graham norton', u'awesome :O', u'love at firsten listen', u'linedance 2014', u'2014 singles', u'the kid needed her mother', u'2014 bitches', u'indicated', u'MyNewMusicPicksOfTheWeek', u'acoustic looks better']"
33,Lights On (single mix) (feat. Ms Dynamite),207,887,0,[]
34,Katy on a Mission,225768,1337744,219000,"[u'dubstep', u'british', u'electronic', u'female vocalists', u'katy b', u'Katy On a Mission', u'dance', u'electro', u'funky', u'breakbeat', u'pop', u'Grime', u'electronica', u'Drum and bass', u'female vocals', u'female vocalist', u'UK Garage', u'must be played at full volume', u'Hip-Hop', u'vocal', u'rap', u'funk', u'synth', u'Energetic', u'r&b', u'party', u'Like', u'amazing', u'rnb', u'garage', u'love at first listen', u'alternative hip-hop', u'2010', u'checkitout', u'gangsta', u'dub-step', u'danceable', u'chart', u'uk funky', u'loopy', u'if this were a pokemon i would catch it', u'my party is better than yours', u'Popstep', u'Vocal dubstep', u'DeanMarkTaylorLoved', u'Dubstep Select', u'festival playlist', u'boss dubstep', u'KatyB Katy on A Mission', u'digital']"
35,Katy on a Mission,225768,1337744,219000,"[u'dubstep', u'british', u'electronic', u'female vocalists', u'katy b', u'Katy On a Mission', u'dance', u'electro', u'funky', u'breakbeat', u'pop', u'Grime', u'electronica', u'Drum and bass', u'female vocals', u'female vocalist', u'UK Garage', u'must be played at full volume', u'Hip-Hop', u'vocal', u'rap', u'funk', u'synth', u'Energetic', u'r&b', u'party', u'Like', u'amazing', u'rnb', u'garage', u'love at first listen', u'alternative hip-hop', u'2010', u'checkitout', u'gangsta', u'dub-step', u'danceable', u'chart', u'uk funky', u'loopy', u'if this were a pokemon i would catch it', u'my party is better than yours', u'Popstep', u'Vocal dubstep', u'DeanMarkTaylorLoved', u'Dubstep Select', u'festival playlist', u'boss dubstep', u'KatyB Katy on A Mission', u'digital']"
36,Puppy,46683,288188,260000,"[u'House', u'Drum and bass', u'dance', u'electro house', u'electronic', u'electro', u'happy', u'EDM', u'electronica', u'energy', u'techno', u'club', u'summer', u'Progressive House', u'tech-house', u'belgian', u'2012', u'dynamic', u'4 minute songs', u'exciting', u'Hospital Records', u'electrohouse', u'spannend', u'dynamique', u'Southside', u'dynamisch', u'puppy', u'Dinamico', u'excitant', u'dinamican']"
37,Thunder (feat. Emeli Sandé),1376,6816,0,[]
38,Memory Lane,37897,244505,335000,"[u'liquid funk', u'Drum and bass', u'Drum n Bass', u'dnb', u'mainstream', u'electronic', u'Liquid', u'british', u'ambient', u'Awesome', u'melodic', u'summer', u'Uplifting', u""drum'n'bass"", u'drum & bass', u'2010', u'FUCKING AWESOME', u'feelgood', u'drumandbass', u'Hospital Records', u""drum 'n' bass"", u'fucking great', u""D'n'B"", u'drum&bass', u'd&b', u'Ohrgasmus', u'Awesome DnB', u'ukf', u'auflegen', u'ukf drum and bass', u'keeping me alive', u'Endlazer', u'songs from friends of stretchead']"
39,Come Alive,62810,387500,248000,"[u'Drum and bass', u'drumstep', u'Drum n Bass', u'electronic', u'electronica', u'synthpoppers', u'dubstep', u'dance', u'dnb', u'drum & bass', u'Hospital Records', u'Netsky', u'Lucky Charms', u'seen live', u'dub', u'synth pop', u'Drum', u'neurofunk', u'synthpop', u'female vocals', u'belgian', u'2012', u'dynamic', u'n-a', u'4 minute songs', u'powerful', u'exciting', u'Belgisch', u""D'n'B"", u'kraftvoll', u'scatter funk', u'spannend', u'dynamique', u'Southside', u'dynamisch', u'mocno', u'Dinamico', u'excitant', u'dinamican', u'eccitante', u'vigoroso', u'vigoureux']"
40,Work It Out (Feat. Digital Farm Animals),2384,11369,0,[u'Drum and bass']
41,Secret Agent,62061,387046,334000,"[u'Drum and bass', u'liquid funk', u'Drum n Bass', u'dnb', u'electronic', u'Hospital Records', u'dance', u'Awesome', u'neurofunk', u'drum & bass', u'addictive', u'Netsky', u'electronica', u'dubstep', u'melodic', u'Liquid', u'loved', u'2011', u'belgian', u'2010', u'Electrostep', u'dynamic', u'5 minute songs', u'powerful', u'exciting', u""drum 'n' bass"", u""D'n'B"", u'liquid dnb', u'kraftvoll', u'spannend', u'prevalent use of groove', u'trippy soundscapes', u'rozpierdol', u'dynamique', u'dynamisch', u'mocno', u'skins us', u'Endlazer', u'elektronik for stretch', u'Dinamico', u'songs that are perfectly in sync with my avatar', u'DX7 EP', u'excitant', u'dinamican', u'eccitante', u'uzbudljiv', u'vigoroso', u'vigoureux']"
42,Rio (feat. Digital Farm Animals),2752,14572,247000,[u'Drum and bass']
43,Eyes Closed,66799,374656,379000,"[u'liquid funk', u'Drum and bass', u'dnb', u'Drum n Bass', u'memories', u'melodic', u'Uplifting', u'drum & bass', u'Electrostep', u'dynamic', u'exciting', u'Netsky', u'spannend', u'dynamique', u'happy dnb', u'dynamisch', u'Dinamico', u'the best of the bests', u'excitant', u'dinamican', u'eccitante', u'uzbudljiv']"
44,Puppy,46683,288188,260000,"[u'House', u'Drum and bass', u'dance', u'electro house', u'electronic', u'electro', u'happy', u'EDM', u'electronica', u'energy', u'techno', u'club', u'summer', u'Progressive House', u'tech-house', u'belgian', u'2012', u'dynamic', u'4 minute songs', u'exciting', u'Hospital Records', u'electrohouse', u'spannend', u'dynamique', u'Southside', u'dynamisch', u'puppy', u'Dinamico', u'excitant', u'dinamican']"
45,Thunder (feat. Emeli Sandé),1376,6816,0,[]
46,Memory Lane,37897,244505,335000,"[u'liquid funk', u'Drum and bass', u'Drum n Bass', u'dnb', u'mainstream', u'electronic', u'Liquid', u'british', u'ambient', u'Awesome', u'melodic', u'summer', u'Uplifting', u""drum'n'bass"", u'drum & bass', u'2010', u'FUCKING AWESOME', u'feelgood', u'drumandbass', u'Hospital Records', u""drum 'n' bass"", u'fucking great', u""D'n'B"", u'drum&bass', u'd&b', u'Ohrgasmus', u'Awesome DnB', u'ukf', u'auflegen', u'ukf drum and bass', u'keeping me alive', u'Endlazer', u'songs from friends of stretchead']"
