,Songs,Listeners,Playcount,Duration,Tags
18,In Honour of Reason,24930,160702,267000,"[u'Brutal Death Metal', u'death metal', u'Technical Death Metal', u'Technical Brutal Death Metal', u'metal', u'Classical', u'brutal', u'holy shit', u'symphonic metal', u'Brutal Technical Death Metal', u'Blackened Death Metal', u'old school death metal', u'true metal', u'symphonic death metal', u'Technical Brutal Death', u'true death metal', u'mad solo', u'Fleshgod Apocalypse', u'a bit melodic']"
19,In Aeternum,9284,44091,325000,"[u'metal', u'death metal', u'Symphonic Orchestral Death Metal']"
20,Marche Royale,8450,33275,117000,[]
21,The Violation,32276,275059,259000,"[u'Technical Death Metal', u'Brutal Technical Death Metal', u'Brutal Death Metal', u'Classical', u'orchestral', u'neo-classical death metal', u'death metal', u'Melodic Death Metal', u'italian', u'symphonic death metal', u'opera', u'symphonic', u'8 of 10 stars', u'Industrial Death Metal', u'total awesomeness', u'symphonic brutal death metal', u'best italian band', u'symphonic technical death metal', u'brutal technical neoclassic death metal', u'Fleshgod Apocalypse', u'Neo-Classical Brutal Death Metal', u'Orchetral', u'armageddon awaits', u'metalmittwoch', u'epitome of perfection']"
22,Minotaur (The Wrath of Poseidon),18341,110097,310000,"[u'symphonic death metal', u'Melodic Death Metal', u'death metal', u'metal', u'orchestral', u'Technical Death Metal', u'6 of 10 stars', u'Brutal Death Metal', u'melodic death']"
23,Queria Superhist X Mr. Frog,1397,3589,338000,[]
24,Um Lugar Do Caralho,14013,77375,298000,"[u'Psychedelic Rock', u'alternative rock', u'brasil', u'rock gaucho', u'psychedelic', u'Progressive rock', u'brazilian', u'rock', u'rock nacional', u'rio grande do sul', u'rock alternativo', u'Um lugar do caralho', u'meu roquenrou', u'favorite songs', u'experimental', u'beautiful', u'90s', u'party', u'male vocalists', u'modern funk', u'alcohol', u'Porto Alegre', u'rs', u'gogoriffic', u'rock psicodelico', u'jz', u'Z3PO like this', u'jupiter maca', u'lsd queira tomar', u'q curta syd barrett e os bitous']"
25,As Tortas E As Cucas,8745,45286,281000,"[u'psychedelic', u'rock', u'brasil', u'brazilian rock', u'brazilian', u'90s', u'Psychedelic Rock', u'rock nacional', u'gelatinoso', u'alcohol', u'Porto Alegre', u'rio grande do sul', u'rs', u'rock alternativo', u'rock psicodelico', u'lsd trip', u'jupiter maca', u'Lisergico', u'afectados', u'As Tortas E As Cucas']"
26,Miss Lexotan 6 mg Garota,3549,14044,296000,"[u'Psychedelic Rock', u'rio grande do sul']"
27,Um Lugar Do Caralho,14013,77375,298000,"[u'Psychedelic Rock', u'alternative rock', u'brasil', u'rock gaucho', u'psychedelic', u'Progressive rock', u'brazilian', u'rock', u'rock nacional', u'rio grande do sul', u'rock alternativo', u'Um lugar do caralho', u'meu roquenrou', u'favorite songs', u'experimental', u'beautiful', u'90s', u'party', u'male vocalists', u'modern funk', u'alcohol', u'Porto Alegre', u'rs', u'gogoriffic', u'rock psicodelico', u'jz', u'Z3PO like this', u'jupiter maca', u'lsd queira tomar', u'q curta syd barrett e os bitous']"
28,Pictures And Paintings,7585,38221,189000,"[u'psychedelic', u'brasil', u'rock nacional', u'psychedelic pop', u'90s', u'Psychedelic Rock', u'check out', u'rio grande do sul', u'rs', u'rock gaucho', u'rock alternativo', u'rock psicodelico', u'jupiter maca', u'Pictures And Paintings']"
29,Eu e minha Ex,7041,35263,352000,"[u'psychedelic', u'funny', u'baroque', u'rock', u'alternative', u'90s', u'art rock', u'brasil', u'brazilian', u'Favourites', u'rock nacional', u'brazilian rock', u'rio grande do sul', u'rs', u'rock gaucho', u'rock alternativo', u'rock psicodelico', u'jupiter maca']"
30,Um Lugar Do Caralho,14013,77375,298000,"[u'Psychedelic Rock', u'alternative rock', u'brasil', u'rock gaucho', u'psychedelic', u'Progressive rock', u'brazilian', u'rock', u'rock nacional', u'rio grande do sul', u'rock alternativo', u'Um lugar do caralho', u'meu roquenrou', u'favorite songs', u'experimental', u'beautiful', u'90s', u'party', u'male vocalists', u'modern funk', u'alcohol', u'Porto Alegre', u'rs', u'gogoriffic', u'rock psicodelico', u'jz', u'Z3PO like this', u'jupiter maca', u'lsd queira tomar', u'q curta syd barrett e os bitous']"
31,Lava as Mãos,1973,8121,290000,[]
32,"Elegante, Decadente (feat. Romulo Fróes)",378,715,184000,[]
33,Mictório,2045,8934,209000,[]
34,Stay with Me,438953,3863409,172000,"[u'soul', u'pop', u'sam smith', u'2014', u'british', u'love at first listen', u'snl', u'beautiful', u'2014 single', u'playlista rmf fm', u'sad', u'rnb', u'male vocalists', u'best of 2014', u'WITH', u'uk number one', u'MTV EMA 2014 Nominee', u'vocal', u'UK', u'piano', u'world', u'feel good', u'me', u'male vocal', u'england', u'r&b', u'favourite', u'Zumba', u'male vocalist', u'love songs', u'Ballad', u'Favorite', u'top 40', u'english', u'hits', u'sweet', u'makes me cry', u'2000s', u'10s', u'2010s', u'powerful', u'4 of 10 stars', u'billboard', u'LOVE LOVE LOVE', u'european', u'plagiarism', u'charts', u'the best', u'gospel choir', u'l']"
35,Open Up Your Arms,1961,6474,221000,"[u'inspirational', u'buddhist', u'spanish', u'pop', u'female vocalists', u'Love', u'Buddhism', u'heart', u'newage', u'feminine', u'inspiracion', u'open up your arms', u'prana energy']"
36,The Other Side,1877,8423,287000,[]
37,Om Sai Ram,3407,11781,262000,"[u'new age', u'ethereal', u'Indian', u'relax', u'Planant', u'fermale voice', u'pixindia', u'buddhistisk musik', u'voix limpide', u'pixmeditation']"
38,Lotus Sunset,2612,9201,201000,"[u'relax', u'iPod Pi']"
39,Blessings For Life,2762,9216,148000,"[u'buddhist', u'new age', u'new age spiritual meditation buddist gregorian', u'mantra', u'holgers film', u'rollenspiel II']"
40,Urban Buddhism,4155,16419,272000,"[u'ambient', u'chillout', u'buddhist', u'uhurah lotos', u'uhurah entspannt', u'URBAN BUDDHISM MONEJES BUDISTAS', u'Pandora Huong']"
41,Amitayus,349,775,171000,[u'somesunbabe please']
42,Terminal,18634,86635,268000,"[u'doom metal', u'Melodic Death Metal', u'death metal', u'8 of 10 stars', u'death heavy metal', u'metal', u'Melodic Death Doom Metal']"
43,Beneath Broken Earth,17081,85327,368000,"[u'Death Doom Metal', u'doom metal', u'metal', u'return of Paradise Lost', u'Gothic Metal', u'8 of 10 stars', u'Better Than Sex']"
44,An Eternity Of Lies,17881,86977,358000,"[u'Gothic Metal', u'8 of 10 stars', u'Gothic Doom Metal', u'Prosperous Madness', u'enthralling composition', u'metal', u'doom metal', u'some kind of gothic heavy doom death melodic death metal i dont know just fucking paradise lost']"
45,Frailty,31521,168593,265000,"[u'doom metal', u'Gothic Metal', u'metal', u'heavy', u'UK', u'Awesome', u'loud', u'Energetic', u'melancholy', u'Distorted', u'8 of 10 stars', u'addictive', u'powerful', u'7 of 10 stars', u'dusk', u'Death Doom Metal', u'Paradise Lost', u'influenced by satan', u'chh', u'Cryb Test']"
46,Say Just Words,51595,345919,242000,"[u'Gothic Metal', u'doom metal', u'metal', u'Gothic Rock', u'Gothic', u'melancholic', u'Paradise Lost', u'seen live', u'british', u'industrial metal', u'6 of 10 stars', u'rock ballads', u'heavy metal', u'pop', u'alternative', u'sad', u'hard rock', u'UK', u'favorites', u'energy', u'Love', u'dark', u'Awesome', u'melodic', u'Favorite Artists', u'synthpop', u'Recommended', u'male vocalist', u'great lyrics', u'Favourites', u'brilliant', u'5 Stars', u'8 of 10 stars', u'life', u'addicting', u'7 of 10 stars', u'singalong', u'Good Stuff', u'Favourite Songs', u'ballads', u'dark rock', u'Dark metal', u'my music', u'Gothic Doom Metal', u'good song', u'loved tracks', u'gothic doom', u'CDA', u'fon', u'Best of best']"
47,One Second,48795,355788,212000,"[u'Gothic Metal', u'doom metal', u'metal', u'heavy metal', u'Gothic', u'Gothic Rock', u'rock', u'british', u'beautiful', u'90s', u'electronic', u'seen live', u'alternative', u'goth', u'sad', u'synthpop', u'Recommended', u'Paradise Lost', u'bishide', u'classic', u'alternative rock', u'sexy', u'UK', u'favorites', u'Love', u'catchy', u'Awesome', u'atmospheric', u'amazing', u'death metal', u'favourite', u'emotional', u'darkwave', u'glam', u'male vocalist', u'industrial metal', u'fav', u'Favourites', u'brilliant', u'5 Stars', u'8 of 10 stars', u'9 of 10 stars', u'6 of 10 stars', u'Favourite Songs', u'goth metal', u'old', u'title track', u'Synth-Rock', u'Atmospheric metal', u'synth rock']"
48,Shadowkings,36795,197030,282000,"[u'Gothic Metal', u'doom metal', u'Gothic Doom Metal', u'heavy metal', u'seen live', u'my personal favourite tracks', u'metal', u'alternative', u'Progressive metal', u'melancholy', u'Gothic Rock', u'fav', u'8 of 10 stars', u'9 of 10 stars', u'heavy rock', u'10 of 10 stars', u'6 of 10 stars', u'depressive rock', u'dark rock', u'riff', u'5 of 10 stars', u'Some good music', u'gothic doom', u'bishide', u'Awesome Drums', u'heavy-doom metal', u'Tema Increible', u'honcuks choice', u'honcuks chargers', u'uptempo doom metal', u'best gothic metal', u'just the right words']"
49,As Horizons End,32312,190595,326000,"[u'Gothic Metal', u'doom metal', u'metal', u'Paradise Lost', u'melancholic', u'makes my flesh creep', u'indie', u'rock', u'2009', u'UK', u'dark', u'Gothic', u'psychedelic', u'industrial rock', u'8 of 10 stars', u'Masterpiece', u'7 of 10 stars', u'10 of 10 stars', u'depressive', u'Awesome solo', u'this rocks', u'non-japanese', u'made in 2 years', u'chh', u'Cryb Test']"
50,Say Just Words,51595,345919,242000,"[u'Gothic Metal', u'doom metal', u'metal', u'Gothic Rock', u'Gothic', u'melancholic', u'Paradise Lost', u'seen live', u'british', u'industrial metal', u'6 of 10 stars', u'rock ballads', u'heavy metal', u'pop', u'alternative', u'sad', u'hard rock', u'UK', u'favorites', u'energy', u'Love', u'dark', u'Awesome', u'melodic', u'Favorite Artists', u'synthpop', u'Recommended', u'male vocalist', u'great lyrics', u'Favourites', u'brilliant', u'5 Stars', u'8 of 10 stars', u'life', u'addicting', u'7 of 10 stars', u'singalong', u'Good Stuff', u'Favourite Songs', u'ballads', u'dark rock', u'Dark metal', u'my music', u'Gothic Doom Metal', u'good song', u'loved tracks', u'gothic doom', u'CDA', u'fon', u'Best of best']"
51,Hocus Pocus,18013,73792,403000,"[u'cover', u'Power metal', u'heavy metal', u'metal', u'focus cover', u'Helloween', u'covers', u'fun', u'melodic metal', u'lol', u'rock', u'instrumental', u'80s', u'Progressive metal', u'epic', u'Energetic', u'top', u'comedy', u'german', u'deutschland', u'good', u'Great Covers', u'cover songs', u'addictive', u'FUCKING AWESOME', u'Masterpiece', u'6 of 10 stars', u'Focus', u'Ultra Style', u'kicks mallcore kiddies around like little kids', u'kills nu-metal ten times over', u'great solos', u'Yodelcore', u'hobaa', u'mycket bra', u'i lold', u'sayan', u'smooth cover', u'kicking ass sounds', u'supreme sound', u'yodel metal', u'out of place covers', u'foda incrivel', u'cover sayan', u'wizard sayan']"
52,Replica,158890,1521512,295000,"[u'Power metal', u'melodic metal', u'metal', u'Sonata Arctica', u'finnish', u'symphonic metal', u'Ballad', u'finnish metal', u'Melodic Power Metal', u'Progressive metal', u'favorites', u'rock', u'heavy metal', u'melancholic', u'seen live', u'power', u'metal ballad', u'replica', u'Power ballad', u'Gothic Metal', u'live', u'Awesome', u'melodic', u'epic metal', u'symphonic power metal', u'finland', u'beautiful', u'speed metal', u'melancholy', u'Favourites', u'Favourite Songs', u'metal ballads', u'Ecliptica', u'SONATA ARCTICA - REPLICA']"
