,Songs,Listeners,Playcount,Duration,Tags
0,Kids,27693,110441,44000,"[u'punk', u'under two minutes', u'punk rock', u'80s', u'hardcore punk', u'short', u'skate punk', u'under a minute', u'Reagan', u'short songs', u'120 minutes', u'under one minute', u'short tracks', u'under 2 minutes long', u'go vegan', u'olspur', u'olspur hi radio', u'Morning Caffeine Rush', u'Stuff I liked in High School', u'under 60 seconds punk']"
1,Wendy,21983,91423,142000,"[u'punk', u'cover', u'pop punk', u'punk rock', u'1993', u'DESCENDENTS', u'ridatemi i miei 16 anni', u'test', u'Old School Punk', u'covers', u""80's"", u'hardcore punk', u'3 stars', u'Beach Boys', u'catchy as fuck', u'geil', u'the best', u'yolala nofx', u'California Punk', u'My Wave', u'First Name', u'undercovered', u'lerv']"
2,Enjoy,22688,77494,130000,"[u'punk', u'punk rock', u'best', u'annoying', u'80s', u'yolala nofx', u'Pulento', u'pulenteque']"
3,The Willing Well IV: The Final Cut,79819,494216,370000,"[u'Progressive rock', u'rock', u'coheed and cambria', u'alternative', u'favorites', u'00s', u'metal', u'alternative rock', u'emo', u'hard rock', u'guitar', u'Progressive', u'hate', u'talk box', u'heavy metal', u'seen live', u'instrumental', u'favorite songs', u'Progressive metal', u'prog', u'epic', u'dark', u'beautiful', u'angry', u'american', u'Pink Floyd', u'prog rock', u'depression', u'Jam', u'emotion', u'Library', u'Love it', u'despair', u'english lyrics', u'6 of 10 stars', u'american artist', u'fucking amazing', u'concept album', u'heavy stuff', u'Orgasmic', u'Guitar Solo', u'Face Melting', u'long title', u'holy fuck', u'great guitar solo', u'Finale', u'OWNAGE', u'over 5 minutes long', u'Melancholisch', u'tear jerker']"
4,The Willing Well III: Apollo II: The Telling Truth,40739,247955,438000,"[u'Progressive rock', u'rock', u'coheed and cambria', u'metal', u'american', u'Progressive', u'long song titles', u'electronic', u'alternative', u'emo', u'new york', u'Progressive metal', u'USA', u'favorites', u'dark', u'Awesome', u'guitar', u'adrenaline', u'00s', u'2000s', u'english lyrics', u'7 of 10 stars', u'american artist', u'nighttime', u'Destruction', u'censored', u'over 5 minutes long', u'Rock on', u'so beautiful', u'coheed', u'Sam20100920']"
5,The Willing Well II: From Fear Through the Eyes of Madness,53481,338240,448000,"[u'Progressive rock', u'rock', u'experimental', u'00s', u'not emo', u'coheed and cambria', u'classic rock', u'heavy metal', u'metal', u'alternative', u'favorite songs', u'heavy', u'emo', u'Progressive metal', u'prog', u'favorites', u'american', u'male vocalist', u'prog rock', u'live version', u'sunny', u'spring', u'hell', u'censored', u'Pure Awesome', u'long title', u'Armageddon', u'over 5 minutes long', u'The Second Stage Turbine Blade', u'nu-prog', u'more than 5 minutes', u'the willing well II', u'post-nerdcore', u'Progressively Influenced Hard Rock']"
6,The Willing Well I: Fuel for the Feeding End,57234,320230,437000,"[u'Progressive rock', u'rock', u'alternative', u'coheed and cambria', u'alternative rock', u'favorites', u'long song titles', u'heavy', u'emo', u'hard rock', u'USA', u'dark', u'screamo', u'good shit', u'00s', u'alt rock', u'2000s', u'english lyrics', u'6 of 10 stars', u'american artist', u'hell', u'nighttime', u'blood', u'musical genius', u'righteous', u'over 5 minutes long', u'Rock on', u'COCA', u'post-nerdcore', u'lung melter', u'CC Radio']"
7,Mother May I,114466,687496,272000,"[u'Progressive rock', u'rock', u'coheed and cambria', u'alternative', u'indie', u'emo', u'alternative rock', u'Progressive', u'prog rock', u'00s', u'coheed', u'metal', u'seen live', u'punk', u'experimental', u'Progressive metal', u'indie rock', u'prog', u'favorites', u'american', u'COCA', u'prog punk', u'favorite songs', u'new york', u'post-punk', u'arena rock', u'Hammond', u'Driving', u'art rock', u'party', u'alternative metal', u'fun', u'modern rock', u'Prog-Rock', u'Favourites', u'alt rock', u'spring', u'english lyrics', u'7 of 10 stars', u'Good Stuff', u'american artist', u'doubt', u'obscene', u'new prog', u'emo violence', u'EmoRock', u'3 star', u'alternative pop/rock', u'love to sing', u'best songs']"
8,The Lying Lies & Dirty Secrets of Miss Erica Court,116450,724739,197000,"[u'Progressive rock', u'rock', u'emo', u'coheed and cambria', u'alternative', u'indie', u'prog rock', u'chill', u'experimental', u'COCA', u'metal', u'punk', u'alternative rock', u'favorites', u'post-punk', u'arena rock', u'art rock', u'Progressive', u'adrenaline', u'cool', u'good', u'modern rock', u'noisy', u'00s', u'alt rock', u'Down', u'Sommer', u'lying', u'Move', u'guitar rock', u'7 of 10 stars', u'american artist', u'Led Zeppelin', u'hell', u'nighttime', u'murder', u'Female Names', u'not emo', u'LOVELOVE', u'Angst-Ridden', u'who the eff put ska', u'EmoRock', u'Finch', u'long song titles', u'Emo Core', u'weeklytops', u'wussy', u'misc rock', u'aprilfool', u'devil horns']"
9,The Suffering,214517,1671132,223000,"[u'Progressive rock', u'rock', u'alternative', u'emo', u'coheed and cambria', u'alternative rock', u'indie', u'Progressive', u'favorites', u'prog rock', u'Love', u'Awesome', u'seen live', u'american', u'metal', u'hard rock', u'00s', u'the suffering', u'punk', u'Progressive metal', u'indie rock', u'Coheed And Cambria - The Suffering', u'memories', u'happy', u'punk rock', u'alternative metal', u'fun', u'Favourites', u'2005', u'Love it', u'COCA', u'Coheed & Cambria', u'Jimberly', u'Songs I like to listen to over and over and over again', u'Awesome battle theme', u'oddly uplifting', u'that feeling of desperation and torture', u'prog geek emo', u'new york', u'experimental', u'female vocalists', u'USA', u'catchy', u'post-punk', u'arena rock', u'90s', u'Driving', u'upbeat', u'Energetic', u'poetry']"
