,Songs,Listeners,Playcount,Duration,Tags
0,Rinse & Repeat (feat. Kah-Lo) [Rockwell Remix],10,18,363000,[]
1,Tentacles (Original),64,257,0,[]
2,Vigilantes,3533,11293,168000,[]
3,Straight Hook,3782,10153,203000,[]
4,Surfaceless,2792,9257,100000,[]
5,Sinkhole,2410,7341,209000,[]
6,Vigilantes,3533,11293,168000,[]
7,Into Dust,2783,9913,260000,[]
8,Mantra,3863,15526,229000,[]
9,Get Deaded,2489,7850,235000,[]
10,Exavolt,2484,7246,182000,[]
11,Vigilantes,3533,11293,168000,[]
12,Exavolt,2484,7246,182000,[]
13,Tentacles (Original),64,257,0,[]
14,Undone (feat. Victoria),209,659,220000,[]
15,I Want 2,571,1256,353000,[]
16,Forbenji,76,153,267000,[]
17,Tenderless (Whiney remix),97,247,0,"[u'electronic', u'Drum and bass', u'remix', u'dnb', u'whiney']"
18,Recall & Reflect,725,2036,249000,[]
19,Po'rdosol,83,149,205000,[]
20,March Of Giants,56,98,0,[]
21,Between the Sheets (feat. Artificial Intelligence),287,937,0,[]
22,Tentacles (Original),64,257,0,[]
23,Chiron,428,1320,210000,[]
24,Chiron,428,1320,210000,[]
25,Chiron,428,1320,210000,[]
26,Overseas (Bop Remix),68,200,0,[]
27,AYO (Ivy Lab Remix),41,118,0,[]
28,Tantrum,491,1243,207000,[]
29,Tantrum,491,1243,207000,[]
30,Tantrum,491,1243,207000,[]
31,In Mind,569,2169,320000,[]
32,In Mind,569,2169,320000,[]
33,Warehouse (IllSkillz Remix),4015,14047,339000,[u'dnb']
34,Bandicoot,165,388,296000,[]
35,Bandicoot,165,388,296000,[]
36,You and I,49,107,295000,[]
37,Bill Roach ft Xtrah,52,109,0,[]
38,Marka,2009,12882,0,"[u'dub', u'Drum and bass', u'drumstep', u'rozpierdalator', u'grimey']"
39,Artificial Skin (GLXY remix),21,27,335000,[]
40,Sea Air,860,2162,367000,[]
41,Underwater Scene,1242,4650,417000,"[u'Drum and bass', u'atmo', u'chillout', u'fat', u'Drum n Bass', u'atmospheric drum and bass', u'breakbeat', u'Liquid', u'dnb', u'dj', u'drum & bass', u'ciekawe', u'future sounds']"
42,Underwater Scene,1242,4650,417000,"[u'Drum and bass', u'atmo', u'chillout', u'fat', u'Drum n Bass', u'atmospheric drum and bass', u'breakbeat', u'Liquid', u'dnb', u'dj', u'drum & bass', u'ciekawe', u'future sounds']"
43,Underwater Scene,1242,4650,417000,"[u'Drum and bass', u'atmo', u'chillout', u'fat', u'Drum n Bass', u'atmospheric drum and bass', u'breakbeat', u'Liquid', u'dnb', u'dj', u'drum & bass', u'ciekawe', u'future sounds']"
44,Underwater Scene,1242,4650,417000,"[u'Drum and bass', u'atmo', u'chillout', u'fat', u'Drum n Bass', u'atmospheric drum and bass', u'breakbeat', u'Liquid', u'dnb', u'dj', u'drum & bass', u'ciekawe', u'future sounds']"
45,A Dusky Groove,102,235,347000,[]
46,Shaolin,168,448,252000,[]
47,Apocryphal,128,303,391000,[]
48,4URGH,503,1230,0,[]
49,Luv Me (Logistics VIP),4649,12134,275000,"[u'Drum n Bass', u'2010']"
50,Luv Me (Logistics VIP),4649,12134,275000,"[u'Drum n Bass', u'2010']"
51,Warehouse (IllSkillz Remix),4015,14047,339000,[u'dnb']
52,My Heart ft. Lauren Archer,1,2,0,[]
