,Songs,Listeners,Playcount,Duration,Tags
0,Sag My Pants,32222,181720,219000,"[u'Hip-Hop', u'angry', u'funny', u'satire', u'Sag My Pants']"
1,Groove Is in the Heart,299991,1174040,210000,"[u'dance', u'90s', u'pop', u'funk', u'electronic', u'funky', u'Disco', u'party', u'House', u'1990', u'female vocalists', u'electronica', u'groove', u'fun', u'upbeat', u'groovy', u'Deee-Lite', u'happy', u'club', u'80s', u'one hit wonder', u'classic', u'catchy', u'cool', u'dance dance dance', u'bootsy collins', u'soul', u'electro', u'Love', u'dance-pop', u'party music', u""90's"", u'TELECFUNKNOHAUSINDUBSTRIPIALBREAKSTEP', u'alternative', u'female vocalist', u'Guilty Pleasures', u'Groove Is in the Heart', u'Baron Von Redberry', u'q-tip', u'70s80s', u'house hop', u'hip hop', u'rock', u'USA', u'favorites', u'psychedelic', u'feel good', u'Retro', u'summer', u'guilty pleasure']"
2,Untouched,399427,3339123,254000,"[u'pop', u'female vocalists', u'dance', u'the veronicas', u'australian', u'pop rock', u'rock', u'electropop', u'catchy', u'electronic', u'sexy', u'untouched', u'00s', u'alternative', u'Love', u'guilty pleasure', u'synthpop', u'eletronic', u'always stuck in my head', u'love at first listen', u'beautiful', u'girls', u'fun', u'indie', u'punk', u'favourite', u'<3', u'twins', u'bedroom dancing', u'indie pop', u'the veronicas - untouched', u'electronica', u'alternative rock', u'Awesome', u'cool', u'dance pop', u'Guilty Pleasures', u'i am ashamed i listen to this', u'so fucking amazing', u'my dance room', u'favorites', u'strings', u'3', u'female vocalist', u'sunflower', u'Love this song', u'This Track Rocks', u'my favorite song ever for today', u'holloween skitz0rz', u'female']"
3,The Sound of Silence,941796,6850080,187000,"[u'folk', u'classic rock', u'60s', u'oldies', u'singer-songwriter', u'rock', u'Simon and Garfunkel', u'acoustic', u'folk rock', u'Mellow', u'pop', u'beautiful', u'melancholy', u'The sound of silence', u'classic', u'70s', u'Soundtrack', u'male vocalists', u'Simon & Garfunkel', u'favorites', u'easy listening', u'american', u'melancholic', u'sad', u'folk-rock', u'Watchmen', u'soft rock', u'great lyrics', u'Ballad', u'chill', u'calm', u'Love', u'chillout', u'Favorite', u'memories', u'best', u'Favourites', u'the graduate', u'sound of silence', u'dark', u'guitar', u'silence', u'live', u""60's"", u'Favourite Songs', u'paul simon', u'amazing', u'fav', u'simon garfunkel', u'Rolling Stones Top 500 Songs of All Time']"
4,Are You Gonna Be My Girl,948690,5233712,214000,"[u'rock', u'alternative', u'indie rock', u'alternative rock', u'indie', u'Jet', u'australian', u'Garage Rock', u'00s', u'hard rock', u'pop', u'party', u'fun', u'Energetic', u'rock n roll', u'dance', u'favorites', u'happy', u'Are You Gonna Be My Girl', u'upbeat', u'rock band', u'catchy', u'cool', u'Jet - Are You Gonna Be My Girl', u'classic rock', u'punk', u'Love', u'punk rock', u'sexy', u'australia', u'energy', u'Awesome', u'male vocalists', u'Favourites', u'Soundtrack', u'2003', u'summer', u'FUCKING AWESOME', u'guitar', u""Rock 'n' Roll"", u'Favorite', u'favorite songs', u'britpop', u'feel good', u'Retro', u'Rock and Roll', u'wake up', u'2000s', u'Good Stuff', u'makes me happy']"
5,The Devil in I,132068,994111,343000,"[u'Nu Metal', u'metal', u'alternative metal', u'2014', u'alternative rock', u'Slipknot', u'2010s', u'rock', u'alternative', u'emo', u'Nu-metal', u'heavy metal', u'chillout', u'chill', u'brutal', u'doom metal', u'world', u'Contemporary', u'angry', u'3', u'World Music', u'iowa', u'love at first listen', u'Eargasm', u'7', u'10s', u'sunflower', u'groove metal', u'false metal', u'2014 single', u'bbc radio1 playlist 2014', u'mall emo', u'Adam Title', u'korn family', u'Music Choice: Rock', u'maravilha', u'Skitz0rz', u'uitluisteren artist', u'hardzone', u'Best of Slipknot', u'i fall in love with this song', u'5 - the gray chapter', u'alter Metal', u'holloween skitz0rz', u'brand new single', u'official music video of new Slipknot single', u'k1r7m']"
6,Next Year,325427,1541330,277000,"[u'rock', u'alternative rock', u'alternative', u'foo fighters', u'Grunge', u'90s', u'post-grunge', u'hard rock', u'favorites', u'american', u'pop', u'heard on Pandora', u'Next Year', u'pop rock', u'chillout', u'Love', u'acoustic', u'Mellow', u'Dave Grohl', u'classic rock', u'punk', u'indie rock', u'ed', u'seen live', u'chill', u'beautiful', u'alt rock', u'Post Grunge', u'Soundtrack', u'favorite songs', u'emo', u'USA', u'memories', u'soft rock', u'favourite', u'male vocalist', u'live', u'chill out', u'1990s', u'Nirvana', u'favoritas', u'Foo fighters - next year', u'indie', u'classic', u'instrumental', u'seattle', u'power pop', u'singer-songwriter', u'Stoner Rock', u'slow']"
7,Stay High - Habits Remix,216751,1426031,0,"[u'electronic', u'pop', u'2014', u'female vocalists', u'sunshine', u'wonky', u'chillout', u'suziko-30s', u'Hip-Hop', u'electronica', u'indie', u'hip hop', u'chill', u'swedish', u'sad', u'electro', u'dance', u'world', u'House', u'3', u'Dope', u'r&b', u'rnb', u'melancholic', u'stoner', u'deep house', u'World Music', u'dance pop', u'fav', u'chill out', u'fuck yeah', u'10s', u'eletronic', u'drunk', u'sunflower', u'best of 2014', u'mainstream', u'kim kardashian', u'party shit', u'Skitz0rz', u'summer2014', u'uitluisteren artist', u'Tuntz', u'better than one direction', u'I LOVE LOVE LOVE THIS SONG', u'suziko-memories', u'suziko-30', u'suziko-rockwerchter', u'holloween skitz0rz', u'clara morgane']"
8,Fuck Her Gently,474548,2677048,123000,"[u'rock', u'comedy', u'funny', u'acoustic', u'tenacious d', u'alternative rock', u'sex', u'Comedy Rock', u'fun', u'humor', u'alternative', u'hard rock', u'jack black', u'Ballad', u'00s', u'Fuck Her Gently', u'sexy', u'hilarious', u'Awesome', u'humour', u'lol', u'songs that make me laugh', u'amayzes loved', u'Love', u'heavy metal', u'guitar', u'american', u'FUCKING AWESOME', u'fuck', u'classic rock', u'metal', u'pop', u'other', u'strings', u'heard on Pandora', u'Acoustic Rock', u'haha', u'The D', u'Sexsongs', u'davaho53', u'gently', u'chillout', u'indie', u'favorites', u'memories', u'happy', u'strange', u'xxx', u'folk rock', u'favourite']"
9,Hayling,189159,904749,222000,"[u'chillout', u'downtempo', u'electronic', u'ambient', u'chill', u'trip-hop', u'electronica', u'lounge', u'Mellow', u'female vocalists', u'trip hop', u'cool', u'sexy', u'relax', u'chill out', u'Hayling', u'electro', u'beautiful', u'FC/Kahuna', u'Soundtrack', u'dance', u'easy listening', u'atmospheric', u'somafm', u'vocal', u'Dreamy', u'british', u'Awesome', u'chilled', u'00s', u'technocracy', u'trance', u'alternative', u'favorite songs', u'UK', u'2003', u'I like', u'relaxing', u'nice', u'female vocals', u'groovesalad', u'Top Gear']"
