,Songs,Listeners,Playcount,Duration,Tags
0,Feel It Still,29232,129433,163000,[u'FM4']
1,Feel It Still,29232,129433,163000,[u'FM4']
2,Feel It Still,29232,129433,163000,[u'FM4']
3,Smile,59636,284808,292000,[]
4,Purple Yellow Red and Blue,154450,856332,251000,"[u'indie', u'10s', u'indie rock', u'psychedelic pop', u'Psychedelic Rock', u'fip', u'2013', u'songs i love', u'fallon', u'2010s', u'colours', u'fifa', u'All time favorite', u'conan', u'love at first sight', u'music choice: alternative', u'2013 single', u'Channel X', u'waynegun', u'Songs played on KSLU', u'popsi']"
5,Someday Believers,48332,249847,235000,"[u'prog', u'fip']"
6,Holy Roller (Hallelujah),51526,284453,202000,"[u'indie', u'prog', u'american', u'fip']"
7,Waves,51947,290451,293000,"[u'indie', u'rock', u'water', u'to listen', u'rivers and seas']"
8,Sea of Air,55627,324260,262000,"[u'clap', u'sea', u'elementary', u'rivers and seas']"
9,Atomic Man,87253,534591,229000,"[u'indie', u'prog', u'american', u'fip', u'I love this song', u'All time favourites', u'best of 2015', u'somafm', u'Bagel', u'2013 single', u'Nennes yearlist', u'nennes yearlist 2015']"
10,Hip Hop Kids,67436,438898,209000,"[u'indie', u'alternative rock', u'indie pop', u'american', u'fip', u'I love this song', u'Carrie', u'somafm', u'Bagel', u'enough with the bagels already']"
11,Modern Jesus,130063,861676,194000,"[u'indie', u'rock', u'indie rock', u'Awesome', u'prog', u'american', u'great song', u'10s', u'kat fm', u'7 of 10 stars', u'2014', u'sxsw 2015', u'Loco', u'names of people', u'favorites 2013', u'Yypi', u'god and men']"
12,Evil Friends,94896,597391,216000,"[u'Psychedelic Rock', u'checkout', u'I love this song', u'2010s', u'madness', u'attitude', u'lunacy', u'somafm', u'relevant magazine', u'Bagel', u'Channel X', u'YupFm', u'popsi']"
13,Creep In a T-Shirt,79924,545371,234000,"[u'Jeans', u'creep', u'seen live', u'police', u'FM4', u'clothing', u't-shirt', u'radio xenu', u'Channel X', u'Policeman', u't shirt', u'cheap lyrics but good rhythm', u'i dont fucking care']"
