,Songs,Listeners,Playcount,Duration,Tags
0,Love Will Tear Us Apart,1044847,9197787,207000,"[u'post-punk', u'new wave', u'80s', u'alternative', u'Joy Division', u'british', u'rock', u'indie', u'Love', u'Post punk', u'melancholy', u'Manchester', u'sad', u'alternative rock', u'punk', u'favorites', u'dark', u'indie rock', u'classic', u'Gothic', u'beautiful', u'classic rock', u'Donnie Darko', u'Favourite Songs', u'Favourites', u'Love Will Tear Us Apart', u'Soundtrack', u'electronic', u'genius', u'melancholic', u'70s', u'goth', u'Awesome', u'1980', u'darkwave', u'UK', u'love at first listen', u'Ian Curtis', u'male vocalists', u'songs not to play at your wedding', u'pop', u'Gothic Rock', u'dance', u'cold wave', u'atmospheric', u'favorite songs', u'england', u'favourite', u'Favorite', u'britpop']"
1,Under Pressure,287147,1081784,0,"[u'80s', u'rock', u'classic rock', u'glam rock', u'pop', u'david bowie', u'Queen', u'british', u'bowie', u'male vocalists', u'classic', u'oldies', u'glam', u'duets', u'70s', u'Love', u'epic', u'new wave', u'collaboration', u'bass', u'queen and bowie', u'alternative', u'duet', u'under pressure', u'old school', u'british i like', u'amayzes loved', u'Soundtrack', u'nice', u'Favourites', u'stress', u'Freddy Mercury', u'Greatest Songs', u'top song radio', u'davaho53', u'dance', u'slow', u'psychedelic', u'party', u'melancholy', u'fun', u'live', u'10s', u'feelgood', u'1981', u'vanilla ice', u'at home', u'Beelloved', u'golden oldie', u'radio single']"
2,Welcome to Bangkok,195320,1439506,185000,"[u'instrumental', u'rock', u'alternative', u'intense', u'alternative rock', u'seen live', u'FUCKING AWESOME', u'indie', u'indie rock', u'instrumentals', u'Brand New', u'makes me feel something inside', u'Welcome to Bangkok', u'folk', u'post-rock', u'epic', u'Awesome', u'amazing', u'play it again', u'vinnie', u'noise', u'chillout', u'trip-hop', u'chill', u'emo', u'sexy', u'singer-songwriter', u'Love', u'acoustic', u'beautiful', u'instrumental rock', u'loud', u'moody', u'edgy', u'american', u'summer', u'Mellow', u'space rock', u'favourite', u'sex', u'quiet', u'post-hardcore', u'serenity', u'jack johnson', u'wall of sound', u'wow', u'post hardcore', u'let go', u'chaos', u'angsty']"
3,You Won't Know,222857,2021862,342000,"[u'rock', u'alternative', u'emo', u'alternative rock', u'seen live', u'amazing', u'indie', u'Love', u'Brand New', u'melancholy', u'screamo', u'indie rock', u'Awesome', u'epic', u'Mellow', u'beautiful', u'emotional', u'brilliant', u'wow', u'I Like It', u'FUCKING AWESOME', u'you wont know', u'loves', u'Songs that make me a better person', u'chill', u'favorites', u'angry', u'melancholic', u'good lyrics', u'sonic rock', u'aitch', u'Greatest Songs Ever Made', u'Stargate Universe', u'aitchsonic', u'is that my unicorn', u'extreme emotion', u'rocks my face completely sideways', u'songs that make me wanna sing', u'totally epic', u'aitchawake', u'sgu', u'pop', u'new york', u'Progressive metal', u'memories', u'loud', u'moody', u'death', u'download', u'genius']"
4,Limousine,123721,1087083,462000,"[u'alternative rock', u'emo', u'alternative', u'rock', u'indie rock', u'indie', u'seen live', u'Love', u'beautiful', u'Awesome', u'amazing', u'epic', u'genius', u'Progressive', u'Incredible', u'punk rock', u'intense', u'depressing', u'Brand New', u'punk', u'experimental', u'sad', u'Progressive rock', u'favorites', u'acoustic', u'death', u'american', u'excellent', u'Sleep', u'Favorite Artists', u'favourite', u'sex', u'male vocalists', u'noisy', u'buy', u'best song ever', u'wtf', u'Favourites', u'Great Lyricists', u'wow', u'Down', u'crying', u'Masterpiece', u'adorable', u'Favourite Songs', u'songs that make me cry', u'Chills', u'godly', u'seven', u'wristslitters']"
5,Degausser,247596,2503896,325000,"[u'alternative', u'rock', u'emo', u'alternative rock', u'Brand New', u'indie', u'indie rock', u'amazing', u'seen live', u'favorites', u'Love', u'epic', u'dark', u'Awesome', u'screamo', u'favorite songs', u'punk', u'sad', u'Progressive rock', u'depressing', u'fucking amazing lyrics', u'jesse lacey', u'too good to technically exist', u'new york', u'energy', u'beautiful', u'melodic', u'melancholy', u'Pop-punk', u'Favorite', u'Favourites', u'lyrics', u'post hardcore', u'favorite song', u'damning', u'the storm is coming', u'after it ends', u'when we were made we were set apart', u'gretanova', u'actually sounds like sexual intercourse', u'The Aquatic Ruin', u'aquatic ruin', u'atlantic sky', u'chill', u'Favorite Bands', u'ambient', u'experimental', u'albums I own', u'singer-songwriter', u'dance']"
6,Jesus Christ,274095,2759178,318000,"[u'alternative', u'emo', u'indie', u'rock', u'sad', u'amazing', u'indie rock', u'beautiful', u'Brand New', u'Mellow', u'alternative rock', u'Awesome', u'depressing', u'chill', u'seen live', u'melancholy', u'Favorite', u'favorites', u'genius', u'slow', u'jesus', u'dark', u'emotional', u'male vocalists', u'lyrics', u'Masterpiece', u'I could listen to this song forever', u'songs that make me want to run and never stop', u'Love', u'epic', u'insanely good', u'deep shit', u'christian', u'loneliness', u'powerful', u'songs that make me cry', u'religion', u'heartbreakingly beautiful', u'abandonment', u'on repeat', u'songs ive obsessed over', u'music to listen at night', u'melodic', u'guitar', u'american', u'great', u'Sleep', u'christian rock', u'Rainy Day', u'2007']"
7,Archers,78429,557285,254000,"[u'rock', u'emo', u'alternative', u'Long Island', u'seen live', u'indie rock', u'indie', u'alternative rock', u'Awesome', u'great lyrics', u'wow', u'Brand New', u'pop', u'Love', u'catchy', u'f', u'I Like It', u'post hardcore', u'angsty', u'2000s', u'Emo rock', u'fucking amazing', u'tragic', u'Amazing songs', u'fav songs', u'music choice: alternative', u'360shift', u'Fave music', u'wins at life', u'Archery', u'musikfuerrundumdieuhr', u'Brand New- the Greatest', u'good but not fave', u'Like october', u'adam sapphire', u'post-nerdcore', u'clingtothis', u'Adam Zivojnovich']"
8,You Won't Know,222857,2021862,342000,"[u'rock', u'alternative', u'emo', u'alternative rock', u'seen live', u'amazing', u'indie', u'Love', u'Brand New', u'melancholy', u'screamo', u'indie rock', u'Awesome', u'epic', u'Mellow', u'beautiful', u'emotional', u'brilliant', u'wow', u'I Like It', u'FUCKING AWESOME', u'you wont know', u'loves', u'Songs that make me a better person', u'chill', u'favorites', u'angry', u'melancholic', u'good lyrics', u'sonic rock', u'aitch', u'Greatest Songs Ever Made', u'Stargate Universe', u'aitchsonic', u'is that my unicorn', u'extreme emotion', u'rocks my face completely sideways', u'songs that make me wanna sing', u'totally epic', u'aitchawake', u'sgu', u'pop', u'new york', u'Progressive metal', u'memories', u'loud', u'moody', u'death', u'download', u'genius']"
9,Millstone,257346,2293702,257000,"[u'alternative', u'emo', u'rock', u'alternative rock', u'indie', u'indie rock', u'Brand New', u'seen live', u'millstone', u'amazing', u'post-hardcore', u'brilliant', u'emocore', u'my life story in a nutshell of a song', u'me-biographical', u'chill', u'punk', u'sad', u'favorites', u'leaving', u'epic', u'Awesome', u'00s', u'Favorite', u'relax', u'post hardcore', u'Emo rock', u'loves', u'Long Island', u'bad ass', u'Brand New -MIllstone', u'vocal', u'hardcore', u'pop rock', u'Love', u'dark', u'beautiful', u'bass', u'drums', u'thoughtful', u'angry', u'to download', u'intense', u'good', u'mix', u'Pop-punk', u'Favourites', u'2006', u'yes', u'wow']"
10,Mardy Bum,1025057,8650857,175000,"[u'indie rock', u'indie', u'british', u'rock', u'alternative', u'arctic monkeys', u'alternative rock', u'britpop', u'00s', u'brit rock', u'seen live', u'UK', u'Love', u'favorites', u'happy', u'Awesome', u'mardy bum', u'Favourites', u'Britrock', u'Garage Rock', u'artic monkeys', u'indie pop', u'catchy', u'favourite', u'Sheffield', u'2006', u'pop', u'love at first listen', u'english', u'Brit', u'punk', u'post-punk', u'cool', u'pop rock', u'cute', u'punk rock', u'lovely', u'Love it', u'british indie', u'romantic', u'fun', u'brit pop', u'british rock', u'Post-punk revival', u'beautiful', u'Favorite', u'want to see live', u'alternative-rock', u'memories', u'guitar']"
11,Lost Kitten,87717,592435,196000,"[u'indie', u'indie rock', u'rock', u'female vocalists', u'Canadian', u'indie pop', u'6 of 10 stars', u'electronic', u'80s', u'cute', u'american', u'love at first listen', u'yes', u'addictive', u'sweet', u'perfect', u'2012', u'10s', u'eclectonia', u'best of 2012', u'IIIIIIIIII AMAZING TRACK :D IIIIIIIIII', u'female-vocalist', u'mom and pop', u'metric music international', u'Metric', u'snapping', u'Stoned love', u'synthetica', u'I thought of you', u'3star', u'amable animal', u'it makes my head nod', u'lost kitten']"
12,Bigger Than Love,24605,100067,287000,"[u'chill', u'the colbert report', u'fucking great', u'beauty and the beast', u'relevant magazine']"
13,Step,300997,2310473,252000,"[u'indie', u'indie rock', u'alternative', u'best of 2013', u'rock', u'love at first listen', u'american', u'2013', u'Vampire weekend', u'10s', u'somafm', u'new york', u'indie pop', u'lovely', u'New York City', u'ChrisCooperBand', u'chill', u'alternative rock', u'experimental', u'cute', u'baroque pop', u'beautiful', u'summer', u'beauty', u'new', u'gentle', u'favourite', u'great lyrics', u'Favorite', u'jewish', u'pleasant', u'melody', u'9 of 10 stars', u'moving', u'personal favourites', u'2010s', u'listen again', u'sigh', u'album', u'xl recordings', u'fucking incredible', u'new song', u'baroque rock', u'amazing lyrics', u'Conde Maquina favourite track', u'goeiepoep', u'new album', u'BBC6', u'Bagel', u'dreamy pop']"
14,Jesus Christ,274095,2759178,318000,"[u'alternative', u'emo', u'indie', u'rock', u'sad', u'amazing', u'indie rock', u'beautiful', u'Brand New', u'Mellow', u'alternative rock', u'Awesome', u'depressing', u'chill', u'seen live', u'melancholy', u'Favorite', u'favorites', u'genius', u'slow', u'jesus', u'dark', u'emotional', u'male vocalists', u'lyrics', u'Masterpiece', u'I could listen to this song forever', u'songs that make me want to run and never stop', u'Love', u'epic', u'insanely good', u'deep shit', u'christian', u'loneliness', u'powerful', u'songs that make me cry', u'religion', u'heartbreakingly beautiful', u'abandonment', u'on repeat', u'songs ive obsessed over', u'music to listen at night', u'melodic', u'guitar', u'american', u'great', u'Sleep', u'christian rock', u'Rainy Day', u'2007']"
15,Boys Don't Cry,908795,6161978,155000,"[u'80s', u'new wave', u'alternative', u'post-punk', u'rock', u'The Cure', u'british', u'alternative rock', u'indie', u'pop', u'Cure', u'Gothic', u'goth', u'classic rock', u'favorites', u'Boys Dont Cry', u'Post punk', u'70s', u'punk', u'Gothic Rock', u'classic', u'Favourites', u'male vocalists', u'seen live', u'Love', u'melancholic', u'beautiful', u'1979', u'indie rock', u'darkwave', u'Favourite Songs', u'favorite songs', u'Awesome', u'chill', u'emo', u'memories', u'britpop', u'english', u'dance', u'Bittersweet', u""80's"", u'Favorite', u'i am a party girl here is my soundtrack', u'Reasons why I love the Cure', u'The Cure - Boys Dont Cry', u'party', u'favourite', u'loved', u'best songs ever', u'UK']"
16,Ragoo,351893,1944799,181000,"[u'rock', u'indie rock', u'indie', u'alternative', u'Southern Rock', u'kings of leon', u'alternative rock', u'favorites', u'00s', u'Alternative  Punk', u'american', u'Garage Rock', u'Awesome', u'male vocalists', u'Favorite', u'love at first listen', u'Good Stuff', u'american trad rock', u'if this were a pokemon i would catch it', u'Kings of Leon - Ragoo', u'garage rock revival', u'blues', u'favourite artists', u'Entourage', u'Alternative PopRock', u'favourite vocals', u'my life soundtrack', u'leapsandloved', u'male lead singers with sexy voices', u'syndrom ciarek', u'effing rocks', u'Kickass guitar riff', u'kochane', u'has summer written all over it', u'THIS MAKES ME INCREDIBLY HAPPY', u'jebcza gitara', u'Ragoo', u'classic rock', u'electronic', u'seen live', u'chill', u'80s', u'Grunge', u'indie pop', u'USA', u'2008', u'dance', u'pop rock', u'Love', u'catchy']"
17,Left & Right in the Dark,183361,849292,298000,"[u'indie', u'new wave', u'synth pop', u'indie rock', u'alternative rock', u'rock', u'00s', u'electronic', u'electropop', u'alternative', u'american', u'2009', u'sexy', u'power pop', u'Awesome', u'julian casablancas', u'Disco', u'electronica', u'singer-songwriter', u'brilliant', u'pop', u'catchy', u'Electro Pop', u'synthpop', u'male vocalists', u'gossip girl', u'Beautiful Song', u'extraordinary indie', u'songs that make you feel better', u'dance to this in my underwear', u'songs that make you want to sing along', u'dance around the living room in your underwear', u'i want to jump around to this song', u'USA', u'happy', u'Love', u'beautiful', u'synth', u'upbeat', u'Energetic', u'party', u'my love', u'melancholic', u'cool', u'dj', u'buy', u""80's"", u'best', u'indie-pop', u'perfect']"
