,Songs,Listeners,Playcount,Duration,Tags
0,Лиличка  (на стихи В. Маяковского),1,27,0,[]
1,war,25341,118625,209000,"[u'punk rock', u'Favorite']"
2,Mistakes,608,2973,148000,[]
3,It's Complicated,161773,1600974,177000,"[u'post-hardcore', u'pop punk', u'hardcore', u'A Day To Remember', u'Easycore', u'metalcore', u'punk rock', u'alternative', u'ADTR', u'punk', u'alternative rock', u'melodic', u'death metal', u'male vocalist', u'Pop-punk', u'rock band', u'<3', u'Rock Band Network', u'us-american', u'Dragono', u'rock', u'emo', u'favorites', u'catchy', u'epic', u'feel good', u'fun', u'2011', u'post hardcore', u'angsty', u'singalong', u'complicated', u'change', u'sainker xp', u'break up', u'RBN VG', u'what separates me from you', u'i call them VIP', u'Punch me in the dead spot again', u'illusartion', u'wsmfy', u'k1r7m']"
4,Common Ground,4751,24648,0,[u'alternative']
5,Avalanche,66360,634513,262000,"[u'metalcore', u'metal', u'rock', u'british', u'alternative', u'emo', u'indie rock', u'pop punk', u'2016', u'inject this into my fucking veins', u'i feel this song in my blood']"
6,Рай в шалаше,17413,109759,193000,"[u'rock', u'3 stars', u'4 Stars', u'russian rock', u'2014']"
7,All I Want (Acoustic),13072,110849,0,"[u'alternative', u'alternative rock', u'Ballad', u'2014', u'kto nie zna ten gej', u'A Day To Remember', u'church2227']"
8,Give,13680,57020,196000,[u'pop punk']
9,Freedom Bird,9,36,0,[]
10,505,563007,6049768,253000,"[u'indie rock', u'indie', u'british', u'rock', u'alternative', u'arctic monkeys', u'alternative rock', u'beautiful', u'melancholy', u'seen live', u'britpop', u'Favourites', u'00s', u'Love', u'Mellow', u'Awesome', u'brit rock', u'sad', u'UK', u'best album endings', u'post-punk', u'Bittersweet', u'love at first listen', u'505', u'pop', u'sexy', u'epic', u'favourite', u'melancholic', u'numbers', u'Favorite', u'so good it should be illegal', u'amazing', u'Garage Rock', u'melodic', u'Sheffield', u'Perfection', u'Post-punk revival', u'I could listen to this song forever', u'heart-wrenching', u'alex turner is a genius', u'chill', u'calm', u'Alternative  Punk', u'genius', u'Indie-Rock', u'2007', u'modern rock', u'best song ever', u'FUCKING AWESOME']"
11,Common Ground,4751,24648,0,[u'alternative']
12,"Мама, я люблю",6401,57387,225000,[]
13,Оne Мore,120,511,0,[]
14,Sorry,1830,10153,205000,[]
