,Songs,Listeners,Playcount,Duration,Tags
0,Stridens Hus,2631,6651,354000,"[u'black metal', u'metal']"
1,Pass It Pass It,34009,80976,272000,"[u'rap', u'Hip-Hop', u'Gangsta Rap', u'Snoop Dogg', u'neptunes', u'hip hop', u'West Coast Rap', u'Pharrell', u'hiphop', u'weed', u'G-funk', u'vocal', u'soul', u'dark', u'funk', u'2004', u'american', u'r&b', u'2005', u'Love it', u'gangsta', u'4 of 10 stars', u'virginia', u'NERD', u'2 of 10 stars', u'Rap  Hip Hop', u'the neptunes', u'star trak', u'Crazy Beat', u'stuzzie', u'Hood', u'Smoking music', u'Snoopy', u'Westside', u'fav0urit3', u'could listen to non-stop', u'schrockstar', u'top25', u'Snoop', u'kozak', u'nepnerd', u'fifty77best', u'The Masterpiece', u'big fat booty and her putty was hairy', u'rg', u'ear food', u'MINHAS MUSICAS', u'h-h', u'relo', u'montra']"
2,Le Mepris Oder Ein Leider Nötiges Godardzitat,12,49,0,[]
3,Stacey Adams,5710,15264,275000,"[u'G-funk', u'rap', u'Hip-Hop', u'hip hop', u'California', u'west coast', u'suave', u'gangsta', u'finger snapping', u'luxurious', u'luved', u'layed', u'married to the game', u'procurer']"
4,Guinesses (ft. Angelika & 4ize),3047,13196,0,[]
5,Untitled II,1539,4495,104000,[]
6,Was willst du machen?!,22652,236850,203000,"[u'german hiphop', u'rap', u'Hip-Hop', u'hip hop', u'happy', u'german', u'Deutschrap', u'german rap', u'Guter Hip Hop', u'Niwo - Niveau']"
7,Vendetta,197137,1222159,316000,"[u'metal', u'alternative metal', u'Nu Metal', u'Slipknot', u'Nu-metal', u'alternative', u'heavy metal', u'rock', u'Vendetta', u'hard rock', u'industrial metal', u'2008', u'Awesome', u'great riffs', u'corey taylor', u'killer guitar sound', u'metalcore', u'Hard', u'brutal', u'death metal', u'nice', u'perfect', u'rubbish', u'hardcore metal', u'maggot music', u'fucking awesome riff', u'electronic', u'favorite songs', u'USA', u'catchy', u'epic', u'fantastic', u'groove', u'guitar', u'me', u'angry', u'atmospheric', u'american', u'amazing', u'fun', u'male vocalists', u'shit', u'melody', u'underground', u'8 of 10 stars', u'staind', u'2012', u'FUCKING AWESOME', u'2000s', u'7']"
8,Eulogy,35188,199229,209000,"[u'deathcore', u'technical death core', u'death metal', u'Technical Deathcore', u'Technical Death Metal', u'Brutal Death Metal', u'brutal deathcore', u'metalcore', u'metal', u'grindcore', u'hardcore', u'death', u'Extreme Metal', u'goregrind', u'slam', u'deathgrind', u'Technical Brutal Death Metal', u'Grind', u'technical', u'breakdown', u'9 lbs hammer', u'Progressive deathcore', u'Technical Metalcore', u'core', u'Technical Hardcore', u'progressive technical deathcore', u'extreme metalcore', u'Extreme Deathcore', u'Technical Progressive Deathcore', u'shit breakdowns']"
9,Scorned,7585,31990,393000,"[u'doom metal', u'death metal', u'Death Doom Metal', u'Death/Doom Metal', u'metal', u'Melodic Death Metal', u'8 of 10 stars', u'this is a sad fuckin song', u'me like']"
10,Minus One,10447,40446,197000,"[u'industrial', u'Aggrotech', u'powernoise', u'electro industrial', u'noise', u'instrumental', u'Gothic', u'Dark Electronic', u'indus', u'andy laplegua', u'Conde Maquina favourite track', u'guano apes', u'combichrist', u'Icon Of Coil', u'panzer ag']"
